市町村コード,都道府県名,市町村名,地域,施設名,年度,利用者数（人）
05212,秋田県,大仙市,大曲地域,女性センター,2014(平成26）,"6,284 "
05212,秋田県,大仙市,大曲地域,女性センター,2015(平成27）,"6,353 "
05212,秋田県,大仙市,大曲地域,女性センター,2016(平成28）,-
05212,秋田県,大仙市,大曲地域,女性センター,2017(平成29）,-
05212,秋田県,大仙市,大曲地域,女性センター,2018(平成30）,-
05212,秋田県,大仙市,大曲地域,女性センター,2019(令和1）,-
05212,秋田県,大仙市,大曲地域,女性センター,2020(令和2）,-
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2005(平成17),"44,743 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2006(平成18）,"35,783 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2007(平成19）,"38,660 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2008(平成20）,"37,951 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2009(平成21）,"37,641 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2010(平成22）,"40,660 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2011(平成23）,"42,304 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2012(平成24）,"39,968 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2013(平成25）,"39,776 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2014(平成26）,"38,569 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2015(平成27）,"32,107 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2016(平成28）,"34,127 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2017(平成29）,"33,585 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2018(平成30）,"36,647 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2019(令和1）,"32,270 "
05212,秋田県,大仙市,大曲地域,サンクエスト大曲,2020(令和2）,"25,764 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2005(平成17),"55,400 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2006(平成18）,"55,600 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2007(平成19）,"53,150 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2008(平成20）,"60,889 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2009(平成21）,"55,820 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2010(平成22）,"50,684 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2011(平成23）,"50,977 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2012(平成24）,"56,784 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2013(平成25）,"59,389 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2014(平成26）,"51,208 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2015(平成27）,"55,408 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2016(平成28）,"51,808 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2017(平成29）,"44,637 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2018(平成30）,"50,221 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2019(令和1）,"46,620 "
05212,秋田県,大仙市,大曲地域,大曲交流センター,2020(令和2）,"27,856 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2005(平成17),-
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2006(平成18）,-
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2007(平成19）,-
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2008(平成20）,-
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2009(平成21）,-
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2010(平成22）,"7,826 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2011(平成23）,"41,200 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2012(平成24）,"43,384 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2013(平成25）,"41,297 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2014(平成26）,"40,483 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2015(平成27）,"45,246 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2016(平成28）,"40,306 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2017(平成29）,"37,060 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2018(平成30）,"41,805 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2019(令和1）,"35,231 "
05212,秋田県,大仙市,大曲地域,はぴねす大仙,2020(令和2）,"23,790 "
05212,秋田県,大仙市,大曲地域,はなび・アム,2005(平成17),-
05212,秋田県,大仙市,大曲地域,はなび・アム,2006(平成18）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2007(平成19）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2008(平成20）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2009(平成21）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2010(平成22）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2011(平成23）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2012(平成24）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2013(平成25）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2014(平成26）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2015(平成27）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2016(平成28）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2017(平成29）,-
05212,秋田県,大仙市,大曲地域,はなび・アム,2018(平成30）,"46,320 "
05212,秋田県,大仙市,大曲地域,はなび・アム,2019(令和1）,"53,562 "
05212,秋田県,大仙市,大曲地域,はなび・アム,2020(令和2）,"25,509 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2005(平成17),"16,294 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2006(平成18）,"14,323 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2007(平成19）,"13,267 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2008(平成20）,"13,345 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2009(平成21）,"15,414 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2010(平成22）,"12,141 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2011(平成23）,"14,969 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2012(平成24）,"15,139 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2013(平成25）,"15,818 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2014(平成26）,"15,358 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2015(平成27）,"13,922 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2016(平成28）,"14,713 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2017(平成29）,"15,999 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2018(平成30）,"14,173 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2019(令和1）,"13,000 "
05212,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2020(令和2）,"9,493 "
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2005(平成17),189 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2006(平成18）,206 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2007(平成19）,406 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2008(平成20）,466 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2009(平成21）,619 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2010(平成22）,600 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2011(平成23）,747 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2012(平成24）,372 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2013(平成25）,334 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2014(平成26）,690 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2015(平成27）,408 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2016(平成28）,302 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2017(平成29）,660 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2018(平成30）,455 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2019(令和1）,0 
05212,秋田県,大仙市,西仙北地域,青少年自然の家,2020(令和2）,0 
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2005(平成17),-
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2006(平成18）,"1,818 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2007(平成19）,"1,917 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2008(平成20）,"1,160 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2009(平成21）,"1,697 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2010(平成22）,"1,319 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2011(平成23）,"1,239 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2012(平成24）,"1,155 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2013(平成25）,"1,337 "
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2014(平成26）,941 
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2015(平成27）,894 
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2016(平成28）,634 
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2017(平成29）,944 
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2018(平成30）,412 
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2019(令和1）,132 
05212,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2020(令和2）,178 
05212,秋田県,大仙市,中仙地域,ドンパル,2005(平成17),"68,445 "
05212,秋田県,大仙市,中仙地域,ドンパル,2006(平成18）,"69,472 "
05212,秋田県,大仙市,中仙地域,ドンパル,2007(平成19）,"63,239 "
05212,秋田県,大仙市,中仙地域,ドンパル,2008(平成20）,"61,350 "
05212,秋田県,大仙市,中仙地域,ドンパル,2009(平成21）,"55,713 "
05212,秋田県,大仙市,中仙地域,ドンパル,2010(平成22）,"43,402 "
05212,秋田県,大仙市,中仙地域,ドンパル,2011(平成23）,"51,113 "
05212,秋田県,大仙市,中仙地域,ドンパル,2012(平成24）,"57,459 "
05212,秋田県,大仙市,中仙地域,ドンパル,2013(平成25）,"54,729 "
05212,秋田県,大仙市,中仙地域,ドンパル,2014(平成26）,"55,330 "
05212,秋田県,大仙市,中仙地域,ドンパル,2015(平成27）,"58,964 "
05212,秋田県,大仙市,中仙地域,ドンパル,2016(平成28）,"58,794 "
05212,秋田県,大仙市,中仙地域,ドンパル,2017(平成29）,"51,838 "
05212,秋田県,大仙市,中仙地域,ドンパル,2018(平成30）,"47,175 "
05212,秋田県,大仙市,中仙地域,ドンパル,2019(令和1）,"36,120 "
05212,秋田県,大仙市,中仙地域,ドンパル,2020(令和2）,"14,375 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2005(平成17),"37,885 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2006(平成18）,"37,786 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2007(平成19）,"55,269 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2008(平成20）,"56,569 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2009(平成21）,"62,562 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2010(平成22）,"36,588 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2011(平成23）,"39,591 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2012(平成24）,"30,476 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2013(平成25）,"29,677 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2014(平成26）,"9,239 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2015(平成27）,"8,943 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2016(平成28）,"7,903 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2017(平成29）,"11,982 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2018(平成30）,"11,339 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2019(令和1）,"10,896 "
05212,秋田県,大仙市,中仙地域,農村環境改善センター,2020(令和2）,"6,875 "
05212,秋田県,大仙市,協和地域,和ピア,2005(平成17),"30,685 "
05212,秋田県,大仙市,協和地域,和ピア,2006(平成18）,"22,963 "
05212,秋田県,大仙市,協和地域,和ピア,2007(平成19）,"26,884 "
05212,秋田県,大仙市,協和地域,和ピア,2008(平成20）,"26,984 "
05212,秋田県,大仙市,協和地域,和ピア,2009(平成21）,"24,851 "
05212,秋田県,大仙市,協和地域,和ピア,2010(平成22）,"25,699 "
05212,秋田県,大仙市,協和地域,和ピア,2011(平成23）,"28,284 "
05212,秋田県,大仙市,協和地域,和ピア,2012(平成24）,"25,649 "
05212,秋田県,大仙市,協和地域,和ピア,2013(平成25）,"27,040 "
05212,秋田県,大仙市,協和地域,和ピア,2014(平成26）,"32,717 "
05212,秋田県,大仙市,協和地域,和ピア,2015(平成27）,"28,219 "
05212,秋田県,大仙市,協和地域,和ピア,2016(平成28）,"30,219 "
05212,秋田県,大仙市,協和地域,和ピア,2017(平成29）,"28,491 "
05212,秋田県,大仙市,協和地域,和ピア,2018(平成30）,"21,507 "
05212,秋田県,大仙市,協和地域,和ピア,2019(令和1）,"22,432 "
05212,秋田県,大仙市,協和地域,和ピア,2020(令和2）,"8,513 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2005(平成17),"13,680 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2006(平成18）,"11,635 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2007(平成19）,"10,827 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2008(平成20）,"9,971 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2009(平成21）,"9,788 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2010(平成22）,"10,208 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2011(平成23）,"6,570 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2012(平成24）,"6,555 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2013(平成25）,"6,519 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2014(平成26）,"6,847 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2015(平成27）,"6,781 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2016(平成28）,"5,960 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2017(平成29）,"8,435 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2018(平成30）,"7,879 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2019(令和1）,"8,717 "
05212,秋田県,大仙市,南外地域,南外コミュニティセンター,2020(令和2）,"2,353 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2005(平成17),"45,103 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2006(平成18）,"33,920 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2007(平成19）,"48,640 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2008(平成20）,"46,568 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2009(平成21）,"33,895 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2010(平成22）,"44,020 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2011(平成23）,"58,348 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2012(平成24）,"58,533 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2013(平成25）,"54,674 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2014(平成26）,"56,413 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2015(平成27）,"52,613 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2016(平成28）,"50,070 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2017(平成29）,"46,390 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2018(平成30）,"46,089 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2019(令和1）,"43,177 "
05212,秋田県,大仙市,仙北地域,ふれあい文化センター,2020(令和2）,"28,078 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2005(平成17),"19,235 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2006(平成18）,"16,077 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2007(平成19）,"17,709 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2008(平成20）,"13,097 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2009(平成21）,"18,765 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2010(平成22）,"20,865 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2011(平成23）,"16,061 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2012(平成24）,"14,708 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2013(平成25）,"18,110 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2014(平成26）,"18,558 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2015(平成27）,"19,002 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2016(平成28）,"19,346 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2017(平成29）,"20,787 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2018(平成30）,"16,928 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2019(令和1）,"14,615 "
05212,秋田県,大仙市,太田地域,太田文化プラザ,2020(令和2）,"6,922 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2005(平成17),"1,981 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2006(平成18）,"1,962 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2007(平成19）,"2,181 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2008(平成20）,"2,283 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2009(平成21）,"2,157 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2010(平成22）,"1,554 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2011(平成23）,"1,377 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2012(平成24）,967 
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2013(平成25）,759 
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2014(平成26）,950 
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2015(平成27）,962 
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2016(平成28）,"1,137 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2017(平成29）,"1,664 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2018(平成30）,"2,167 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2019(令和1）,"1,334 "
05212,秋田県,大仙市,太田地域,東部地区生活改善センター,2020(令和2）,318 
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2005(平成17),"8,407 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2006(平成18）,"7,267 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2007(平成19）,"8,183 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2008(平成20）,"6,860 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2009(平成21）,"10,402 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2010(平成22）,"8,710 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2011(平成23）,"6,426 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2012(平成24）,"7,538 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2013(平成25）,"8,311 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2014(平成26）,"7,597 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2015(平成27）,"7,778 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2016(平成28）,"6,178 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2017(平成29）,"5,593 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2018(平成30）,"6,692 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2019(令和1）,"6,130 "
05212,秋田県,大仙市,太田地域,北部地区多目的研修センター,2020(令和2）,"3,221 "
05212,秋田県,大仙市,太田地域,太田生活改善センター,2005(平成17),-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2006(平成18）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2007(平成19）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2008(平成20）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2009(平成21）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2010(平成22）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2011(平成23）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2012(平成24）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2013(平成25）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2014(平成26）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2015(平成27）,-
05212,秋田県,大仙市,太田地域,太田生活改善センター,2016(平成28）,"4,909 "
05212,秋田県,大仙市,太田地域,太田生活改善センター,2017(平成29）,"5,151 "
05212,秋田県,大仙市,太田地域,太田生活改善センター,2018(平成30）,"4,814 "
05212,秋田県,大仙市,太田地域,太田生活改善センター,2019(令和1）,"5,510 "
05212,秋田県,大仙市,太田地域,太田生活改善センター,2020(令和2）,"2,793 "
05212,秋田県,大仙市,太田地域,敬愛館,2005(平成17),"8,207 "
05212,秋田県,大仙市,太田地域,敬愛館,2006(平成18）,"8,300 "
05212,秋田県,大仙市,太田地域,敬愛館,2007(平成19）,"7,381 "
05212,秋田県,大仙市,太田地域,敬愛館,2008(平成20）,"7,572 "
05212,秋田県,大仙市,太田地域,敬愛館,2009(平成21）,"7,258 "
05212,秋田県,大仙市,太田地域,敬愛館,2010(平成22）,"6,421 "
05212,秋田県,大仙市,太田地域,敬愛館,2011(平成23）,"5,575 "
05212,秋田県,大仙市,太田地域,敬愛館,2012(平成24）,"6,276 "
05212,秋田県,大仙市,太田地域,敬愛館,2013(平成25）,"6,356 "
05212,秋田県,大仙市,太田地域,敬愛館,2014(平成26）,"5,115 "
05212,秋田県,大仙市,太田地域,敬愛館,2015(平成27）,"4,823 "
05212,秋田県,大仙市,太田地域,敬愛館,2016(平成28）,"4,656 "
05212,秋田県,大仙市,太田地域,敬愛館,2017(平成29）,"6,376 "
05212,秋田県,大仙市,太田地域,敬愛館,2018(平成30）,"4,190 "
05212,秋田県,大仙市,太田地域,敬愛館,2019(令和1）,"3,664 "
05212,秋田県,大仙市,太田地域,敬愛館,2020(令和2）,"1,891 "
