,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,526 ","9,642 ","4,578 ","5,064 ",河　　　辺,,"3,084 ","8,855 ","4,160 ","4,695 ",,,,,
東部地域,東部地域計,"28,947 ","63,985 ","30,332 ","33,653 ",雄　　　和,,"2,208 ","7,181 ","3,324 ","3,857 ",,,,,
,東      通,"3,225 ","6,164 ","2,956 ","3,208 ",,,,,,,,,,,
,手      形,"2,418 ","4,046 ","2,206 ","1,840 ",,,,,,,,,,,
,手 形（字）,"3,125 ","5,832 ","2,848 ","2,984 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,912 ,"2,063 ",919 ,"1,144 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,265 ","2,925 ","1,336 ","1,589 ",,転    入,481 ,256 ,225 ,,,,,,
,旭      川,996 ,"2,370 ","1,109 ","1,261 ",,転    出,544 ,297 ,247 ,,,,,,
,新  藤  田,486 ,"1,159 ",510 ,649 ,,出    生,185 ,95 ,90 ,,,,,,
,濁      川,791 ,"1,933 ",914 ,"1,019 ",,死    亡,292 ,141 ,151 ,,,,,,
,添      川,755 ,"2,220 ",980 ,"1,240 ",,社会動態,-63 ,-41 ,-22 ,,,,,,
,山      内,90 ,349 ,161 ,188 ,,自然動態,-107 ,-46 ,-61 ,,,,,,
,仁      別,56 ,139 ,56 ,83 ,,増 減 計,-170 ,-87 ,-83 ,,,,,,
,広      面,"6,964 ","14,026 ","6,652 ","7,374 ",,,,,,,,,,,
,柳      田,672 ,"1,958 ",878 ,"1,080 ",,○　平成２５年１月１日からの累計,,,,,,,,,
,横      森,"1,787 ","3,985 ","1,869 ","2,116 ",,,計,男,女,,,,,,
,桜,"1,482 ","3,248 ","1,500 ","1,748 ",,転    入,"9,836 ","5,413 ","4,423 ",,,,,,
,桜  ガ  丘,910 ,"2,540 ","1,181 ","1,359 ",,転    出,"10,313 ","5,723 ","4,590 ",,,,,,
,桜　　　台,502 ,"1,700 ",823 ,877 ,,出    生,"2,215 ","1,109 ","1,106 ",,,,,,
,大  平  台,476 ,"1,518 ",701 ,817 ,,死    亡,"3,393 ","1,676 ","1,717 ",,,,,,
,下  北  手,"1,205 ","3,386 ","1,626 ","1,760 ",,社会動態,-477 ,-310 ,-167 ,,,,,,
,太      平,830 ,"2,424 ","1,107 ","1,317 ",,自然動態,"-1,178 ",-567 ,-611 ,,,,,,
西部地域,西部地域計,"13,934 ","36,136 ","16,895 ","19,241 ",,増 減 計,"-1,655 ",-877 ,-778 ,,,,,,
,新      屋,"6,187 ","15,657 ","7,236 ","8,421 ",,,,,,,,,,,
,勝      平,"5,330 ","13,349 ","6,434 ","6,915 ",,○　平成２２年１０月１日からの累計,,,,,,,,,
,浜      田,943 ,"2,944 ","1,292 ","1,652 ",,,計,男,女,,,,,,
,豊      岩,657 ,"2,007 ",916 ,"1,091 ",,転    入,"31,367 ","17,183 ","14,184 ",,,,,,
,下      浜,817 ,"2,179 ","1,017 ","1,162 ",,転    出,"31,319 ","17,338 ","13,981 ",,,,,,
南部地域,南部地域計,"19,242 ","50,334 ","23,425 ","26,909 ",,出    生,"7,350 ","3,717 ","3,633 ",,,,,,
,牛  島  東,"2,303 ","5,556 ","2,583 ","2,973 ",,死    亡,"11,022 ","5,607 ","5,415 ",,,,,,
,牛  島  西,"2,233 ","5,755 ","2,684 ","3,071 ",,社会動態,48 ,-155 ,203 ,,,,,,
,牛  島  南,502 ,"1,323 ",649 ,674 ,,自然動態,"-3,672 ","-1,890 ","-1,782 ",,,,,,
,卸      町,363 ,743 ,345 ,398 ,,増 減 計,"-3,624 ","-2,045 ","-1,579 ",,,,,,
,大      住,"1,138 ","2,688 ","1,225 ","1,463 ",,,,,,,,,,,
,仁  井  田,"5,515 ","13,937 ","6,539 ","7,398 ",,※この表は、平成２２年１０月１日現在で,,,,,,,,,
,御  野  場,"2,719 ","7,298 ","3,370 ","3,928 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,735 ","7,710 ","3,603 ","4,107 ",,毎月の住民基本台帳の異動状況等を基に推計,,,,,,,,,
,四 ツ 小 屋,690 ,"1,796 ",827 ,969 ,,したものです。,,,,,,,,,
,上  北  手,585 ,"2,152 ",950 ,"1,202 ",,,,,,,,,,,
,山　手　台,459 ,"1,376 ",650 ,726 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
