人　口　世　帯　表,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成１１年１月１日現在        ,,,,,,,,,　　　　　,秋田市企画調整課,,,,,
,牛  島  西,"2,406 ","7,239 ","3,444 ","3,795 ",,自然動態,"2,344 ",971 ,"1,373 ",,,,,
,卸      町,257 ,655 ,326 ,329 ,,増 減 計,"3,986 ","1,716 ","2,270 ",,,,,
,大      住,"1,211 ","3,217 ","1,573 ","1,644 ",,,,,,,,,,
,仁  井  田,"4,912 ","14,017 ","6,744 ","7,273 ",,※平成７年１０月１日現在で実施された,,,,,,,,
,御  野  場,"2,627 ","8,644 ","4,077 ","4,567 ",,国勢調査結果と住民基本台帳を基に推計,,,,,,,,
,御  所  野,"1,399 ","3,901 ","1,817 ","2,084 ",,した人口世帯表です。,,,,,,,,
,四 ツ 小 屋,580 ,"1,930 ",902 ,"1,028 ",,,,,,,,,,
,上  北  手,535 ,"1,807 ",848 ,959 ,,,,,,,,,,
,大  平  台,129 ,447 ,206 ,241 ,,,,,,,,,,
,山　手　台,45 ,129 ,69 ,60 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
