質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.5%,10.7%,15.3%,10.5%,14.8%,9.1%,14.8%,4.2%,6.9%,4.4%,0.0%,4.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",20 ,53 ,12 ,0 ,1 ,2 ,15 ,0 ,5 ,51 ,2 ,58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5%,9.8%,3.3%,0.0%,1.9%,9.1%,3.3%,0.0%,5.0%,17.3%,11.1%,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",17 ,27 ,4 ,0 ,0 ,2 ,6 ,0 ,2 ,31 ,3 ,36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.7%,5.0%,1.1%,0.0%,0.0%,9.1%,1.3%,0.0%,2.0%,10.5%,16.7%,8.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",11 ,33 ,30 ,0 ,1 ,0 ,31 ,0 ,12 ,1 ,0 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0%,6.1%,8.2%,0.0%,1.9%,0.0%,6.7%,0.0%,11.9%,0.3%,0.0%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",12 ,12 ,3 ,0 ,0 ,1 ,4 ,0 ,0 ,18 ,0 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3%,2.2%,0.8%,0.0%,0.0%,4.5%,0.9%,0.0%,0.0%,6.1%,0.0%,4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",6 ,14 ,12 ,1 ,1 ,0 ,14 ,2 ,1 ,1 ,1 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.6%,2.6%,3.3%,5.3%,1.9%,0.0%,3.0%,8.3%,1.0%,0.3%,5.6%,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",10 ,10 ,4 ,0 ,0 ,1 ,5 ,1 ,0 ,10 ,3 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.7%,1.8%,1.1%,0.0%,0.0%,4.5%,1.1%,4.2%,0.0%,3.4%,16.7%,3.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",73 ,118 ,87 ,7 ,14 ,2 ,110 ,3 ,18 ,53 ,2 ,76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.0%,21.8%,23.8%,36.8%,25.9%,9.1%,23.9%,12.5%,17.8%,18.0%,11.1%,17.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,21 ,16 ,11 ,3 ,1 ,1 ,16 ,0 ,2 ,17 ,2 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.8%,3.0%,3.0%,15.8%,1.9%,4.5%,3.5%,0.0%,2.0%,5.8%,11.1%,4.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,9 ,23 ,6 ,0 ,1 ,1 ,8 ,0 ,5 ,19 ,0 ,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5%,4.3%,1.6%,0.0%,1.9%,4.5%,1.7%,0.0%,5.0%,6.5%,0.0%,5.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,居住地域別,,,,,,,居住年数別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中央,東部,西部,南部,北部,河辺,雄和,"５年
未満","５～
９年","10～
19年","20～
29年","30年
以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,214 ,180 ,97 ,139 ,235 ,22 ,15 ,37 ,39 ,73 ,137 ,606 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,117 ,97 ,50 ,76 ,121 ,10 ,5 ,19 ,23 ,42 ,78 ,314 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54.7%,53.9%,51.5%,54.7%,51.5%,45.5%,33.3%,51.4%,59.0%,57.5%,56.9%,51.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",17 ,18 ,12 ,14 ,20 ,2 ,5 ,2 ,2 ,8 ,16 ,61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.9%,10.0%,12.4%,10.1%,8.5%,9.1%,33.3%,5.4%,5.1%,11.0%,11.7%,10.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",18 ,16 ,7 ,8 ,23 ,2 ,1 ,2 ,2 ,1 ,4 ,62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.4%,8.9%,7.2%,5.8%,9.8%,9.1%,6.7%,5.4%,5.1%,1.4%,2.9%,10.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",9 ,9 ,4 ,5 ,14 ,3 ,1 ,2 ,3 ,0 ,3 ,36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2%,5.0%,4.1%,3.6%,6.0%,13.6%,6.7%,5.4%,7.7%,0.0%,2.2%,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",15 ,13 ,3 ,4 ,9 ,0 ,0 ,9 ,6 ,6 ,5 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0%,7.2%,3.1%,2.9%,3.8%,0.0%,0.0%,24.3%,15.4%,8.2%,3.6%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",7 ,2 ,4 ,5 ,5 ,1 ,0 ,0 ,2 ,3 ,2 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3%,1.1%,4.1%,3.6%,2.1%,4.5%,0.0%,0.0%,5.1%,4.1%,1.5%,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",5 ,3 ,2 ,1 ,4 ,4 ,0 ,1 ,0 ,5 ,1 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.3%,1.7%,2.1%,0.7%,1.7%,18.2%,0.0%,2.7%,0.0%,6.8%,0.7%,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",4 ,2 ,3 ,3 ,8 ,0 ,0 ,0 ,1 ,2 ,2 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.9%,1.1%,3.1%,2.2%,3.4%,0.0%,0.0%,0.0%,2.6%,2.7%,1.5%,2.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",36 ,38 ,25 ,35 ,45 ,5 ,5 ,6 ,6 ,12 ,35 ,127 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.8%,21.1%,25.8%,25.2%,19.1%,22.7%,33.3%,16.2%,15.4%,16.4%,25.5%,21.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,9 ,9 ,1 ,3 ,14 ,1 ,0 ,0 ,1 ,2 ,3 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2%,5.0%,1.0%,2.2%,6.0%,4.5%,0.0%,0.0%,2.6%,2.7%,2.2%,4.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,6 ,5 ,3 ,4 ,12 ,1 ,1 ,0 ,0 ,4 ,3 ,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.8%,2.8%,3.1%,2.9%,5.1%,4.5%,6.7%,0.0%,0.0%,5.5%,2.2%,4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,同居家族別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,子ども(中学生以下)がいない,,,,,子どもがいる,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,"夫婦
のみ",二世代,三世代,(小計),二世代,三世代,(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,121 ,264 ,231 ,45 ,661 ,133 ,35 ,168 ,65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,65 ,150 ,128 ,22 ,365 ,67 ,18 ,85 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53.7%,56.8%,55.4%,48.9%,55.2%,50.4%,51.4%,50.6%,38.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",7 ,24 ,31 ,3 ,65 ,14 ,5 ,19 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.8%,9.1%,13.4%,6.7%,9.8%,10.5%,14.3%,11.3%,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",23 ,21 ,11 ,5 ,60 ,7 ,1 ,8 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.0%,8.0%,4.8%,11.1%,9.1%,5.3%,2.9%,4.8%,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",6 ,18 ,5 ,0 ,29 ,4 ,2 ,6 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0%,6.8%,2.2%,0.0%,4.4%,3.0%,5.7%,3.6%,12.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",1 ,0 ,1 ,0 ,2 ,33 ,7 ,40 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8%,0.0%,0.4%,0.0%,0.3%,24.8%,20.0%,23.8%,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",4 ,9 ,2 ,0 ,15 ,4 ,1 ,5 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3%,3.4%,0.9%,0.0%,2.3%,3.0%,2.9%,3.0%,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",3 ,2 ,4 ,0 ,9 ,5 ,3 ,8 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5%,0.8%,1.7%,0.0%,1.4%,3.8%,8.6%,4.8%,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",7 ,3 ,1 ,1 ,12 ,4 ,1 ,5 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.8%,1.1%,0.4%,2.2%,1.8%,3.0%,2.9%,3.0%,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",20 ,57 ,54 ,16 ,147 ,25 ,3 ,28 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.5%,21.6%,23.4%,35.6%,22.2%,18.8%,8.6%,16.7%,16.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,2 ,12 ,9 ,1 ,24 ,4 ,1 ,5 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.7%,4.5%,3.9%,2.2%,3.6%,3.0%,2.9%,3.0%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,6 ,11 ,9 ,2 ,28 ,1 ,0 ,1 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0%,4.2%,3.9%,4.4%,4.2%,0.8%,0.0%,0.6%,4.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,同居家族別(高齢者),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,,,夫婦のみ,,,子世代と同居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,35 ,30 ,65 ,87 ,75 ,162 ,71 ,64 ,135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,20 ,9 ,29 ,43 ,43 ,86 ,34 ,39 ,73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57.1%,30.0%,44.6%,49.4%,57.3%,53.1%,47.9%,60.9%,54.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",1 ,1 ,2 ,10 ,3 ,13 ,11 ,2 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9%,3.3%,3.1%,11.5%,4.0%,8.0%,15.5%,3.1%,9.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",6 ,16 ,22 ,7 ,12 ,19 ,6 ,8 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.1%,53.3%,33.8%,8.0%,16.0%,11.7%,8.5%,12.5%,10.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",2 ,2 ,4 ,7 ,10 ,17 ,3 ,1 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7%,6.7%,6.2%,8.0%,13.3%,10.5%,4.2%,1.6%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
