,,,,人　口　世　帯　表,,,,,,,
,手      形,"2,421 ","3,733 ","2,015 ","1,718 ",,,,,,
,手 形（字）,"3,149 ","5,647 ","2,870 ","2,777 ",,○　前月人口増減の内訳,,,,
,手  形  山,918 ,"1,875 ",810 ,"1,065 ",,,計,男,女,
,泉（旭 川）,"1,250 ","2,735 ","1,285 ","1,450 ",,転    入,392 ,222 ,170 ,
,旭      川,"1,035 ","2,378 ","1,096 ","1,282 ",,転    出,364 ,186 ,178 ,
,新  藤  田,475 ,"1,126 ",501 ,625 ,,出    生,148 ,73 ,75 ,
,濁      川,780 ,"1,769 ",835 ,934 ,,死    亡,349 ,194 ,155 ,
,添      川,754 ,"2,047 ",894 ,"1,153 ",,社会動態,28 ,36 ,-8 ,
,山      内,82 ,309 ,124 ,185 ,,自然動態,-201 ,-121 ,-80 ,
,仁      別,49 ,119 ,45 ,74 ,,増 減 計,-173 ,-85 ,-88 ,
,広      面,"7,276 ","13,947 ","6,614 ","7,333 ",,,,,,
,柳      田,803 ,"1,876 ",870 ,"1,006 ",,○　令和３年１月１日からの累計,,,,
,横      森,"1,828 ","3,865 ","1,809 ","2,056 ",,,計,男,女,
,桜,"1,512 ","3,276 ","1,497 ","1,779 ",,転    入,"8,428 ","4,719 ","3,709 ",
,桜  ガ  丘,892 ,"2,257 ","1,050 ","1,207 ",,転    出,"8,401 ","4,698 ","3,703 ",
,桜　　　台,743 ,"2,405 ","1,183 ","1,222 ",,出    生,"1,746 ",887 ,859 ,
,大  平  台,592 ,"1,702 ",799 ,903 ,,死    亡,"3,989 ","1,958 ","2,031 ",
,下  北  手,"1,139 ","2,856 ","1,442 ","1,414 ",,社会動態,27 ,21 ,6 ,
,太      平,758 ,"1,985 ",904 ,"1,081 ",,自然動態,"-2,243 ","-1,071 ","-1,172 ",
西部地域,西部地域計,"14,278 ","33,709 ","15,770 ","17,939 ",,増 減 計,"-2,216 ","-1,050 ","-1,166 ",
,新      屋,"6,561 ","14,975 ","6,964 ","8,011 ",,,,,,
,勝      平,"5,485 ","12,693 ","6,074 ","6,619 ",,○　令和２年１０月１日からの累計,,,,
,浜      田,890 ,"2,593 ","1,121 ","1,472 ",,,計,男,女,
,豊      岩,615 ,"1,667 ",763 ,904 ,,転    入,"9,810 ","5,491 ","4,319 ",
,下      浜,727 ,"1,781 ",848 ,933 ,,転    出,"9,617 ","5,348 ","4,269 ",
南部地域,南部地域計,"20,454 ","49,475 ","23,136 ","26,339 ",,出    生,"2,193 ","1,120 ","1,073 ",
,牛  島  東,"2,369 ","5,382 ","2,507 ","2,875 ",,死    亡,"4,996 ","2,489 ","2,507 ",
,牛  島  西,"2,118 ","5,078 ","2,353 ","2,725 ",,社会動態,193 ,143 ,50 ,
,牛  島  南,516 ,"1,247 ",607 ,640 ,,自然動態,"-2,803 ","-1,369 ","-1,434 ",
,卸      町,434 ,876 ,403 ,473 ,,増 減 計,"-2,610 ","-1,226 ","-1,384 ",
,大      住,"1,307 ","2,736 ","1,242 ","1,494 ",,,,,,
,大　住　南,475 ,"1,180 ",574 ,606 ,,,,,,
,仁  井  田,"5,501 ","12,646 ","5,988 ","6,658 ",,※この表は、令和２年１０月１日現在に実施,,,,
,御  野  場,"2,639 ","6,368 ","2,971 ","3,397 ",,された国勢調査（確定値）結果を基礎に毎月,,,,
,御  所  野,"3,167 ","8,354 ","3,861 ","4,493 ",,の住民基本台帳の異動状況等を基に推計した,,,,
,四 ツ 小 屋,677 ,"1,685 ",816 ,869 ,,ものです。,,,,
,上  北  手,382 ,"1,294 ",536 ,758 ,,,,,,
,山　手　台,555 ,"1,603 ",773 ,830 ,,,,,,
,南　ケ　丘,314 ,"1,026 ",505 ,521 ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
