１６　年 齢（５ 歳 階 級） 別 構 成 の 推 移,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,各年１０月１日現在　単位：人
,50 ～ 54,"25,510 ",7.7 ,"12,524 ","12,986 ","22,101 ",6.8 ,"10,601 ","11,500 ","20,445 ",6.5 ,"9,727 ","10,718 ","19,801 ",6.4 ,"9,653 ","10,148 "
,55 ～ 59,"27,205 ",8.2 ,"13,076 ","14,129 ","24,912 ",7.7 ,"12,094 ","12,818 ","21,625 ",6.8 ,"10,328 ","11,297 ","20,219 ",6.6 ,"9,531 ","10,688 "
,60 ～ 64,"20,645 ",6.2 ,"9,830 ","10,815 ","26,701 ",8.3 ,"12,750 ","13,951 ","24,314 ",7.7 ,"11,686 ","12,628 ","21,094 ",6.9 ,"9,988 ","11,106 "
,計,"218,498 ",65.6 ,"106,920 ","111,578 ","205,301 ",63.4 ,"100,039 ","105,262 ","186,207 ",59.0 ,"90,840 ","95,367 ","172,755 ",56.1 ,"84,882 ","87,873 "
,65 ～ 69,"19,620 ",5.9 ,"8,870 ","10,750 ","19,798 ",6.1 ,"9,201 ","10,597 ","25,557 ",8.1 ,"12,064 ","13,493 ","23,339 ",7.6 ,"11,088 ","12,251 "
,70 ～ 74,"18,578 ",5.6 ,"7,957 ","10,621 ","18,459 ",5.7 ,"8,111 ","10,348 ","18,557 ",5.9 ,"8,462 ","10,095 ","24,085 ",7.8 ,"10,963 ","13,122 "
老年人口,75 ～ 79,"15,389 ",4.6 ,"6,314 ","9,075 ","16,657 ",5.1 ,"6,739 ","9,918 ","16,749 ",5.3 ,"7,080 ","9,669 ","16,824 ",5.5 ,"7,225 ","9,599 "
,80 ～ 84,"9,638 ",2.9 ,"3,403 ","6,235 ","12,745 ",3.9 ,"4,744 ","8,001 ","14,006 ",4.4 ,"5,273 ","8,733 ","14,343 ",4.7 ,"5,606 ","8,737 "
,85 ～ 89,"4,698 ",1.4 ,"1,423 ","3,275 ","6,739 ",2.1 ,"2,035 ","4,704 ","9,214 ",2.9 ,"3,005 ","6,209 ","10,531 ",3.4 ,"3,460 ","7,071 "
,90 ～ 94,"1,964 ",0.5 ,506 ,"1,458 ","2,523 ",0.8 ,586 ,"1,937 ","3,677 ",1.2 ,867 ,"2,810 ","5,330 ",1.7 ,"1,390 ","3,940 "
,95 ～ 99,444 ,0.1 ,83 ,361 ,619 ,0.2 ,127 ,492 ,827 ,0.3 ,137 ,690 ,"1,322 ",0.4 ,254 ,"1,068 "
,　100歳以上,40 ,0.0 ,6 ,34 ,85 ,0.0 ,8 ,77 ,126 ,0.0 ,17 ,109 ,175 ,0.1 ,14 ,161 
,計,"70,371 ",21.1 ,"28,562 ","41,809 ","77,625 ",24.0 ,"31,551 ","46,074 ","88,713 ",28.1 ,"36,905 ","51,808 ","95,949 ",31.2 ,"40,000 ","55,949 "
年 齢 不 詳,,361 ,0.1 ,192 ,169 ,"1,100 ",0.3 ,710 ,390 ,"5,978 ",1.9 ,"3,423 ","2,555 ","6,159 ",2.0 ,"3,736 ","2,423 "
　資料　総務省統計局「国勢調査報告」,,,,,,,,,,,,,,,,,
  注）総数には年齢不詳を含む,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
