,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,492 ","9,679 ","4,616 ","5,063 ",河　　　辺,,"3,056 ","8,975 ","4,227 ","4,748 ",,,,,
東部地域,東部地域計,"28,921 ","64,472 ","30,593 ","33,879 ",雄　　　和,,"2,175 ","7,309 ","3,394 ","3,915 ",,,,,
,東      通,"3,261 ","6,231 ","2,956 ","3,275 ",,,,,,,,,,,
,手      形,"2,461 ","4,150 ","2,260 ","1,890 ",,,,,,,,,,,
,手 形（字）,"3,150 ","5,914 ","2,889 ","3,025 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,900 ,"2,056 ",925 ,"1,131 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,261 ","2,952 ","1,360 ","1,592 ",,転    入,470 ,256 ,214 ,,,,,,
,旭      川,998 ,"2,405 ","1,143 ","1,262 ",,転    出,490 ,251 ,239 ,,,,,,
,新  藤  田,491 ,"1,191 ",521 ,670 ,,出    生,205 ,109 ,96 ,,,,,,
,濁      川,780 ,"1,930 ",905 ,"1,025 ",,死    亡,318 ,153 ,165 ,,,,,,
,添      川,764 ,"2,276 ","1,010 ","1,266 ",,社会動態,-20 ,5 ,-25 ,,,,,,
,山      内,87 ,350 ,164 ,186 ,,自然動態,-113 ,-44 ,-69 ,,,,,,
,仁      別,53 ,143 ,56 ,87 ,,増 減 計,-133 ,-39 ,-94 ,,,,,,
,広      面,"6,943 ","14,085 ","6,700 ","7,385 ",,,,,,,,,,,
,柳      田,680 ,"1,981 ",891 ,"1,090 ",,○　平成２４年１月１日からの累計,,,,,,,,,
,横      森,"1,779 ","4,033 ","1,884 ","2,149 ",,,計,男,女,,,,,,
,桜,"1,460 ","3,225 ","1,506 ","1,719 ",,転    入,"10,177 ","5,629 ","4,548 ",,,,,,
,桜  ガ  丘,906 ,"2,571 ","1,203 ","1,368 ",,転    出,"9,823 ","5,507 ","4,316 ",,,,,,
,桜　　　台,453 ,"1,551 ",752 ,799 ,,出    生,"2,299 ","1,156 ","1,143 ",,,,,,
,大  平  台,446 ,"1,457 ",675 ,782 ,,死    亡,"3,425 ","1,746 ","1,679 ",,,,,,
,下  北  手,"1,221 ","3,488 ","1,666 ","1,822 ",,社会動態,354 ,122 ,232 ,,,,,,
,太      平,827 ,"2,483 ","1,127 ","1,356 ",,自然動態,"-1,126 ",-590 ,-536 ,,,,,,
西部地域,西部地域計,"13,840 ","36,289 ","16,982 ","19,307 ",,増 減 計,-772 ,-468 ,-304 ,,,,,,
,新      屋,"6,144 ","15,616 ","7,229 ","8,387 ",,,,,,,,,,,
,勝      平,"5,305 ","13,423 ","6,482 ","6,941 ",,○　平成２２年１０月１日からの累計,,,,,,,,,
,浜      田,932 ,"2,980 ","1,299 ","1,681 ",,,計,男,女,,,,,,
,豊      岩,637 ,"2,013 ",920 ,"1,093 ",,転    入,"21,531 ","11,770 ","9,761 ",,,,,,
,下      浜,822 ,"2,257 ","1,052 ","1,205 ",,転    出,"21,006 ","11,615 ","9,391 ",,,,,,
南部地域,南部地域計,"19,035 ","50,374 ","23,465 ","26,909 ",,出    生,"5,135 ","2,608 ","2,527 ",,,,,,
,牛  島  東,"2,317 ","5,648 ","2,635 ","3,013 ",,死    亡,"7,629 ","3,931 ","3,698 ",,,,,,
,牛  島  西,"2,194 ","5,749 ","2,662 ","3,087 ",,社会動態,525 ,155 ,370 ,,,,,,
,牛  島  南,494 ,"1,328 ",650 ,678 ,,自然動態,"-2,494 ","-1,323 ","-1,171 ",,,,,,
,卸      町,360 ,738 ,348 ,390 ,,増 減 計,"-1,969 ","-1,168 ",-801 ,,,,,,
,大      住,"1,166 ","2,752 ","1,264 ","1,488 ",,,,,,,,,,,
,仁  井  田,"5,437 ","13,910 ","6,526 ","7,384 ",,※この表は、平成２２年１０月１日現在で,,,,,,,,,
,御  野  場,"2,713 ","7,402 ","3,419 ","3,983 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,675 ","7,632 ","3,569 ","4,063 ",,毎月の住民基本台帳の異動状況等を基に推計,,,,,,,,,
,四 ツ 小 屋,686 ,"1,820 ",844 ,976 ,,したものです。,,,,,,,,,
,上  北  手,573 ,"2,132 ",948 ,"1,184 ",,,,,,,,,,,
,山　手　台,420 ,"1,263 ",600 ,663 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
