,,,,人　口　世　帯　表,,,,,,,,,,,
東部地域,東部地域計,"28,747 ","65,133 ","30,989 ","34,144 ",雄　　　和,,"2,222 ","7,512 ","3,590 ","3,922 ",,,,
,東      通,"3,315 ","6,308 ","2,970 ","3,338 ",,,,,,,,,,
,手      形,"2,312 ","4,201 ","2,193 ","2,008 ",,,,,,,,,,
,手 形（字）,"3,241 ","6,066 ","2,979 ","3,087 ",,○　前月人口増減の内訳,,,,,,,,
,手  形  山,918 ,"2,139 ",964 ,"1,175 ",,,計,男,女,,,,,
,泉（旭 川）,"1,276 ","3,089 ","1,422 ","1,667 ",,転    入,517 ,261 ,256 ,,,,,
,旭      川,944 ,"2,365 ","1,108 ","1,257 ",,転    出,595 ,321 ,274 ,,,,,
,新  藤  田,504 ,"1,239 ",548 ,691 ,,出    生,216 ,104 ,112 ,,,,,
,濁      川,751 ,"1,929 ",897 ,"1,032 ",,死    亡,289 ,155 ,134 ,,,,,
,添      川,783 ,"2,380 ","1,059 ","1,321 ",,社会動態,-78 ,-60 ,-18 ,,,,,
,山      内,95 ,402 ,176 ,226 ,,自然動態,-73 ,-51 ,-22 ,,,,,
,仁      別,60 ,176 ,76 ,100 ,,増 減 計,-151 ,-111 ,-40 ,,,,,
,広      面,"6,882 ","14,106 ","6,826 ","7,280 ",,,,,,,,,,
,柳      田,672 ,"1,947 ",861 ,"1,086 ",,○　平成20年１月１日からの累計,,,,,,,,
,横      森,"1,774 ","4,149 ","1,957 ","2,192 ",,,計,男,女,,,,,
,桜,"1,488 ","3,248 ","1,552 ","1,696 ",,転    入,"10,224 ","5,612 ","4,612 ",,,,,
,桜  ガ  丘,865 ,"2,475 ","1,167 ","1,308 ",,転    出,"11,883 ","6,644 ","5,239 ",,,,,
,桜　　　台,323 ,"1,093 ",525 ,568 ,,出    生,"2,531 ","1,252 ","1,279 ",,,,,
,大  平  台,415 ,"1,358 ",639 ,719 ,,死    亡,"3,010 ","1,602 ","1,408 ",,,,,
,下  北  手,"1,262 ","3,726 ","1,833 ","1,893 ",,社会動態,"-1,659 ","-1,032 ",-627 ,,,,,
,太      平,867 ,"2,737 ","1,237 ","1,500 ",,自然動態,-479 ,-350 ,-129 ,,,,,
西部地域,西部地域計,"13,686 ","36,835 ","17,337 ","19,498 ",,増 減 計,"-2,138 ","-1,382 ",-756 ,,,,,
,新      屋,"5,812 ","15,197 ","7,052 ","8,145 ",,,,,,,,,,
,勝      平,"5,487 ","14,059 ","6,826 ","7,233 ",,○　平成17年10月１日からの累計,,,,,,,,
,浜      田,954 ,"3,091 ","1,382 ","1,709 ",,,計,男,女,,,,,
,豊      岩,624 ,"2,129 ",974 ,"1,155 ",,転    入,"33,250 ","18,187 ","15,063 ",,,,,
,下      浜,809 ,"2,359 ","1,103 ","1,256 ",,転    出,"37,587 ","20,828 ","16,759 ",,,,,
南部地域,南部地域計,"18,389 ","50,126 ","23,510 ","26,616 ",,出    生,"8,251 ","4,199 ","4,052 ",,,,,
,牛  島  東,"2,404 ","5,921 ","2,746 ","3,175 ",,死    亡,"9,874 ","5,266 ","4,608 ",,,,,
,牛  島  西,"2,151 ","5,790 ","2,688 ","3,102 ",,社会動態,"-4,337 ","-2,641 ","-1,696 ",,,,,
,牛  島  南,480 ,"1,387 ",678 ,709 ,,自然動態,"-1,623 ","-1,067 ",-556 ,,,,,
,卸      町,347 ,747 ,370 ,377 ,,増 減 計,"-5,960 ","-3,708 ","-2,252 ",,,,,
,大      住,"1,260 ","3,036 ","1,427 ","1,609 ",,,,,,,,,,
,仁  井  田,"5,388 ","14,070 ","6,661 ","7,409 ",,※この表は、平成17年10月１日現在で,,,,,,,,
,御  野  場,"2,693 ","7,835 ","3,667 ","4,168 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,
,御  所  野,"2,210 ","6,691 ","3,136 ","3,555 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,
,四 ツ 小 屋,635 ,"1,809 ",851 ,958 ,,状況等を基に推計したものです。,,,,,,,,
,上  北  手,539 ,"1,950 ",855 ,"1,095 ",,,,,,,,,,
,山　手　台,282 ,890 ,431 ,459 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
