,,,,人　口　世　帯　表,,,,,,,
,手      形,"2,398 ","3,777 ","2,046 ","1,731 ",,,,,,
,手 形（字）,"3,191 ","5,716 ","2,904 ","2,812 ",,○　前月人口増減の内訳,,,,
,手  形  山,912 ,"1,860 ",810 ,"1,050 ",,,計,男,女,
,泉（旭 川）,"1,252 ","2,774 ","1,305 ","1,469 ",,転    入,445 ,248 ,197 ,
,旭      川,"1,011 ","2,379 ","1,104 ","1,275 ",,転    出,386 ,197 ,189 ,
,新  藤  田,467 ,"1,137 ",505 ,632 ,,出    生,155 ,81 ,74 ,
,濁      川,761 ,"1,755 ",823 ,932 ,,死    亡,387 ,209 ,178 ,
,添      川,761 ,"2,106 ",921 ,"1,185 ",,社会動態,59 ,51 ,8 ,
,山      内,85 ,324 ,132 ,192 ,,自然動態,-232 ,-128 ,-104 ,
,仁      別,50 ,123 ,46 ,77 ,,増 減 計,-173 ,-77 ,-96 ,
,広      面,"7,219 ","14,000 ","6,603 ","7,397 ",,,,,,
,柳      田,788 ,"1,888 ",885 ,"1,003 ",,○　令和２年１月１日からの累計,,,,
,横      森,"1,814 ","3,893 ","1,820 ","2,073 ",,,計,男,女,
,桜,"1,488 ","3,261 ","1,497 ","1,764 ",,転    入,"8,534 ","4,826 ","3,708 ",
,桜  ガ  丘,888 ,"2,289 ","1,063 ","1,226 ",,転    出,"8,458 ","4,718 ","3,740 ",
,桜　　　台,717 ,"2,345 ","1,156 ","1,189 ",,出    生,"1,767 ",923 ,844 ,
,大  平  台,587 ,"1,723 ",808 ,915 ,,死    亡,"3,831 ","1,938 ","1,893 ",
,下  北  手,"1,141 ","2,900 ","1,469 ","1,431 ",,社会動態,76 ,108 ,-32 ,
,太      平,761 ,"2,023 ",921 ,"1,102 ",,自然動態,"-2,064 ","-1,015 ","-1,049 ",
西部地域,西部地域計,"14,159 ","34,004 ","15,936 ","18,068 ",,増 減 計,"-1,988 ",-907 ,"-1,081 ",
,新      屋,"6,452 ","15,011 ","6,963 ","8,048 ",,,,,,
,勝      平,"5,489 ","12,858 ","6,190 ","6,668 ",,○　令和２年１０月１日からの累計,,,,
,浜      田,872 ,"2,589 ","1,127 ","1,462 ",,,計,男,女,
,豊      岩,612 ,"1,717 ",784 ,933 ,,転    入,"1,382 ",772 ,610 ,
,下      浜,734 ,"1,829 ",872 ,957 ,,転    出,"1,216 ",650 ,566 ,
南部地域,南部地域計,"20,285 ","49,875 ","23,347 ","26,528 ",,出    生,447 ,233 ,214 ,
,牛  島  東,"2,377 ","5,444 ","2,553 ","2,891 ",,死    亡,"1,007 ",531 ,476 ,
,牛  島  西,"2,114 ","5,135 ","2,390 ","2,745 ",,社会動態,166 ,122 ,44 ,
,牛  島  南,513 ,"1,279 ",619 ,660 ,,自然動態,-560 ,-298 ,-262 ,
,卸      町,424 ,860 ,398 ,462 ,,増 減 計,-394 ,-176 ,-218 ,
,大      住,"1,262 ","2,666 ","1,211 ","1,455 ",,,,,,
,大　住　南,472 ,"1,197 ",580 ,617 ,,,,,,
,仁  井  田,"5,422 ","12,760 ","6,039 ","6,721 ",,※この表は、令和２年１０月１日現在に実施,,,,
,御  野  場,"2,623 ","6,482 ","3,020 ","3,462 ",,された国勢調査（確定値）結果を基礎に毎月,,,,
,御  所  野,"3,148 ","8,390 ","3,897 ","4,493 ",,の住民基本台帳の異動状況等を基に推計した,,,,
,四 ツ 小 屋,681 ,"1,712 ",822 ,890 ,,ものです。,,,,
,上  北  手,400 ,"1,350 ",552 ,798 ,,,,,,
,山　手　台,543 ,"1,590 ",767 ,823 ,,,,,,
,南　ケ　丘,306 ,"1,010 ",499 ,511 ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
