,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,461 ","9,639 ","4,599 ","5,040 ",河　　　辺,,"3,042 ","9,132 ","4,327 ","4,805 ",,,,,
東部地域,東部地域計,"28,649 ","64,480 ","30,607 ","33,873 ",雄　　　和,,"2,141 ","7,449 ","3,451 ","3,998 ",,,,,
,東      通,"3,228 ","6,209 ","2,931 ","3,278 ",,,,,,,,,,,
,手      形,"2,434 ","4,165 ","2,252 ","1,913 ",,,,,,,,,,,
,手 形（字）,"3,157 ","5,940 ","2,901 ","3,039 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,900 ,"2,061 ",924 ,"1,137 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,262 ","2,978 ","1,383 ","1,595 ",,転    入,462 ,233 ,229 ,,,,,,
,旭      川,979 ,"2,401 ","1,134 ","1,267 ",,転    出,466 ,249 ,217 ,,,,,,
,新  藤  田,483 ,"1,191 ",526 ,665 ,,出    生,175 ,88 ,87 ,,,,,,
,濁      川,784 ,"1,956 ",922 ,"1,034 ",,死    亡,316 ,128 ,188 ,,,,,,
,添      川,755 ,"2,275 ","1,015 ","1,260 ",,社会動態,-4 ,-16 ,12 ,,,,,,
,山      内,89 ,359 ,165 ,194 ,,自然動態,-141 ,-40 ,-101 ,,,,,,
,仁      別,51 ,145 ,56 ,89 ,,増 減 計,-145 ,-56 ,-89 ,,,,,,
,広      面,"6,839 ","14,026 ","6,709 ","7,317 ",,,,,,,,,,,
,柳      田,689 ,"1,979 ",898 ,"1,081 ",,○　平成２３年１月１日からの累計,,,,,,,,,
,横      森,"1,765 ","4,071 ","1,909 ","2,162 ",,,計,男,女,,,,,,
,桜,"1,432 ","3,211 ","1,494 ","1,717 ",,転    入,"9,685 ","5,258 ","4,427 ",,,,,,
,桜  ガ  丘,908 ,"2,574 ","1,195 ","1,379 ",,転    出,"9,721 ","5,340 ","4,381 ",,,,,,
,桜　　　台,419 ,"1,437 ",692 ,745 ,,出    生,"2,264 ","1,170 ","1,094 ",,,,,,
,大  平  台,430 ,"1,404 ",653 ,751 ,,死    亡,"3,365 ","1,751 ","1,614 ",,,,,,
,下  北  手,"1,214 ","3,527 ","1,679 ","1,848 ",,社会動態,-36 ,-82 ,46 ,,,,,,
,太      平,831 ,"2,571 ","1,169 ","1,402 ",,自然動態,"-1,101 ",-581 ,-520 ,,,,,,
西部地域,西部地域計,"13,718 ","36,418 ","17,035 ","19,383 ",,増 減 計,"-1,137 ",-663 ,-474 ,,,,,,
,新      屋,"6,068 ","15,615 ","7,233 ","8,382 ",,,,,,,,,,,
,勝      平,"5,276 ","13,473 ","6,501 ","6,972 ",,○　平成２２年１０月１日からの累計,,,,,,,,,
,浜      田,931 ,"3,022 ","1,316 ","1,706 ",,,計,男,女,,,,,,
,豊      岩,628 ,"2,039 ",933 ,"1,106 ",,転    入,"11,354 ","6,141 ","5,213 ",,,,,,
,下      浜,815 ,"2,269 ","1,052 ","1,217 ",,転    出,"11,183 ","6,108 ","5,075 ",,,,,,
南部地域,南部地域計,"18,802 ","50,317 ","23,512 ","26,805 ",,出    生,"2,836 ","1,452 ","1,384 ",,,,,,
,牛  島  東,"2,333 ","5,697 ","2,661 ","3,036 ",,死    亡,"4,204 ","2,185 ","2,019 ",,,,,,
,牛  島  西,"2,191 ","5,814 ","2,685 ","3,129 ",,社会動態,171 ,33 ,138 ,,,,,,
,牛  島  南,489 ,"1,337 ",658 ,679 ,,自然動態,"-1,368 ",-733 ,-635 ,,,,,,
,卸      町,329 ,712 ,339 ,373 ,,増 減 計,"-1,197 ",-700 ,-497 ,,,,,,
,大      住,"1,188 ","2,843 ","1,321 ","1,522 ",,,,,,,,,,,
,仁  井  田,"5,378 ","13,917 ","6,555 ","7,362 ",,※この表は、平成２２年１０月１日現在で,,,,,,,,,
,御  野  場,"2,686 ","7,462 ","3,470 ","3,992 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,578 ","7,411 ","3,477 ","3,934 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,,
,四 ツ 小 屋,667 ,"1,794 ",832 ,962 ,,状況等を基に推計したものです。,,,,,,,,,
,上  北  手,582 ,"2,165 ",954 ,"1,211 ",,,,,,,,,,,
,山　手　台,381 ,"1,165 ",560 ,605 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
