,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,516 ","9,353 ","4,465 ","4,888 ",河　　　辺,,"2,956 ","8,349 ","3,951 ","4,398 ",,,,,
東部地域,東部地域計,"29,616 ","63,849 ","30,301 ","33,548 ",雄　　　和,,"1,818 ","6,628 ","3,127 ","3,501 ",,,,,
,東      通,"3,285 ","6,117 ","2,926 ","3,191 ",,,,,,,,,,,
,手      形,"2,532 ","4,099 ","2,188 ","1,911 ",,,,,,,,,,,
,手 形（字）,"3,189 ","5,859 ","2,901 ","2,958 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,945 ,"1,971 ",863 ,"1,108 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,232 ","2,840 ","1,312 ","1,528 ",,転    入,373 ,200 ,173 ,,,,,,
,旭      川,"1,000 ","2,393 ","1,130 ","1,263 ",,転    出,541 ,265 ,276 ,,,,,,
,新  藤  田,442 ,"1,077 ",477 ,600 ,,出    生,152 ,77 ,75 ,,,,,,
,濁      川,772 ,"1,892 ",881 ,"1,011 ",,死    亡,346 ,179 ,167 ,,,,,,
,添      川,760 ,"2,216 ",985 ,"1,231 ",,社会動態,-168 ,-65 ,-103 ,,,,,,
,山      内,93 ,361 ,149 ,212 ,,自然動態,-194 ,-102 ,-92 ,,,,,,
,仁      別,50 ,129 ,53 ,76 ,,増 減 計,-362 ,-167 ,-195 ,,,,,,
,広      面,"7,196 ","14,206 ","6,676 ","7,530 ",,,,,,,,,,,
,柳      田,751 ,"2,056 ",927 ,"1,129 ",,○　平成２８年１月１日からの累計,,,,,,,,,
,横      森,"1,771 ","3,825 ","1,810 ","2,015 ",,,計,男,女,,,,,,
,桜,"1,534 ","3,320 ","1,570 ","1,750 ",,転    入,"9,358 ","5,159 ","4,199 ",,,,,,
,桜  ガ  丘,900 ,"2,443 ","1,146 ","1,297 ",,転    出,"10,078 ","5,468 ","4,610 ",,,,,,
,桜　　　台,602 ,"1,925 ",933 ,992 ,,出    生,"2,095 ","1,065 ","1,030 ",,,,,,
,大  平  台,575 ,"1,762 ",829 ,933 ,,死    亡,"3,614 ","1,789 ","1,825 ",,,,,,
,下  北  手,"1,200 ","3,120 ","1,542 ","1,578 ",,社会動態,-720 ,-309 ,-411 ,,,,,,
,太      平,787 ,"2,238 ","1,003 ","1,235 ",,自然動態,"-1,519 ",-724 ,-795 ,,,,,,
西部地域,西部地域計,"14,008 ","34,971 ","16,402 ","18,569 ",,増 減 計,"-2,239 ","-1,033 ","-1,206 ",,,,,,
,新      屋,"6,320 ","15,200 ","7,024 ","8,176 ",,,,,,,,,,,
,勝      平,"5,409 ","13,131 ","6,348 ","6,783 ",,○　平成２７年１０月１日からの累計,,,,,,,,,
,浜      田,896 ,"2,782 ","1,226 ","1,556 ",,,計,男,女,,,,,,
,豊      岩,630 ,"1,873 ",879 ,994 ,,転    入,"10,952 ","6,005 ","4,947 ",,,,,,
,下      浜,753 ,"1,985 ",925 ,"1,060 ",,転    出,"11,628 ","6,262 ","5,366 ",,,,,,
南部地域,南部地域計,"19,670 ","49,578 ","23,183 ","26,395 ",,出    生,"2,568 ","1,317 ","1,251 ",,,,,,
,牛  島  東,"2,332 ","5,449 ","2,563 ","2,886 ",,死    亡,"4,562 ","2,255 ","2,307 ",,,,,,
,牛  島  西,"2,248 ","5,546 ","2,584 ","2,962 ",,社会動態,-676 ,-257 ,-419 ,,,,,,
,牛  島  南,500 ,"1,267 ",621 ,646 ,,自然動態,"-1,994 ",-938 ,"-1,056 ",,,,,,
,卸      町,383 ,850 ,405 ,445 ,,増 減 計,"-2,670 ","-1,195 ","-1,475 ",,,,,,
,大      住,"1,100 ","2,517 ","1,153 ","1,364 ",,,,,,,,,,,
,仁  井  田,"5,643 ","13,692 ","6,457 ","7,235 ",,※この表は、平成２７年１０月１日現在で,,,,,,,,,
,御  野  場,"2,666 ","6,992 ","3,239 ","3,753 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,908 ","7,691 ","3,606 ","4,085 ",,毎月の住民基本台帳の異動状況等を基に推計,,,,,,,,,
,四 ツ 小 屋,677 ,"1,752 ",820 ,932 ,,したものです。,,,,,,,,,
,上  北  手,673 ,"2,258 ",997 ,"1,261 ",,,,,,,,,,,
,山　手　台,540 ,"1,564 ",738 ,826 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
