,,理容所台帳,,令和４年１０月３１日現在,,,
No.,施設名称,施設所在地,,施設電話,確認年月日,確認番号,
301,ＺＥＲＯ,秋田市御野場新町三丁目２－１５,,018-829-2535,7/31/96,２０８４,
302,Bar Berササキ,秋田市将軍野東一丁目８－１５,,018-845-2540,9/3/96,２６１９,
303,理容室キャンパス　茨島店,秋田市茨島四丁目３－３６,,018-863-6882,10/24/96,３４５１,
304,しんどう理髪店,秋田市新屋天秤野９－３０,,018-864-4010,12/4/96,４１０２,
305,理容室カワベ,秋田市広面字谷内佐渡４０－２,,018-834-0693,3/24/97,５９１６,
306,理容ナイス,秋田市新屋扇町９－２７,ｱ-ﾊﾞﾝﾊｲﾂｲ新屋駅前A棟,018-828-1228,3/24/97,５９１７,
307,榎理容所,秋田市四ツ小屋末戸松本字柳田７０－２,,018-839-3298,5/23/97,３,
308,センス　ヘア－プロデュ－ス,秋田市将軍野桂町２９－１５,,018-857-4526,6/20/97,４,
309,アデランス秋田,秋田市中通二丁目４－１５,秋田朝日生命丸島ビル２F,018-832-9696,12/7/04,１３,
310,カットハウスベリー,秋田市楢山南中町１０－２１,,018-837-5534,12/27/04,１６,
311,タケシ for Hair,秋田市外旭川八柳二丁目５－４１,,018-868-6252,3/22/05,２０,
312,理容カットエー,秋田市八橋大道東１－４　パブリ内,,018-866-3118,3/30/05,２１,
313,トクタ理容所,秋田市川元開和町１０－１８,,018-862-5048,5/16/05,２,
314,理容カットエー　広面店,秋田市広面字谷地田１０－１,,018-836-3070,5/20/05,３,
315,光 ～for hair～,秋田市将軍野東四丁目７－９,,018-845-2223,8/3/05,６,
316,理容室いたや,秋田市千秋中島町１９－１８,,018-833-2068,9/8/05,９,
317,さんぱつや　きよ,秋田市土崎港東一丁目２－５８,,,9/28/05,１１,
318,スタジオ新,秋田市高陽幸町１７－２０,,018-865-0708,10/27/05,１２,
319,株式会社サンキューカット 土崎店,秋田市土崎港東三丁目１２９－１４,,018-847-3933,11/29/05,１４,
320,Hair Salon アウル,秋田市外旭川字鳥谷場１４７－１,,018-868-4749,12/2/05,１５,
321,理容マルモリ,秋田市手形字西谷地１８６－１,,018-834-4448,2/24/06,２０,
322,石塚理容所,秋田市泉一ノ坪４－２７,,018-868-1684,2/24/06,１９,
323,理容永井,秋田市南通みその町６－１,,018-833-1447,3/9/06,２１,
324,理容ミヨシ,秋田市土崎港中央一丁目５－１６,,018-845-5727,4/24/06,２,
325,株式会社アートネイチャー　秋田店,秋田市中通二丁目４－１９,商工中金・第一生命秋田ビル３F,018-831-2323,5/24/06,３,
326,ヘアーサロン　ファクトリー,秋田市山王沼田町２－１１,,018-864-8206,6/15/06,４,
327,理容サトウ,秋田市外旭川字梶ノ目５０８－５,,018-868-2154,6/20/06,５,
328,カットルーム　ステラマリス,秋田市河辺諸井字大部４１４,,018-882-3242,8/30/06,６,
329,カットハウスM,秋田市泉北四丁目１－３,,018-866-5877,9/20/06,８,
330,散髪屋くろーばー,秋田市広面字昼寝８－４,,018-831-3139,10/23/06,１０,
331,富士理容院,秋田市河辺山内字外川原１３３,,018-883-2228,11/15/06,１１,
332,センス　ワークヘアー,秋田市大住三丁目３－４９,,018-835-1810,12/5/06,１２,
333,イン東京フレスポ御所野店,秋田市御所野元町一丁目１－１８,,018-829-2626,12/7/06,１３,
334,理容カットエー,秋田市土崎港東四丁目４－６９,,018-847-3188,3/6/07,１６,
335,カットサロンひまわり,秋田市中通四丁目１４－１８,,018-832-7646,4/16/07,１,
336,ヘアーサロン　さがわ,秋田市新屋表町２－２９,,018-828-2016,6/18/07,５,
337,理容川口,秋田市土崎港中央五丁目８－２８,,018-846-2510,6/27/07,７,
338,ｃｕｏｒｅ,秋田市御所野元町四丁目１－１,,018-829-6078,7/17/07,９,
339,Ｃｏｍｐｌｅｔｅ,秋田市御所野地蔵田五丁目１１－１,,018-839-3718,8/27/07,１０,
340,石塚理容所,秋田市河辺岩見字鍛冶屋敷１６４－１,,018-883-2207,10/15/07,１２,
341,カットルーム　ＹＡＭＡ,秋田市仁井田二ッ屋二丁目２－４５,,018-853-9638,10/24/07,１３,
342,理容カットエー楢山登町店,秋田市楢山登町３－４３,,018-884-3738,11/22/07,１４,
343,株式会社サンキューカット　御所野店,秋田市御所野堤台一丁目５－１,,018-829-4139,5/21/08,２,
344,バーバーショップ　バックドロップ,秋田市高陽幸町１－３３,,018-823-4818,7/11/08,６,
345,秋田地方総合庁舎理髪室,秋田市山王四丁目１－２,,018-860-3585,8/1/08,８,
346,髙桑理容所,秋田市広面字近藤堰越８８,,018-825-1780,11/5/08,９,
347,プチ・サロン　Bee,秋田市河辺諸井字山根１３７－２５,,018-882-3303,4/3/09,１,
348,介護老人保健施設　山盛苑,秋田市太平山谷字中山谷２２７－２,,018-838-3700,5/14/09,２,
349,ヘアーサロン　ダンディー,秋田市山王中島町１２－２１,,018-863-5420,12/4/09,７,
350,hair art F plus,秋田市手形字十七流４１７,,018-835-2133,1/6/10,８,
351,理容港,秋田市横森五丁目１４－１２,,018-832-2607,4/6/10,１,
352,グリーン理容室,秋田市外旭川字三後田１８４,,018-869-7050,4/27/10,３,
353,理容カットエー,秋田市泉登木６８－１,,018-893-3838,5/20/10,４,
354,AMP,秋田市中通二丁目１－４８,仲小路ビル２F　E室,018-835-5652,6/16/10,６,
355,理容  Ｈａｎａｋｏ,秋田市東通仲町２－１６,,018-831-2555,9/28/10,８,
356,Hair's Kitchen,秋田市大町一丁目４－１,,018-867-1755,9/30/10,９,
357,しんぷるん,秋田市桜二丁目１６－２６,,018-825-1787,10/25/10,１０,
358,あいば理容所,秋田市茨島六丁目２１－２１,,018-823-3289,11/16/10,１１,
359,川尻理容院,秋田市川尻総社町１７－５,,018-862-8389,11/24/10,１２,
360,理容ハッピー,秋田市川元山下町７－３２,川元三幸ビル２号店,018-866-5366,12/6/10,１３,
361,安田理容所,秋田市茨島六丁目２０－９０,,018-823-2852,12/14/10,１４,
362,カガ理容,秋田市泉中央二丁目１５－１,,018-823-3749,1/6/11,１５,
363,カットインセゾン　キャッスル店,秋田市中通一丁目３－５,キャッスルホテル１Ｆ,018-831-5333,3/31/11,１８,
364,堀井理容所,秋田市雄和下黒瀬字町屋敷８５－３,,018-886-2208,6/1/11,３,
365,ｇｒａｄａｔｉｏｎ　ｇｕ　ｈａｉｒ,秋田市山王五丁目１４－２,,018-862-6428,8/29/11,４,
366,赤石,秋田市仁井田新田二丁目４－１,,,11/25/11,６,
367,アクア理容土崎店,秋田市土崎港相染町字沼端７７－２４,,018-846-0301,11/30/11,７,
368,女性専用お顔そりサロンわかさ,秋田市土崎港東四丁目６－３,,018-846-8035,5/23/12,１,
369,秋田緑ヶ丘病院,秋田市飯島字堀川８４,,018-845-2161,6/12/12,２,
370,まちのとこやさん,秋田市泉南三丁目２－５,,018-863-0372,8/1/12,４,
371,とこや,秋田市将軍野南三丁目７－２,コーポ高清水１号,018-846-1992,8/27/12,５,
372,理容・美容　Ｏｐｅｒａ,秋田市広面字高田３３０,,018-893-3774,2/18/13,７,
373,理容プラージュ秋田店,秋田市卸町二丁目２－７,,018-866-1444,4/2/13,１,
374,カットハウスファミリー,秋田市山王七丁目４－１３,拓朋ビル１０１,018-865-0068,5/28/13,３,
375,理容室　Ｈａｎａｋｏ,秋田市外旭川八柳三丁目１４－４７,,018-893-6761,7/30/13,４,
376,ｚｉｋａ,秋田市南通亀の町１４－２７－２,,,9/17/13,５,
377,理容いがらし,秋田市牛島東三丁目４－３４,,018-835-1633,11/11/13,６,
378,理容太陽,秋田市保戸野八丁１－３２,,018-862-1712,11/11/13,７,
379,カットクルー・ジョーカー,秋田市将軍野東四丁目１５－４,,018-827-6735,12/12/13,８,
380,カット＆フェイス,秋田市御所野下堤五丁目１－１,,,3/18/14,９,
381,中通病院理容室,秋田市南通みその町３－１５,,,4/21/14,1,
382,ヘアーサロン山内,秋田市新屋日吉町４０－２８,,018-828-1178,6/19/14,２,
383,rodina,秋田市泉一ノ坪５－７,,018-868-9005,6/26/14,３,
384,トコヤ　チャオ,秋田市桜二丁目１７－５,,018-833-5364,6/30/14,４,
385,ＬＡ　ＭＥＬＵ　ＡＶＥＤＡ,秋田市中通二丁目６－１　西武地下１階,,018-884-0556,7/23/14,５,
386,ビューティフル　ハンサム,秋田市東通六丁目１－３１,,018-835-5705,9/12/14,６,
387,理容室さとう,秋田市広面字蓮沼４４－２　大学病院内,,018-834-1111,5/7/15,１,
388,Hair　Resort　MAHALO,秋田市卸町一丁目９－２５,,,5/14/15,２,
389,酒田理容所,秋田市雄和椿川字山籠２３－２６,,018-882-2440,5/15/15,３,
390,理容ホサカ,秋田市飯島字堀川１４－１,,018-846-0123,7/14/15,４,
391,ヘアスペースうらら,秋田市飯島道東一丁目１２－２９,,018-846-2023,9/14/15,５,
392,幸のとり,秋田市将軍野青山町１５－２２,,,10/14/15,７,
393,ヘアーサロン　こたん,秋田市仁井田本町一丁目３－３０,,018-811-2587,10/8/15,６,
394,ヘアサロンフジワラ,秋田市将軍野東一丁目５－７５,,018-846-4307,10/28/15,８,
395,Relaxy,秋田市川尻総社町１８－２１,,018-823-6832,11/5/15,９,
396,富樫理容店,秋田市土崎港南一丁目４－１,,018-857-4035,12/3/15,１０,
397,高橋理容所,秋田市大町二丁目５－２１,,018-862-1250,12/7/15,１１,
398,Hair Salon ImuraN,秋田市新屋勝平町１４－５,,018-863-9211,2/12/16,１２,
399,お顔そりサロン　しんぷるん,秋田市川元むつみ町７－１６,,018-893-6036,2/26/16,１３,
400,BARBER　KIKUCHI,秋田市御野場新町一丁目２１－１２,,018-811-1210,5/31/16,３,
401,理容センス,秋田市南通築地５－１２,,,5/30/16,１,
402,トコヤ　ベース,秋田市寺内字将軍野１,,,5/31/16,２,
403,ヘアーステージ　フランス　髪心,秋田市牛島東五丁目３－３３,,018-832-3005,8/31/16,４,
404,ヘアーマジック　まつむら,秋田市千秋中島町１８－１,,018-833-7477,8/31/16,５,
405,メンズ小町卸町店,秋田市卸町一丁目３－７,,018-863-6551,11/16/16,６,
406,赤十字病院理容室,秋田市上北手猿田字苗代沢２２２－１,秋田赤十字病院内,018-829-5271,12/19/16,７,
407,Hair　Salon　美加都,秋田市仁井田新田一丁目１７－３０,,018-839-4366,12/28/16,８,
408,Ｈａｌｅ,秋田市桜二丁目２６－１９,坂本ビル　テナントＢ,018-825-1233,1/18/17,９,
409,Cut Salon　さんらいず,秋田市泉菅野一丁目２－５,,018-864-1887,1/27/17,１１,
410,アクア秋田牛島店,秋田市牛島東一丁目５－１８,,018-884-5501,3/16/17,１２,
411,ひらの・とこや,秋田市土崎港東二丁目８－１７,,,5/16/17,１,
412,ＢＬＡＳＴ,秋田市楢山川口境８－３８　㐂楽ビル２Ｆ,,018-836-0083,8/4/17,２,
413,伊藤理容所,秋田市中通七丁目１－５６,,018-833-2722,8/25/17,３,
414,株式会社　シャトー,秋田市牛島西一丁目２－２８,,018-834-5219,11/2/17,４,
415,MEN's GROOMING SHOP 01,秋田市牛島東三丁目５－１８,,018-834-5333,12/7/17,５,
416,サロンドＧｕ（グー）,秋田市広面字谷地沖１番３号,,,5/17/18,２,
417,奈良理容店,秋田市金足追分字海老穴６７番地９,,,9/3/18,３,
418,Ｓｕｃｕｔ,秋田市保戸野中町７番２号,,,9/19/18,４,
419,理容塚田,秋田市新屋船場町３番３７号,,,12/19/18,５,
420,Hair & Shave GINGER,秋田市泉南三丁目２７番２３号,コーポピース１０１,018-838-6563,3/1/19,６,
421,ヘアスペース　つばめ　ｃｏｍｐａｎｙ,秋田市中通一丁目３番３９号,ダイアパレス中通２０３,018-827-7686,3/6/19,７,
422,ヘアーサロンＵＮＩＯＮ,秋田市将軍野東一丁目３番４６号,,,3/22/19,８,
423,ヘアーサロン　ミリオン,秋田市旭南一丁目６番２２号,,,4/25/19,２,
424,Hair Salon & Barber shop Head,秋田市御所野堤台二丁目６番２３１号,,,7/3/19,３,
425,理容フジイ,秋田市中通四丁目１番３６号,,,9/12/19,４,
426,理容　岡田　,秋田市寺内将軍野１,,018-845-0125,4/3/20,１,
427,ヘアーサロンゆきお,秋田市旭南三丁目１番３７号,,,4/13/20,２,
428,カット・ハウス・サイトウ,秋田市新屋表町１４番２７号,,,4/22/20,３,
429,ヘアーサロンＫ,秋田市楢山城南新町２９番２０号,,,6/30/20,４,
430,介護老人保健施設　桜の園,秋田市下北手梨平登館８番地,,018-839-5977,7/30/20,５,
431,カントリー,秋田市雄和萱ヶ沢３８,,,8/14/20,６,
432,ナンバー秋田店,秋田市保戸野八丁５番４号　ＯＰビル１階,,018-838-4747,9/30/20,７,
433,ＣＵＴ ＢＯＸ ＳＰＲＥＥ,秋田市仁井田二ツ屋二丁目１番２７号,,,11/10/20,８,
434,理容サワイシ,秋田市飯島鼠田一丁目９番３８号,,,11/25/20,９,
435,ヘアークリニック明星,秋田市東通二丁目１４番１号,,018-836-5900,12/1/20,１０,
436,CLIP CLUB,秋田市大住二丁目３番９号,,,1/13/21,１１,
437,ＬＡＧＯＭ,秋田市保戸野原の町７－６０,佐藤方,,3/9/21,１２,
438,HAIR WORK SHOP TIMELESS,秋田市手形字蛇野１７２－３,ルピナス手形１０２,018-893-4988,4/20/21,１,
439,Boktor Barber Shop,秋田市添川字添川１１６－４－２,,018-874-8425,10/22/21,２,
440,ヘアーショップＡＢＥ,秋田市川元松丘町４－３０,,,10/3/22,１,
441,りようしつオハナ,秋田市柳田字石神２７６－１,,018-893-5256,10/20/22,２,
