地域コード,地域,地区,年次,総数(万円),食料品(万円),飲料・飼料(万円),繊維(万円),衣服(万円),木材・木製品(万円),家具・装備品(万円),パルプ・紙(万円),出版・印刷(万円),化学(万円),石油製品(万円),プラスチック(万円),ゴム製品(万円),皮革(万円),窯業・土石(万円),鉄鋼(万円),非鉄金属(万円),金属製品(万円),一般機械(万円),はん用機械(万円),生産用機械(万円),業務用機械(万円),電子部品(万円),電子部品・デバイス(万円),電気機械(万円),情報通信機械(万円),輸送機械(万円),精密機械(万円),その他(万円)
05212,大仙市,市内全域,2009年(平成21),"3,238,522","154,437","77,985","547,228",-,"77,139","8,530",-,"45,254",-,-,"162,936",-,"29,380","218,380",-,"26,187","363,403",-,-,"271,023","380,388",-,"654,253","25,306","17,969","62,357",-,"53,600"
05212,大仙市,市内全域,2010年(平成22),"4,357,882","167,816","85,304","563,205",-,"80,776","2,869",-,"45,638",-,-,"121,657",-,"30,709","207,008",-,"26,897","492,707",-,-,"364,836","369,443",-,"1,527,560","54,561","22,394","93,567",-,"46,497"
05212,大仙市,市内全域,2011年(平成23),"3,369,942","193,131","89,469","628,058",-,"55,776","4,738",-,"62,735",-,-,"66,360",-,"13,047","136,504","37,162","18,814","332,295",-,-,"306,894","192,546",-,"926,567","38,253","17,641","105,389",-,"60,863"
05212,大仙市,市内全域,2012年(平成24),"3,452,032","153,187","80,700","670,462",-,"48,057",-,-,"56,202",-,-,"185,234",-,"19,646","162,389","28,713",-,"388,267",-,-,"321,884","471,078",-,"611,425","33,683",-,"103,027",-,"49,125"
05212,大仙市,市内全域,2013年(平成25),"3,431,105","175,403","81,515","668,429",-,"49,738",-,-,"45,499",-,-,"141,691",-,"18,874","227,535","39,470",-,"446,995",-,-,"349,454","460,298",-,"495,891","30,666",-,"93,794",-,"47,130"
05212,大仙市,市内全域,2014年(平成26),"3,705,779","136,806","84,674","691,621",-,"65,126",-,-,"50,119",-,-,"185,223",-,"26,496","220,924","45,130",-,"668,544",-,-,"372,176","328,185",-,"521,420","26,098",-,"99,738",-,"45,809"
05212,大仙市,市内全域,2015年(平成27)/2016年(平成28),"3,332,699","163,402","114,538","700,927",-,"46,881",-,-,"49,177",-,-,"159,950",-,"31,323","207,419",X,-,"464,988",-,-,"430,298","373,101",-,"231,287","19,191",-,-,-,"51,762"
05212,大仙市,市内全域,2017年(平成29),"3,847,565","142,479","100,324","723,879",-,"62,347",-,-,"47,111",-,-,"183,107",-,"30,861","238,137","25,215",-,"557,210",-,-,"482,641","380,615",-,"556,906","53,099",-,"44,515",-,"52,532"
05212,大仙市,市内全域,2019年(平成30),"3,877,925","136,249","95,128","706,420",-,"60,993",-,-,"51,602",-,-,"172,528",-,"18,704","247,844","34,522",-,"439,783",-,-,"549,641","390,200",-,"547,175","68,993",-,"102,581",-,"28,058"
05212,大仙市,市内全域,2020年(平成31/令和1),"4,004,956","141,599","103,598","713,792",-,"60,920",-,-,"41,482",-,-,"209,663",-,"19,309","219,868","35,371",-,"508,230",-,-,"464,220","421,120",-,"579,133","26,956","32,992","107,757",-,"43,045"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
