,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,543 ","9,373 ","4,480 ","4,893 ",河　　　辺,,"2,968 ","8,204 ","3,869 ","4,335 ",,,,,
東部地域,東部地域計,"29,533 ","63,299 ","30,044 ","33,255 ",雄　　　和,,"1,806 ","6,473 ","3,062 ","3,411 ",,,,,
,東      通,"3,239 ","6,001 ","2,863 ","3,138 ",,,,,,,,,,,
,手      形,"2,508 ","4,039 ","2,151 ","1,888 ",,,,,,,,,,,
,手 形（字）,"3,189 ","5,843 ","2,905 ","2,938 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,937 ,"1,925 ",843 ,"1,082 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,223 ","2,808 ","1,300 ","1,508 ",,転    入,381 ,209 ,172 ,,,,,,
,旭      川,"1,002 ","2,403 ","1,134 ","1,269 ",,転    出,545 ,274 ,271 ,,,,,,
,新  藤  田,456 ,"1,091 ",484 ,607 ,,出    生,148 ,73 ,75 ,,,,,,
,濁      川,759 ,"1,832 ",853 ,979 ,,死    亡,368 ,192 ,176 ,,,,,,
,添      川,766 ,"2,204 ",967 ,"1,237 ",,社会動態,-164 ,-65 ,-99 ,,,,,,
,山      内,97 ,368 ,147 ,221 ,,自然動態,-220 ,-119 ,-101 ,,,,,,
,仁      別,50 ,120 ,46 ,74 ,,増 減 計,-384 ,-184 ,-200 ,,,,,,
,広      面,"7,176 ","14,076 ","6,617 ","7,459 ",,,,,,,,,,,
,柳      田,754 ,"2,061 ",940 ,"1,121 ",,○　平成２９年１月１日からの累計,,,,,,,,,
,横      森,"1,777 ","3,837 ","1,829 ","2,008 ",,,計,男,女,,,,,,
,桜,"1,507 ","3,271 ","1,547 ","1,724 ",,転    入,"8,998 ","4,992 ","4,006 ",,,,,,
,桜  ガ  丘,894 ,"2,403 ","1,116 ","1,287 ",,転    出,"9,778 ","5,342 ","4,436 ",,,,,,
,桜　　　台,636 ,"2,035 ",992 ,"1,043 ",,出    生,"2,007 ",993 ,"1,014 ",,,,,,
,大  平  台,582 ,"1,742 ",824 ,918 ,,死    亡,"3,737 ","1,885 ","1,852 ",,,,,,
,下  北  手,"1,190 ","3,053 ","1,514 ","1,539 ",,社会動態,-780 ,-350 ,-430 ,,,,,,
,太      平,791 ,"2,187 ",972 ,"1,215 ",,自然動態,"-1,730 ",-892 ,-838 ,,,,,,
西部地域,西部地域計,"14,025 ","34,537 ","16,193 ","18,344 ",,増 減 計,"-2,510 ","-1,242 ","-1,268 ",,,,,,
,新      屋,"6,369 ","15,106 ","6,980 ","8,126 ",,,,,,,,,,,
,勝      平,"5,394 ","12,925 ","6,234 ","6,691 ",,○　平成２７年１０月１日からの累計,,,,,,,,,
,浜      田,884 ,"2,725 ","1,204 ","1,521 ",,,計,男,女,,,,,,
,豊      岩,637 ,"1,854 ",873 ,981 ,,転    入,"19,950 ","10,997 ","8,953 ",,,,,,
,下      浜,741 ,"1,927 ",902 ,"1,025 ",,転    出,"21,406 ","11,604 ","9,802 ",,,,,,
南部地域,南部地域計,"19,844 ","49,329 ","23,061 ","26,268 ",,出    生,"4,575 ","2,310 ","2,265 ",,,,,,
,牛  島  東,"2,343 ","5,396 ","2,524 ","2,872 ",,死    亡,"8,299 ","4,140 ","4,159 ",,,,,,
,牛  島  西,"2,246 ","5,454 ","2,545 ","2,909 ",,社会動態,"-1,456 ",-607 ,-849 ,,,,,,
,牛  島  南,502 ,"1,245 ",618 ,627 ,,自然動態,"-3,724 ","-1,830 ","-1,894 ",,,,,,
,卸      町,396 ,867 ,410 ,457 ,,増 減 計,"-5,180 ","-2,437 ","-2,743 ",,,,,,
,大      住,"1,139 ","2,557 ","1,170 ","1,387 ",,,,,,,,,,,
,仁  井  田,"5,674 ","13,605 ","6,411 ","7,194 ",,※この表は、平成２７年１０月１日現在で,,,,,,,,,
,御  野  場,"2,655 ","6,841 ","3,168 ","3,673 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,960 ","7,753 ","3,630 ","4,123 ",,毎月の住民基本台帳の異動状況等を基に推計,,,,,,,,,
,四 ツ 小 屋,688 ,"1,741 ",819 ,922 ,,したものです。,,,,,,,,,
,上  北  手,694 ,"2,292 ","1,027 ","1,265 ",,,,,,,,,,,
,山　手　台,547 ,"1,578 ",739 ,839 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
