８　　　人　　　口　　　動　　　態,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
（１）自然動態と社会動態,,,,,,,,,,,,,,,,,,,,,,,,,,,各年間・月間
年月,自　　　　　然　　　　　動　　　　　態,,,,,,,,,,,,,社　　　　　会　　　　　動　　　　　態,,,,,,,,,,,,,"差　引
増　減"
年次,婚姻件数,,離婚件数,,,年次,夫,,妻,,,年次,出生率,,合計特殊出生率,,死亡率,,脳血管疾患死亡率,,悪性新生物死亡率,,心疾患死亡率,,,,
平成23年,,"1,513 ",,495 ,,平成23年,,30.3 ,,28.6 ,,平成23年,,7.0 ,,1.22 ,,10.4 ,,118.4 ,,302.9 ,,140.5 ,,,
24,,"1,535 ",,354 ,,24,,30.5 ,,28.8 ,,24,,7.1 ,,1.25 ,,10.6 ,,112.5 ,,326.9 ,,122.4 ,,,
25,,"1,476 ",,471 ,,25,,30.7 ,,28.8 ,,25,,6.9 ,,1.25 ,,10.6 ,,119.6 ,,323.3 ,,116.8 ,,,
26,,"1,467 ",,481 ,,26,,31.0 ,,29.2 ,,26,,7.2 ,,1.32 ,,11.2 ,,112.6 ,,337.0 ,,125.2 ,,,
27,,"1,392 ",,545 ,,27,,30.8 ,,29.3 ,,27,,6.7 ,,1.32 ,,11.1 ,,105.1 ,,351.8 ,,133.6 ,,,
28,,"1,310 ",,478 ,,28,,30.8 ,,29.2 ,,28,,6.6 ,,1.33 ,,11.5 ,,122.1 ,,337.0 ,,140.6 ,,,
29,,"1,240 ",,520 ,,29,,30.8 ,,29.2 ,,29,,6.4 ,,1.30 ,,12.0 ,,114.1 ,,353.5 ,,151.0 ,,,
30,,"1,194 ",,432 ,,30,,31.1 ,,29.3 ,,30,,6.2 ,,1.31 ,,11.6 ,,104.7 ,,339.1 ,,140.4 ,,,
令和元年,,"1,272 ",,459 ,,令和元年,,31.2 ,,29.7 ,,令和元年,,5.9 ,,1.26 ,,12.1 ,,119.9 ,,345.2 ,,131.0 ,,,
２,,"1,137 ",,435 ,,２,,30.6 ,,29.0 ,,２,,5.7 ,,1.23 ,,12.4 ,,115.4 ,,350.0 ,,148.9 ,,,
資料　人口動態調査,,,,,,資料　人口動態調査,,,,,,資料　秋田市保健総務課,,,,,,,,,,,,,,,
注）　夫の住民記録台帳が秋田市にある（あった）,,,,,,,,,,,,注）　単位：①は人口千人対、②は人口10万人対、③は１人の女性が一生の間に出産する子の数,,,,,,,,,,,,,,,
　　　夫婦の取り扱い件数,,,,,,,,,,,,,,,,,,,,,,,,,,,
