,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,542 ","9,276 ","4,442 ","4,834 ",河　　　辺,,"2,964 ","7,992 ","3,763 ","4,229 ",,,,,
東部地域,東部地域計,"29,596 ","62,833 ","29,839 ","32,994 ",雄　　　和,,"1,739 ","6,297 ","2,980 ","3,317 ",,,,,
,東      通,"3,236 ","5,965 ","2,848 ","3,117 ",,,,,,,,,,,
,手      形,"2,483 ","3,955 ","2,121 ","1,834 ",,,,,,,,,,,
,手 形（字）,"3,166 ","5,804 ","2,877 ","2,927 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,909 ,"1,853 ",820 ,"1,033 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,223 ","2,780 ","1,299 ","1,481 ",,転    入,407 ,224 ,183 ,,,,,,
,旭      川,"1,006 ","2,384 ","1,110 ","1,274 ",,転    出,512 ,250 ,262 ,,,,,,
,新  藤  田,479 ,"1,150 ",504 ,646 ,,出    生,154 ,84 ,70 ,,,,,,
,濁      川,764 ,"1,828 ",853 ,975 ,,死    亡,343 ,162 ,181 ,,,,,,
,添      川,770 ,"2,173 ",956 ,"1,217 ",,社会動態,-105 ,-26 ,-79 ,,,,,,
,山      内,93 ,356 ,141 ,215 ,,自然動態,-189 ,-78 ,-111 ,,,,,,
,仁      別,52 ,120 ,46 ,74 ,,増 減 計,-294 ,-104 ,-190 ,,,,,,
,広      面,"7,194 ","14,003 ","6,604 ","7,399 ",,,,,,,,,,,
,柳      田,752 ,"2,013 ",917 ,"1,096 ",,○　平成３０年１月１日からの累計,,,,,,,,,
,横      森,"1,784 ","3,803 ","1,815 ","1,988 ",,,計,男,女,,,,,,
,桜,"1,551 ","3,313 ","1,558 ","1,755 ",,転    入,"8,615 ","4,811 ","3,804 ",,,,,,
,桜  ガ  丘,895 ,"2,345 ","1,085 ","1,260 ",,転    出,"9,639 ","5,214 ","4,425 ",,,,,,
,桜　　　台,670 ,"2,128 ","1,044 ","1,084 ",,出    生,"1,916 ","1,002 ",914 ,,,,,,
,大  平  台,586 ,"1,728 ",821 ,907 ,,死    亡,"3,586 ","1,793 ","1,793 ",,,,,,
,下  北  手,"1,196 ","2,976 ","1,470 ","1,506 ",,社会動態,"-1,024 ",-403 ,-621 ,,,,,,
,太      平,787 ,"2,156 ",950 ,"1,206 ",,自然動態,"-1,670 ",-791 ,-879 ,,,,,,
西部地域,西部地域計,"14,079 ","34,244 ","16,061 ","18,183 ",,増 減 計,"-2,694 ","-1,194 ","-1,500 ",,,,,,
,新      屋,"6,398 ","15,012 ","6,925 ","8,087 ",,,,,,,,,,,
,勝      平,"5,418 ","12,871 ","6,208 ","6,663 ",,○　平成２７年１０月１日からの累計,,,,,,,,,
,浜      田,895 ,"2,693 ","1,202 ","1,491 ",,,計,男,女,,,,,,
,豊      岩,632 ,"1,791 ",842 ,949 ,,転    入,"28,565 ","15,808 ","12,757 ",,,,,,
,下      浜,736 ,"1,877 ",884 ,993 ,,転    出,"31,045 ","16,818 ","14,227 ",,,,,,
南部地域,南部地域計,"20,042 ","49,146 ","23,004 ","26,142 ",,出    生,"6,491 ","3,312 ","3,179 ",,,,,,
,牛  島  東,"2,362 ","5,390 ","2,519 ","2,871 ",,死    亡,"11,885 ","5,933 ","5,952 ",,,,,,
,牛  島  西,"2,275 ","5,419 ","2,543 ","2,876 ",,社会動態,"-2,480 ","-1,010 ","-1,470 ",,,,,,
,牛  島  南,513 ,"1,252 ",614 ,638 ,,自然動態,"-5,394 ","-2,621 ","-2,773 ",,,,,,
,卸      町,389 ,841 ,395 ,446 ,,増 減 計,"-7,874 ","-3,631 ","-4,243 ",,,,,,
,大      住,"1,180 ","2,561 ","1,167 ","1,394 ",,,,,,,,,,,
,仁  井  田,"5,713 ","13,534 ","6,372 ","7,162 ",,※この表は、平成２７年１０月１日現在で,,,,,,,,,
,御  野  場,"2,645 ","6,694 ","3,112 ","3,582 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"3,004 ","7,826 ","3,681 ","4,145 ",,毎月の住民基本台帳の異動状況等を基に推計,,,,,,,,,
,四 ツ 小 屋,698 ,"1,724 ",819 ,905 ,,したものです。,,,,,,,,,
,上  北  手,394 ,"1,403 ",595 ,808 ,,※平成３０年６月１日に住居表示の実施により、,,,,,,,,,
,山　手　台,549 ,"1,574 ",739 ,835 ,,上北手地区の一部が南ケ丘となりました。,,,,,,,,,
,南　ケ　丘,320 ,928 ,448 ,480 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
