No.,名称,名称_カナ,住所,電話番号,市町村コード,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,計画集合人数,備考
19,大川西根小学校,オオマガリニシネショウガッコウ,秋田県大仙市大曲西根字小館20,0187-68-3030,52124,1,1,,1,,1,1,,412,洪水時2階以上
20,大川西根公民館,オオマガリニシネコウミンカン,秋田県大仙市大曲西根字小館10,0187-68-3531,52124,1,1,,,,1,1,,202,洪水時2階以上
21,道路維持センター,ドウロイジセンター,秋田県大仙市大曲西根字上野150-2,0187-68-2372,52124,,1,,1,,1,,,50,
22,大曲南中学校,オオマガリミナミチュウガッコウ,秋田県大仙市藤木字上野中70-2,0187-65-2001,52124,1,1,,1,,1,1,,511,洪水時2階以上
23,藤木小学校,フジキショウガッコウ,秋田県大仙市藤木字街道下67,0187-65-2420,52124,1,1,,1,,1,1,,270,洪水時2階以上
24,藤木公民館,フジキコウミンカン,秋田県大仙市藤木字乙本藤木7,0187-65-2823,52124,1,1,,,,1,1,,210,洪水時2階以上
25,角間川小学校,カクマガワショウガッコウ,秋田県大仙市角間川町字大浦町99,0187-65-2201,52124,1,1,,1,,1,1,,293,
26,角間川公民館,カクマガワコウミンカン,秋田県大仙市角間川町字四上町1,0187-65-2545,52124,1,1,,,,1,1,,225,
27,四ツ屋小学校,ヨツヤショウガッコウ,秋田県大仙市四ツ屋字下古道81,0187-66-1513,52124,1,1,,1,,1,1,,374,洪水時2階以上
28,四ツ屋公民館,ヨツヤコウミンカン,秋田県大仙市四ツ屋字西下瀬162-4,0187-66-1500,52124,1,1,,,,1,1,,232,洪水時2階以上
29,松倉平成会館,マツクラヘイセイカイカン,秋田県大仙市四ツ屋字小又35-1,0187-66-1413,52124,1,1,,,,1,1,,144,
30,神岡小学校,カミオカショウガッコウ,秋田県大仙市神宮寺字神宮寺52,0187-72-2222,52124,1,1,,1,,1,1,,569,洪水時2階以上
31,神岡福祉センター,カミオカフクシセンター,秋田県大仙市神宮寺字蓮沼17,0187-72-4614,52124,1,1,,,,1,1,,611,
32,平和中学校,ヘイワチュウガッコウ,秋田県大仙市神宮寺字荒屋20,0187-72-2211,52124,1,1,,1,,1,1,,700,洪水時2階以上
33,北楢岡公民館,キタナラオカコウミンカン,秋田県大仙市北楢岡字北楢岡57,0187-72-2414,52124,,1,,1,,1,,,325,
34,音楽交流館（旧北神小学校）,オンガクコウリュウカン（キュウホクシンショウガッコウ）,秋田県大仙市北楢岡字嶋155,-,52124,,1,,1,,1,,,416,
35,神岡体育館,カミオカタイイクカン,秋田県大仙市神宮寺字大坪街道下22,0187-72-2721,52124,,1,,1,,1,,,666,
36,神岡農村環境改善センター,カミオカノウソンカンキョウカイゼンセンター,秋田県大仙市神宮寺字下川原前開100,0187-72-2501,52124,1,1,,1,,1,1,,699,洪水時2階以上
37,かみおか嶽雄館,カミオカガクユウカン,秋田県大仙市神宮寺字下川原前開102,0187-72-2501,52124,,1,,1,,1,,,1108,
38,大綱交流館,オオツナコウリュウカン,秋田県刈和野字愛宕下24-1,0187-75-1115,52124,1,1,,1,,1,1,,1236,洪水時2階以上
39,刈和野地区コミュニティセンター,カリワノチクコミュニティセンター,秋田県大仙市刈和野字愛宕町10-2,0187-75-1520,52124,,1,,1,,1,,,200,
40,西今泉自治会館,ニシイマイズミジチカイカン,秋田県大仙市土川字大楽183-3,-,52124,1,1,,,,1,1,,103,
41,西仙北農村環境改善センター,ニシセンボクノウソンカンキョウカイゼンセンター,秋田県大仙市土川字刈布沢24-48,0187-75-1104,52124,1,1,,1,,1,1,,800,
42,小杉山地区生涯学習センター,コスギヤマチクショウガイガクシュウセンター,秋田県大仙市土川字小杉山沢ノ内焼山1-2,0187-75-2807,52124,1,,,1,,1,1,,800,
43,西仙北林業者等健康増進施設,ニシセンボクリンギョウシャトウケンコウゾウシンシセツ,秋田県大仙市大沢郷宿字横山59-2,0187-78-1100,52124,,1,,1,,1,,,500,
44,強首地区多目的研修施設,コワクビチクタモクテキケンシュウシセツ,秋田県大仙市強首字上野台1,0187-77-2121,52124,,1,,1,,1,,,800,
45,西仙北農村交流施設,ニシセンボクノウソンコウリュウシセツ,秋田県大仙市北野目字堂伝野2,0187-75-2884,52124,,1,,1,,1,,,800,
46,西仙北小学校,ニシセンボクショウガッコウ,秋田県大仙市刈和野字上ノ台322,0187-75-1014,52124,1,1,,1,,1,1,,546,
47,西仙北中学校,ニシセンボクチュウガッコウ,秋田県大仙市刈和野字田中蟻塚12,0187-75-1108,52124,1,1,,1,,1,1,,619,
48,西仙北西体育館,ニシセンボクニシタイイクカン,秋田県大仙市強首字上野台92-1,-,52124,1,1,,1,,1,1,,498,
49,西仙北スポーツセンター,ニシセンボクスポーツセンター,秋田県大仙市刈和野字小野17-1,0187-75-0552,52124,1,1,,1,,1,1,,1100,
50,西仙北ぬく森温泉ユメリア,ニシセンボクヌクモリオンセンユメリア,秋田県大仙市刈和野字山北ノ沢5番地4,0187-87-3100,52124,1,1,,1,,1,1,,1062,
51,西仙北高等学校,ニシセンボクコウトウガッコウ,秋田県大仙市刈和野字北ノ沢嶋山5番地1,0187-75-1002,52124,1,1,,1,,1,1,,680,
52,中仙中学校,ナカセンチュウガッコウ,秋田県大仙市長野字新山5-1,0187-56-2328,52124,1,1,,1,,1,1,,837,洪水時2階以上
53,中仙公民館鑓見内分館,ナカセンコウミンカンヤリミナイブンカン,秋田県大仙市鑓見内字石持108,0187-56-2504,52124,,1,,1,,1,,,361,
54,中仙公民館鶯野分館,ナカセンコウミンカンウグイスノブンカン,秋田県大仙市下鶯野字上村1,0187-56-2322,52124,1,1,,1,,1,1,,337,
55,清水小学校,シミズショウガッコウ,秋田県大仙市清水字上大蔵86,0187-56-3215,52124,1,1,,1,,1,1,,450,
56,中仙公民館清水分館,ナカセンコウミンカンシミズブンカン,秋田県大仙市清水字上大蔵75-1,0187-56-2210,52124,1,1,,1,,1,1,,181,
57,中仙公民館豊川分館,ナカセンコウミンカントヨカワブンカン,秋田県大仙市豊川字久保175,0187-57-2030,52124,1,1,,,,1,1,,502,
58,豊成小学校,ホウセイショウガッコウ,秋田県大仙市豊川字下水無47,0187-57-2324,52124,1,1,,1,,1,1,,598,
59,中仙公民館豊岡分館,ナカセンコウミンカントヨオカブンカン,秋田県大仙市豊岡字中荒井野175,0187-57-2010,52124,1,1,,1,,1,1,,1105,
60,八乙女交流センター,ヤオトメコウリュウセンター,秋田県大仙市長野字長野山88,0187-56-3870,52124,1,,,,,1,1,,1469,
61,道の駅なかせんこめこめプラザ,ミチノエキナカセンコメコメプラザ,秋田県大仙市長野字高畑95-1,0187-56-4515,52124,1,1,,1,,1,1,,37,
62,中仙小学校,ナカセンショウガッコウ,秋田県大仙市長野字六日町215,0187-56-2318,52124,,1,,1,,1,,,504,
63,中仙農村環境改善センター,ナカセンノウソンカンキョウカイゼンセンター,秋田県大仙市北長野字茶畑108,0187-56-2337,52124,1,1,,,,1,1,,787,洪水時2階以上
64,協和中学校,キョウワチュウガッコウ,秋田県大仙市協和境字岸舘90,018-892-3025,52124,1,1,,1,,1,1,,522,
65,協和小学校,キョウワショウガッコウ,秋田県大仙市協和境字岸舘37,018-881-6868,52124,1,1,,1,,1,1,,648,
66,荒川福祉会館,アラカワフクシカイカン,秋田県大仙市協和荒川字平城22,018-892-2071,52124,1,,,1,,1,1,,139,
67,稲沢体育館,イナサワタイイクカン,秋田県大仙市協和稲沢字堤ヶ沢出口6,-,52124,1,1,,1,,1,1,,412,
68,協和市民センター「和ピア」,キョウワシミンセンター「ワピア」,秋田県大仙市協和船岡字大袋1-7,018-892-3820,52124,1,1,,1,,1,1,,2307,
69,宇津野自治会館,ウツノジチカイカン,秋田県大仙市協和船岡字上宇津野282-2,-,52124,1,1,,1,,1,1,,100,
70,船岡共学館,フナオカキョウガクカン,秋田県大仙市協和船岡字中野159-2,018-893-2761,52124,1,1,,1,,1,1,,164,
71,美山荘,ミヤマソウ,秋田県大仙市協和船岡字上庄内71-1,018-893-2050,52124,1,,,,,1,1,,358,
72,半仙自治会館,ハンセンジチカイカン,秋田県大仙市協和峰吉川字半仙64-320,-,52124,1,,,1,,1,1,,300,
73,旧峰吉川小学校,キュウミネヨシカワショウガッコウ,秋田県大仙市協和峰吉川字南明谷地1-1,-,52124,,1,,1,,1,,,413,
74,中淀川世代交流福祉館,ナカヨドカワセダイコウリュウフクシカン,秋田県大仙市協和中淀川字鳥屋野22,018-896-2750,52124,1,1,,1,,1,1,,257,
75,協和公民館淀川分館,キョウワコウミンカンヨドカワブンカン,秋田県大仙市協和下淀川字車田16-1,018-896-2111,52124,,1,,1,,1,,,188,
76,小種体育館,コタネタイイクカン,秋田県大仙市協和小種字上鏡台2-1,-,52124,1,1,,1,,1,1,,420,
77,道の駅協和,ミチノエキキョウワ,秋田県協和荒川字新田表15-2,018-881-6646,52124,1,1,,1,,1,1,,155,洪水時2階以上
78,南外コミュニティセンター,ナンガイコミュニティセンター,秋田県大仙市南外字下袋218,0187-74-2095,52124,1,1,,1,,1,1,,1660,
79,南小学区コミュニティセンター,ミナミショウガックコミュニティセンター,秋田県大仙市南外字坊田240,0187-73-1150,52124,1,1,,,,1,1,,150,
80,旧南外西小学校,キュウナンガイニシショウガッコウ,秋田県大仙市南外字湯ノ又198-14,-,52124,1,1,,1,,1,1,,350,
81,南外体育館,ナンガイタイイクカン,秋田県大仙市南外字梨木田208-3,0187-73-1005,52124,1,1,,1,,1,1,,1042,
82,南外中学校,ナンガイチュウガッコウ,秋田県大仙市南外字赤平台野19-1,0187-73-1231,52124,1,1,,1,,1,1,,735,
83,仙北中学校,センボクチュウガッコウ,秋田県大仙市堀見内字西福嶋29,0187-69-2113,52124,1,1,,1,,1,1,,452,
84,横堀小学校,ヨコボリショウガッコウ,秋田県大仙市福田字穴沢4,0187-69-2111,52124,1,1,,1,,1,1,,539,洪水時2階以上
85,高梨小学校,タカナシショウガッコウ,秋田県大仙市高梨字新屋敷1,0187-62-2195,52124,1,1,,1,,1,1,,354,洪水時2階以上
86,ふれあい体育館,フレアイタイイクカン,秋田県大仙市堀見内字下田茂木122,0187-69-2115,52124,,1,,1,,1,,,1200,
87,仙北ふれあい文化センター,センボクフレアイブンカセンター,秋田県大仙市堀見内字元田茂木7-1,0187-69-3333,52124,1,1,,1,,1,1,,1200,洪水時2階以上
88,さくまろ館,サクマロカン,秋田県大仙市高梨字田茂木10,-,52124,1,1,,1,,1,1,,100,
89,柵の湯,サクノユ,秋田県板見内字一ツ森149,0187-69-3311,52124,1,,,1,,1,1,,167,洪水時2階以上
90,敬愛館,ケイアイカン,秋田県大仙市太田町東今泉字大信田472-10,0187-86-9220,52124,1,1,,1,,1,1,,355,
91,太田トレーニングセンター,オオタトレーニングセンター,秋田県大仙市太田町太田字築地古館27-1,0187-89-1200,52124,1,1,,1,,1,1,,530,
92,太田東部地区生活改善センター,オオタトウブチクセイカツカイゼンセンター,秋田県大仙市太田町太田字築地古館27-1,0187-89-1731,52124,1,1,,,,1,1,,50,
93,太田東小学校,オオタヒガシショウガッコウ,秋田県大仙市太田町斉内字高野1-93,0187-89-1212,52124,1,1,,1,,1,1,,462,
94,太田体育館,オオタタイイクカン,秋田県大仙市太田町横沢字堤田369-1,0187-88-1350,52124,,1,,1,,1,,,1200,
95,太田体育館クラブハウス,オオタタイイクカンクラブハウス,秋田県大仙市太田町横沢字堤田369-4,0187-88-2944,52124,,1,,1,,1,,,100,
96,太田北部地区多目的研修センター,オオタホクブチクタモクテキケンシュウセンター,秋田県大仙市太田町国見字佐弊神161,0187-88-1528,52124,1,1,,,,1,1,,320,
97,太田南小学校,オオタミナミショウガッコウ,秋田県大仙市太田町横沢字窪関南298,0187-88-2111,52124,1,1,,1,,1,1,,363,
98,太田北小学校,オオタキタショウガッコウ,秋田県大仙市太田町国見字国見田115,0187-88-2112,52124,1,1,,1,,1,1,,393,
99,太田文化プラザ,オオタブンカプラザ,秋田県大仙市太田町太田字新田田尻3-4,0187-88-1118,52124,1,1,,,,1,1,,900,
100,太田中学校,オオタチュウガッコウ,秋田県大仙市太田町太田字新田田尻76,0187-88-2211,52124,1,1,,1,,1,1,,542,
101,おおたコミュニティプラザ,オオタコミュニティプラザ,秋田県大仙市太田町横沢字窪関南501,0187-88-1112,52124,1,1,,1,,1,1,,137,
