,,,,人　口　世　帯　表,,,,,,,,,,,
,大      住,"1,273 ","3,306 ","1,615 ","1,691 ",,※この表は、平成１２年１０月１日現在で実施さ,,,,,,,,
,仁  井  田,"5,078 ","14,136 ","6,757 ","7,379 ",,れた国勢調査結果を基礎に毎月の住民基本台帳お,,,,,,,,
,御  野  場,"2,611 ","8,514 ","4,006 ","4,508 ",,よび外国人登録の異動状況等を基に推計したもの,,,,,,,,
,御  所  野,"1,449 ","4,721 ","2,180 ","2,541 ",,です。,,,,,,,,
,四 ツ 小 屋,619 ,"1,972 ",919 ,"1,053 ",,,,,,,,,,
,上  北  手,431 ,"1,906 ",840 ,"1,066 ",,,,,,,,,,
,大  平  台,208 ,725 ,342 ,383 ,,,,,,,,,,
,山　手　台,102 ,307 ,156 ,151 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
