,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,578 ","9,640 ","4,612 ","5,028 ",河　　　辺,,"3,101 ","8,712 ","4,086 ","4,626 ",,,,,
東部地域,東部地域計,"29,156 ","63,929 ","30,294 ","33,635 ",雄　　　和,,"2,300 ","7,078 ","3,275 ","3,803 ",,,,,
,東      通,"3,241 ","6,165 ","2,958 ","3,207 ",,,,,,,,,,,
,手      形,"2,427 ","4,046 ","2,208 ","1,838 ",,,,,,,,,,,
,手 形（字）,"3,137 ","5,807 ","2,827 ","2,980 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,899 ,"2,007 ",889 ,"1,118 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,254 ","2,897 ","1,321 ","1,576 ",,転    入,405 ,219 ,186 ,,,,,,
,旭      川,986 ,"2,343 ","1,097 ","1,246 ",,転    出,481 ,253 ,228 ,,,,,,
,新  藤  田,482 ,"1,149 ",510 ,639 ,,出    生,205 ,114 ,91 ,,,,,,
,濁      川,792 ,"1,916 ",909 ,"1,007 ",,死    亡,292 ,137 ,155 ,,,,,,
,添      川,759 ,"2,209 ",978 ,"1,231 ",,社会動態,-76 ,-34 ,-42 ,,,,,,
,山      内,91 ,347 ,159 ,188 ,,自然動態,-87 ,-23 ,-64 ,,,,,,
,仁      別,54 ,139 ,55 ,84 ,,増 減 計,-163 ,-57 ,-106 ,,,,,,
,広      面,"7,056 ","14,055 ","6,638 ","7,417 ",,,,,,,,,,,
,柳      田,680 ,"1,966 ",880 ,"1,086 ",,○　平成２６年１月１日からの累計,,,,,,,,,
,横      森,"1,775 ","3,957 ","1,845 ","2,112 ",,,計,男,女,,,,,,
,桜,"1,501 ","3,267 ","1,507 ","1,760 ",,転    入,"9,661 ","5,315 ","4,346 ",,,,,,
,桜  ガ  丘,911 ,"2,517 ","1,179 ","1,338 ",,転    出,"10,003 ","5,461 ","4,542 ",,,,,,
,桜　　　台,540 ,"1,820 ",879 ,941 ,,出    生,"2,310 ","1,229 ","1,081 ",,,,,,
,大  平  台,516 ,"1,640 ",764 ,876 ,,死    亡,"3,577 ","1,761 ","1,816 ",,,,,,
,下  北  手,"1,226 ","3,334 ","1,621 ","1,713 ",,社会動態,-342 ,-146 ,-196 ,,,,,,
,太      平,829 ,"2,348 ","1,070 ","1,278 ",,自然動態,"-1,267 ",-532 ,-735 ,,,,,,
西部地域,西部地域計,"14,004 ","35,819 ","16,767 ","19,052 ",,増 減 計,"-1,609 ",-678 ,-931 ,,,,,,
,新      屋,"6,213 ","15,562 ","7,199 ","8,363 ",,,,,,,,,,,
,勝      平,"5,354 ","13,249 ","6,397 ","6,852 ",,○　平成２２年１０月１日からの累計,,,,,,,,,
,浜      田,953 ,"2,909 ","1,284 ","1,625 ",,,計,男,女,,,,,,
,豊      岩,663 ,"1,963 ",895 ,"1,068 ",,転    入,"41,028 ","22,498 ","18,530 ",,,,,,
,下      浜,821 ,"2,136 ",992 ,"1,144 ",,転    出,"41,322 ","22,799 ","18,523 ",,,,,,
南部地域,南部地域計,"19,475 ","50,294 ","23,387 ","26,907 ",,出    生,"9,660 ","4,946 ","4,714 ",,,,,,
,牛  島  東,"2,315 ","5,504 ","2,565 ","2,939 ",,死    亡,"14,599 ","7,368 ","7,231 ",,,,,,
,牛  島  西,"2,252 ","5,723 ","2,647 ","3,076 ",,社会動態,-294 ,-301 ,7 ,,,,,,
,牛  島  南,510 ,"1,320 ",644 ,676 ,,自然動態,"-4,939 ","-2,422 ","-2,517 ",,,,,,
,卸      町,384 ,762 ,352 ,410 ,,増 減 計,"-5,233 ","-2,723 ","-2,510 ",,,,,,
,大      住,"1,131 ","2,629 ","1,201 ","1,428 ",,,,,,,,,,,
,仁  井  田,"5,571 ","13,894 ","6,523 ","7,371 ",,※この表は、平成２２年１０月１日現在で,,,,,,,,,
,御  野  場,"2,744 ","7,262 ","3,347 ","3,915 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,777 ","7,757 ","3,619 ","4,138 ",,毎月の住民基本台帳の異動状況等を基に推計,,,,,,,,,
,四 ツ 小 屋,696 ,"1,812 ",834 ,978 ,,したものです。,,,,,,,,,
,上  北  手,602 ,"2,138 ",945 ,"1,193 ",,,,,,,,,,,
,山　手　台,493 ,"1,493 ",710 ,783 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
