NO,市町村コード,都道府県名,市区町村名,名称,名称_カナ,文化財分類,種類,住所,電話番号,員数（数）,員数（単位）,所有者等,文化財指定日,備考,,アクセス名,備考
81,52124,秋田県,大仙市,百万塔,ヒャクマントウ,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,基,個人,1985/6/1,大曲地域,117,,宝亀元年（770）
82,52124,秋田県,大仙市,十六面画帖,ジュウロクメンガチョウ,市指定有形文化財,書跡典籍,秋田県大仙市内,0187-63-8972,1,冊,個人,1972/7/10,大曲地域,133,,松岡白石画　明治37年（1904）
83,52124,秋田県,大仙市,熊野の本地,クマノノホンジ,市指定有形文化財,書跡典籍,秋田県大仙市内,0187-63-8972,1,巻,個人,1989/11/28,大曲地域,138,,室町時代
84,52124,秋田県,大仙市,板碑（画像碑）,イタビ（ガゾウヒ）,市指定有形文化財,考古資料,秋田県大仙市大曲須和町3-1-26,0187-63-8972,1,基,大川寺,1963/12/2,大曲地域,122,大川寺へは, 
85,52124,秋田県,大仙市,板碑（永和碑）,イタビ（エイワヒ）,市指定有形文化財,考古資料,秋田県大仙市大曲須和町3-1-26,0187-63-8972,1,基,大川寺,1963/12/2,大曲地域,122,大川寺へは, 
86,52124,秋田県,大仙市,板碑（画像碑）,イタビ（ガゾウヒ）,市指定有形文化財,考古資料,秋田県大仙市角間川町字大浦町11,0187-63-8972,1,基,喜福院　,1973/8/7,大曲地域,131,, 
87,52124,秋田県,大仙市,石棒（黒色・双頭式）,セキボウ（コクショク・ソウトウシキ）,市指定有形文化財,考古資料,秋田県大仙市大曲丸の内町12-3,0187-63-8972,1,個,法久寺,1973/8/7,大曲地域,119,法久寺へは, 
88,52124,秋田県,大仙市,板碑（貞和碑）,イタビ（テイワヒ）,市指定有形文化財,考古資料,秋田県大仙市大曲花園町4-88,0187-63-8972,1,基,大仙市,1987/10/26,大曲地域,199,大仙市役所へは,貞和５年（1349）
89,52124,秋田県,大仙市,須恵器（横瓮）,スエキ（ヨコベ）,市指定有形文化財,考古資料,秋田県大仙市大曲大町7-3,0187-63-8972,1,個,大仙市,1989/11/28,大曲地域,199,大仙市役所へは,産業展示館
90,52124,秋田県,大仙市,大曲村年中行事絵巻,オオマガリムラネンジュウギョウジエマキ,市指定有形文化財,歴史資料,秋田県大仙市大曲上大町,0187-63-8972,1,巻,諏訪神社,1963/12/2,大曲地域,110,諏訪神社へは,平福穂庵画
91,52124,秋田県,大仙市,太田の田神碑,オオタノタノガミヒ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,基,個人,1995/1/25,大曲地域,139,, 
92,52124,秋田県,大仙市,角間川盆踊り,カクマガワボンオドリ,市指定無形民俗文化財,,秋田県大仙市角間川町,0187-63-8972,,,角間川盆踊保存会,1967/6/21,大曲地域,127,角間川盆踊りを見るには, 
93,52124,秋田県,大仙市,鳥子舞い,トリコマイ,市指定無形民俗文化財,,秋田県大仙市大曲上大町12-20,0187-63-8972,,,諏訪神社,1991/12/24,大曲地域,110,諏訪神社へは, 
94,52124,秋田県,大仙市,伊豆山神社獅子神楽,イズサンジンジャシシカグラ,市指定無形民俗文化財,,秋田県大仙市花館,0187-63-8972,,,伊豆山神社,1991/12/24,大曲地域,126,伊豆山神社へは, 
95,52124,秋田県,大仙市,伊豆山神社川を渡る梵天,イズサンジンジャカワヲワタルボンデン,市指定無形民俗文化財,,秋田県大仙市花館,0187-63-8972,,,伊豆山神社,1999/5/31,大曲地域,,,
96,52124,秋田県,大仙市,恙虫病研究所,ツツガムシビョウケンキュウショ,市指定史跡,,秋田県大仙市内,0187-63-8972,1,棟,個人,1991/12/24,大曲地域,116,恙虫病研究所へは, 
97,52124,秋田県,大仙市,御前井,ゴゼンイ,市指定史跡,,秋田県大仙市内,0187-63-8972,1,基,個人,2008/4/22,大曲地域,107,御前井を見るには,宝永6年（1709）
98,52124,秋田県,大仙市,蛭川渡船場の渡しぶね,ヒルカワトセンジョウノワタシブネ,市指定有形民俗文化財,,秋田県大仙市協和峰吉川字南明谷地1,0187-63-8972,1,組,大仙市,2013/9/25,大曲地域,,,
99,52124,秋田県,大仙市,角間川給人屋敷のモミ群,カクマガワキュウニンヤシキノモミグン,市指定記念物,,秋田県大仙市角間川,0187-63-8972,9,本,個人,2019/4/24,大曲地域,,,
100,52124,秋田県,大仙市,多郎兵衛稲荷神社本殿,タロベエイナリジンジャホンデン,市指定有形文化財,建造物,秋田県大仙市北楢岡字北楢岡219-6,0187-63-8972,1,棟,多郎兵衛稲荷神社講中,1986/12/16,神岡地域,204,多郎兵衛稲荷神社へは,文政13年（1830）
101,52124,秋田県,大仙市,十二天画像,ジュウニテンガゾウ,市指定有形文化財,絵画,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,12,枚,八幡神社,1983/9/22,神岡地域,202,八幡神社へは, 
102,52124,秋田県,大仙市,七僧画像,シチソウガゾウ,市指定有形文化財,絵画,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,7,枚,八幡神社,1983/9/22,神岡地域,202,八幡神社へは, 
103,52124,秋田県,大仙市,多郎兵衛稲荷神社愛染明王像,タロベエイナリジンジャアイゼンミョウオウゾウ,市指定有形文化財,彫刻,秋田県大仙市北楢岡字北楢岡219-6,0187-63-8972,1,体,多郎兵衛稲荷神社講中,1992/9/24,神岡地域,,,
104,52124,秋田県,大仙市,八幡神社棟札,ハチマンジンジャムナフダ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,3,枚,八幡神社,1980/4/9,神岡地域,202,八幡神社へは,正応３(1290)､元応元(1319)､長享３(1489)
105,52124,秋田県,大仙市,八幡大菩薩　大籏,ハチマンダイボサツオオハタ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,1,枚,八幡神社,1983/9/22,神岡地域,202,八幡神社へは,鎌倉時代
106,52124,秋田県,大仙市,延宝打直検地帳,エンポウウチナオシケンチチョウ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,2,冊,大仙市,1992/9/24,神岡地域,299,神岡総合支所へは,延宝４年（1676）
107,52124,秋田県,大仙市,村方用控,ムラカタヨウビカエ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,1,冊,大仙市,1992/9/24,神岡地域,299,神岡総合支所へは,延享５年（1748）
108,52124,秋田県,大仙市,御傳馬屋敷,ゴテンマヤシキ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,1,冊,大仙市,1992/9/24,神岡地域,299,神岡総合支所へは,文政10年（1827）
109,52124,秋田県,大仙市,御用扣,ゴヨウビカエ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,1,冊,大仙市,1992/9/24,神岡地域,299,神岡総合支所へは,天保11年（1840）
110,52124,秋田県,大仙市,神宮寺村旧記帳,ジングウジムラキュウキチョウ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,冊,個人,1992/9/24,神岡地域,205,,文政９年（1826）
111,52124,秋田県,大仙市,八幡宮江御目衆御参詣之日記,ハチマングウヘオモクシュウゴサンケイノニッキ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,冊,個人,1992/9/24,神岡地域,206,,文政４年（1821）
112,52124,秋田県,大仙市,八幡神社祭典旗背負い,ハチマンジンジャサイテンハタショイ,市指定無形民俗文化財,,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,,,八幡神社,1993/7/15,神岡地域,202,八幡神社へは, 
113,52124,秋田県,大仙市,慈眼山　寶泉寺本堂,ジゲンザンホウセンジホンドウ,市指定有形文化財,建造物,秋田県大仙市土川字半道寺25,0187-63-8972,1,棟,寶泉寺,2001/12/4,西仙北地域,,,
114,52124,秋田県,大仙市,白馬の絵馬,ハクバノエマ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,枚,個人所有,1979/8/27,西仙北地域,,,
115,52124,秋田県,大仙市,不動明王像,フドウミョウオウゾウ,市指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,躯,個人所有,1978/1/20,西仙北地域,,,
116,52124,秋田県,大仙市,阿弥陀如来像,アミダニョライゾウ,市指定有形文化財,彫刻,秋田県大仙市土川字小杉山19,0187-63-8972,1,躯,円満寺,1978/1/20,西仙北地域,,,
117,52124,秋田県,大仙市,子巣越八幡尊像　同厨子,コスゴエハチマンソンゾウ　ドウズシ,市指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,躯,個人,1978/1/20,西仙北地域,,,
118,52124,秋田県,大仙市,木造善女竜王立像,モクゾウゼンニョリュウオウリュウゾウ,市指定有形文化財,彫刻,秋田県大仙市北野目字後野251,0187-63-8972,1,躯,神明社,1989/8/28,西仙北地域,,,
119,52124,秋田県,大仙市,手弁当箱,テベントウバコ,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,組,個人,1989/8/28,西仙北地域,,,
120,52124,秋田県,大仙市,板碑梵字石「金胎不二曼陀羅」,イタビボンジイシキンタイフジマンダラ,市指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,基,個人,1978/1/20,西仙北地域,,,
121,52124,秋田県,大仙市,六郡御絵図,ロクグンオンエズ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,幅,個人,2001/12/4,西仙北地域,,,
122,52124,秋田県,大仙市,小山田治右衛門家文書,オヤマダジウエモンケモンジョ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1494,点,個人,2001/12/4,西仙北地域,,,
123,52124,秋田県,大仙市,伊藤重左衛門家文書,イトウジュウザエモンケモンジョ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,430,点,個人,2003/1/21,西仙北地域,,,
124,52124,秋田県,大仙市,深浦武左衛門家文書,フカウラブザエモンケモンジョ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,420,点,個人,2003/1/21,西仙北地域,,,
