,,,,人　口　世　帯　表,,,,,,,,,,,
,楢      山,"4,731 ","11,193 ","5,105 ","6,088 ",,下  新  城,"1,439 ","4,829 ","2,207 ","2,622 ",,,,
,茨      島,"2,142 ","5,263 ","2,613 ","2,650 ",,上  新  城,410 ,"1,623 ",725 ,898 ,,,,
,八      橋,"4,628 ","10,520 ","5,144 ","5,376 ",,,,,,,,,,
東　部　地　域,東部地域計,"28,634 ","66,782 ","32,508 ","34,274 ",,○　前月人口増減の内訳,,,,,,,,
,東      通,"3,496 ","6,791 ","3,288 ","3,503 ",,,計,男,女,,,,,
,手      形,"2,508 ","4,787 ","2,492 ","2,295 ",,転    入,544 ,274 ,270 ,,,,,
,手 形（字）,"3,354 ","6,520 ","3,355 ","3,165 ",,転    出,599 ,280 ,319 ,,,,,
,手  形  山,849 ,"2,167 ",996 ,"1,171 ",,出    生,220 ,117 ,103 ,,,,,
,泉（旭 川）,"1,237 ","3,101 ","1,439 ","1,662 ",,死    亡,177 ,97 ,80 ,,,,,
,旭      川,963 ,"2,466 ","1,147 ","1,319 ",,社会動態,-55 ,-6 ,-49 ,,,,,
,新  藤  田,482 ,"1,317 ",577 ,740 ,,自然動態,43 ,20 ,23 ,,,,,
,濁      川,664 ,"1,871 ",893 ,978 ,,増 減 計,-12 ,14 ,-26 ,,,,,
,添      川,677 ,"2,224 ",993 ,"1,231 ",,,,,,,,,,
,山      内,104 ,465 ,206 ,259 ,,○　平成１４年１月１日からの累計,,,,,,,,
,仁      別,65 ,205 ,94 ,111 ,,,計,男,女,,,,,
,広      面,"6,822 ","14,268 ","7,093 ","7,175 ",,転    入,"12,322 ","6,747 ","5,575 ",,,,,
,柳      田,582 ,"1,712 ",764 ,948 ,,転    出,"12,671 ","6,936 ","5,735 ",,,,,
,横      森,"1,908 ","4,676 ","2,287 ","2,389 ",,出    生,"2,710 ","1,340 ","1,370 ",,,,,
,桜,"1,691 ","3,665 ","1,847 ","1,818 ",,死    亡,"2,308 ","1,310 ",998 ,,,,,
,桜  ガ  丘,718 ,"2,239 ","1,059 ","1,180 ",,社会動態,-349 ,-189 ,-160 ,,,,,
,桜　　　台,177 ,622 ,300 ,322 ,,自然動態,402 ,30 ,372 ,,,,,
,大  平  台,263 ,915 ,440 ,475 ,,増 減 計,53 ,-159 ,212 ,,,,,
,下  北  手,"1,201 ","3,773 ","1,860 ","1,913 ",,,,,,,,,,
,太      平,873 ,"2,998 ","1,378 ","1,620 ",,○　平成１２年１０月１日からの累計,,,,,,,,
西部地域,西部地域計,"12,973 ","36,919 ","17,513 ","19,406 ",,,計,男,女,,,,,
,新      屋,"5,535 ","15,047 ","7,067 ","7,980 ",,転    入,"27,615 ","14,918 ","12,697 ",,,,,
,勝      平,"5,203 ","14,007 ","6,835 ","7,172 ",,転    出,"27,393 ","14,933 ","12,460 ",,,,,
,浜      田,814 ,"3,020 ","1,367 ","1,653 ",,出    生,"6,162 ","3,106 ","3,056 ",,,,,
,豊      岩,590 ,"2,200 ","1,013 ","1,187 ",,死    亡,"5,173 ","2,885 ","2,288 ",,,,,
,下      浜,831 ,"2,645 ","1,231 ","1,414 ",,社会動態,222 ,-15 ,237 ,,,,,
南部地域,南部地域計,"17,264 ","49,704 ","23,492 ","26,212 ",,自然動態,989 ,221 ,768 ,,,,,
,牛  島  東,"2,210 ","5,616 ","2,618 ","2,998 ",,増 減 計,"1,211 ",206 ,"1,005 ",,,,,
,牛  島  西,"2,178 ","6,111 ","2,904 ","3,207 ",,,,,,,,,,
,牛  島  南,510 ,"1,583 ",774 ,809 ,,※この表は、平成１２年１０月１日現在で,,,,,,,,
,卸      町,316 ,747 ,372 ,375 ,,実施された国勢調査（確定値）結果を基礎に,,,,,,,,
,大      住,"1,262 ","3,213 ","1,536 ","1,677 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,
,仁  井  田,"5,195 ","14,151 ","6,770 ","7,381 ",,状況等を基に推計したものです。,,,,,,,,
,御  野  場,"2,644 ","8,399 ","3,923 ","4,476 ",,,,,,,,,,
,御  所  野,"1,693 ","5,484 ","2,571 ","2,913 ",,,,,,,,,,
,四 ツ 小 屋,628 ,"1,935 ",904 ,"1,031 ",,,,,,,,,,
,上  北  手,450 ,"1,931 ",856 ,"1,075 ",,,,,,,,,,
,山　手　台,178 ,534 ,264 ,270 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
