営業所名,営業所住所,営業所電話番号,申請者名,申請区分,指令番号,業種名,業態名,許可年月日,許可期間（開始）,許可期間（満了）
セブンーイレブン秋田仁井田本町店,秋田市仁井田本町五丁目１－１,,三浦光紀,新規,1160,飲食店営業,その他,7/22/16,7/22/16,6/30/23
メフォス北日本　５０５３２号店,秋田市向浜一丁目８－２,018-863-5228,株式会社　メフォス北日本,新規,1170,飲食店営業,一般,7/25/16,7/25/16,6/30/23
土崎湊屋,秋田市土崎港西一丁目９－１,,戸嶋諭,新規,1343,飲食店営業,一般,8/10/16,8/10/16,5/31/23
ナイス　仁井田南店,秋田市仁井田本町五丁目６－６,018-826-1811,株式会社　ナイス,新規,1349,飲食店営業,その他,8/12/16,8/12/16,6/30/23
あさひかわこども園アイコーメディカル,秋田市泉東町８－５６,018-868-3700,株式会社　アイコーメディカル,継続,1438,飲食店営業,一般,8/26/16,9/1/16,8/31/23
ボエコス　秋田食堂　「こまち」,秋田市寺内字将軍野１,018-846-1208,一般財団法人　防衛弘済会,継続,1460,飲食店営業,一般,8/29/16,9/1/16,8/31/23
ファミリーマート秋田上飯島店,秋田市飯島道東二丁目１４－１１,018-816-0341,松岡清美,新規,1631,飲食店営業,その他,9/28/16,9/28/16,5/31/23
牛玄亭厨房,秋田市八橋イサノ二丁目２－１,018-893-6321,有限会社　日野,新規,1715,飲食店営業,仕出し・弁当,10/6/16,10/6/16,8/31/23
壹しん,秋田市土崎港中央三丁目９－５６,018-853-1370,宇佐美真悦,新規,1766,飲食店営業,一般,10/13/16,10/13/16,5/31/23
貝の沢温泉,秋田市太平山谷字長坂６６－９６,018-838-3838,株式会社　せきや,新規,1912,飲食店営業,仕出し・弁当,10/31/16,10/31/16,9/30/23
株式会社　マルダイ　牛島店,秋田市牛島東五丁目３－２６,018-831-1166,株式会社　マルダイ,新規,1926,飲食店営業,仕出し・弁当,11/4/16,11/4/16,6/30/23
株式会社　マルダイ　牛島店,秋田市牛島東五丁目３－２６,018-831-1166,株式会社　マルダイ,新規,1927,魚介類販売業,一般,11/4/16,11/4/16,6/30/23
麺屋　満開,秋田市広面字板橋添３１１,,加藤満,新規,1923,飲食店営業,一般,11/4/16,11/4/16,9/30/23
風遊庵,秋田市山王三丁目１－７,,星野照子,新規,1958,飲食店営業,一般,11/17/16,11/17/16,4/30/23
カラオケＢａｎＢａｎ秋田駅前店６F,秋田市中通四丁目１２－７　６Ｆ,018-825-1700,株式会社　シン・コーポレーション,継続,2008,飲食店営業,一般,11/21/16,12/1/16,11/30/22
カラオケＢａｎＢａｎ秋田駅前店,秋田市中通四丁目１２－７,018-825-1700,株式会社　シン・コーポレーション,継続,2007,飲食店営業,一般,11/21/16,12/1/16,11/30/22
アンサナ,秋田市中通二丁目４－８,018-825-2008,株式会社　春夏秋冬,継続,2004,飲食店営業,一般,11/21/16,12/1/16,11/30/22
株式会社  東天紅秋田キャッスルホテル店,秋田市中通一丁目３－５,018-832-1010,株式会社　東天紅,継続,1971,飲食店営業,一般,11/21/16,12/1/16,11/30/22
株式会社　そごう・西武　西武秋田店,秋田市中通二丁目６－１,018-832-5111,株式会社　そごう・西武,継続,2012,そうざい製造業,一般,11/21/16,12/1/16,11/30/22
ゆのたに俵大名,秋田市中通二丁目６－１,018-832-5111,株式会社　ゆのたに,継続,2006,飲食店営業,一般,11/21/16,12/1/16,11/30/22
ゲストハウス　ヴァレリアーノ,秋田市中通六丁目１－６１,018-835-1188,株式会社　イヤタカ,継続,1980,菓子製造業,一般,11/21/16,12/1/16,11/30/22
ミートショップちくれん中通店,秋田市中通六丁目７－９,018-835-7366,秋田県畜産農業協同組合,継続,1982,食肉販売業,一般,11/21/16,12/1/16,11/30/22
ミートショップちくれん中通店,秋田市中通六丁目７－９,018-835-7366,秋田県畜産農業協同組合,継続,1981,食肉処理業,一般,11/21/16,12/1/16,11/30/22
葛の花,秋田市中通四丁目９－３,018-836-5550,葛野純子,継続,1973,飲食店営業,一般,11/21/16,12/1/16,11/30/22
スピカ旅行社,秋田市中通五丁目４－１８,018-874-8851,佐々木卓,継続,1988,飲食店営業,一般,11/21/16,12/1/16,11/30/22
ゲストハウス　ヴァレリアーノ,秋田市中通六丁目１－６１,018-884-7688,株式会社　イヤタカ,継続,1979,飲食店営業,一般,11/21/16,12/1/16,11/30/22
ファミリーマート秋田御野場二丁目店,秋田市御野場二丁目１－８,018-892-6355,冨岡直人,新規,1996,飲食店営業,その他,11/21/16,11/21/16,6/30/23
タリーズコーヒー　フォンテＡＫＩＴＡ店　,秋田市中通二丁目８－１,018-893-5653,株式会社　高坂,継続,2005,飲食店営業,一般,11/21/16,12/1/16,11/30/22
どるず珈琲,秋田市中通四丁目７－３５,018-893-5996,太田忠幸,継続,1975,飲食店営業,一般,11/21/16,12/1/16,11/30/22
ファミリーマート秋田茨島四丁目店,秋田市茨島四丁目１９－５４,,冨岡直人,新規,1992,飲食店営業,その他,11/21/16,11/21/16,4/30/23
一冨士フードサービス（株）　明徳館高等学校営業所,秋田市中通二丁目１－５１,,一冨士フードサービス株式会社,継続,1972,飲食店営業,一般,11/21/16,12/1/16,11/30/22
レストラン　花茶屋,秋田市中通五丁目２－１,018-825-5411,ルートインジャパン株式会社,継続,2027,飲食店営業,一般,11/22/16,12/1/16,11/30/22
海鮮ダイニング　まぐろや　はなの夢　グランティア秋田店,秋田市中通五丁目２－１,018-825-5411,ルートインジャパン株式会社,継続,2028,飲食店営業,一般,11/22/16,12/1/16,11/30/22
小料理　ながさき,秋田市中通六丁目１２－１２,018-835-5767,佐藤ヒデ子,継続,2026,飲食店営業,一般,11/22/16,12/1/16,11/30/22
株式会社　秋田車屋,秋田市中通一丁目３－５,018-831-5545,株式会社　秋田車屋,継続,2039,飲食店営業,仕出し・弁当,11/25/16,12/1/16,11/30/22
メイト　５０５７１　号店,秋田市中通一丁目２－１,018-833-8371,株式会社　メフォス北日本,継続,2038,飲食店営業,一般,11/25/16,12/1/16,11/30/22
メイト５１７６８号店,秋田市中通二丁目４－１９,018-833-8531,株式会社　メフォス北日本,継続,2037,飲食店営業,一般,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル　バーロータス,秋田市中通一丁目３－５,018-834-1141,株式会社　秋田キャッスルホテル,継続,2043,飲食店営業,その他,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル　ダイニングレストラン　ザ・キャッスル,秋田市中通一丁目３－５,018-834-1141,株式会社　秋田キャッスルホテル,継続,2051,飲食店営業,一般,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル　,秋田市中通一丁目３－５,018-834-1141,株式会社　秋田キャッスルホテル,継続,2046,菓子製造業,一般,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル　大宴会場,秋田市中通一丁目３－５,018-834-1141,株式会社　秋田キャッスルホテル,継続,2049,飲食店営業,一般,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル,秋田市中通一丁目３－５,018-834-1141,株式会社　秋田キャッスルホテル,継続,2047,飲食店営業,仕出し・弁当,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル,秋田市中通一丁目３－５,018-834-1141,株式会社　秋田キャッスルホテル,継続,2048,ソース類製造業,一般,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル　スカイバンケット,秋田市中通一丁目３－５,018-834-1141,株式会社　秋田キャッスルホテル,継続,2044,飲食店営業,一般,11/25/16,12/1/16,11/30/22
こだわり酒房　小野家,秋田市中通五丁目４－１８,018-836-0200,小野清,継続,2032,飲食店営業,一般,11/25/16,12/1/16,11/30/22
秋田キャッスルホテル　３階宴会場,秋田市中通一丁目３－５,,株式会社　秋田キャッスルホテル,継続,2050,飲食店営業,一般,11/25/16,12/1/16,11/30/22
ＪＡＭ　ＨＯＵＳＥ,秋田市中通四丁目５－９,,小林博純,継続,2030,飲食店営業,一般,11/25/16,12/1/16,11/30/22
煙屋　司,秋田市中通四丁目１４－２４,,株式会社　フードプロジェクト,新規,2099,飲食店営業,一般,12/15/16,12/15/16,11/30/22
ショートステイ　とまと,秋田市八橋イサノ一丁目１３－１７,018-866-4445,株式会社　アキタパークホテル・マネージメント,新規,2111,飲食店営業,一般,12/19/16,12/19/16,8/31/23
グランマ,秋田市中通四丁目１－３７,,株式会社　ｇｒａｎｄｍａ,新規,2125,飲食店営業,一般,12/26/16,12/26/16,11/30/22
秋田赤十字病院,秋田市上北手猿田字苗代沢２２２－１,018-827-3070,日清医療食品株式会社,新規,3,飲食店営業,一般,1/13/17,1/13/17,9/30/23
やきやきや,秋田市中通四丁目１１－１２,,百目木智成,新規,4,飲食店営業,一般,1/13/17,1/13/17,11/30/23
社会福祉法人横手福寿会　ショートステイ　ラ・ボア・ラクテ,秋田市手形字西谷地１－２,018-834-4790,コンパスグループ・ジャパン株式会社,継続,30,飲食店営業,一般,1/20/17,2/1/17,1/31/23
Ｍｅｌｉｓｓａ,秋田市手形字十七流４１１,018-874-7890,松渕誠公,継続,34,飲食店営業,一般,1/20/17,2/1/17,1/31/23
酒菜や　香蔵,秋田市保戸野千代田町１３－６５,018-823-5627,皆川拓磨,継続,41,飲食店営業,一般,1/24/17,2/1/17,1/31/23
炭焼　酒場　おもろ,秋田市手形新栄町２－３７,018-832-0497,山下和彦,継続,45,飲食店営業,一般,1/24/17,2/1/17,1/31/23
たいあん弁当手形店,秋田市手形山崎町１０－５８,018-832-6079,久保恭一,継続,44,飲食店営業,その他,1/24/17,2/1/17,1/31/23
寿し割烹　一心寿し,秋田市手形山崎町９－４０,018-835-1739,進藤重忠,継続,46,飲食店営業,一般,1/24/17,2/1/17,1/31/23
赤から　秋田駅東口店,秋田市手形西谷地１５５,018-837-1146,株式会社　いいもんや,新規,77,飲食店営業,一般,2/6/17,2/6/17,1/31/23
カラオケスナック　京香,秋田市手形蛇野１１－３,,高,新規,76,飲食店営業,一般,2/6/17,2/6/17,1/31/23
株式会社　秋田ト一屋　ドジャース楢山店,秋田市南通築地１５－３６,018-832-1018,株式会社　秋田ト一屋,継続,119,食肉販売業,一般,2/23/17,3/1/17,2/28/23
株式会社　秋田ト一屋　ドジャース楢山店,秋田市南通築地１５－３６,018-832-1018,株式会社　秋田ト一屋,継続,120,魚介類販売業,一般,2/23/17,3/1/17,2/28/23
小料理　うたせ,秋田市南通築地１－７,018-835-1688,菅原久志,継続,116,飲食店営業,一般,2/23/17,3/1/17,2/28/23
鮨一八,秋田市南通亀の町１－２４,018-835-1851,桑原貴行,継続,131,飲食店営業,一般,2/23/17,3/1/17,2/28/23
あつばの木,秋田市南通亀の町５－１１,018-835-5959,三平久子,継続,124,飲食店営業,一般,2/23/17,3/1/17,2/28/23
東日本旅客鉄道株式会社　秋田支社　ＪＲ宮田寮,秋田市南通宮田１４－９,018-836-9211,ＪＲ秋田鉄道サービス株式会社,継続,125,飲食店営業,一般,2/23/17,3/1/17,2/28/23
レストラン　はすの実,秋田市広面字蓮沼４４－２,,株式会社　ホテルアイリス,新規,136,飲食店営業,一般,2/23/17,2/23/17,9/30/23
メフォス北日本　５２１８４号店,秋田市土崎港南三丁目１３－３５,018-845-1786,株式会社　メフォス北日本,新規,152,飲食店営業,一般,3/3/17,3/3/17,5/31/23
駅そば　しらかみ庵,秋田市中通七丁目１－２,018-825-9540,株式会社　関根屋,新規,159,飲食店営業,一般,3/6/17,3/6/17,11/30/23
マックスバリュエクスプレス新屋関町店,秋田市新屋町字関町後２０８－２,018-888-9922,イオン東北株式会社,新規,154,魚介類販売業,一般,3/6/17,3/6/17,6/30/23
マックスバリュエクスプレス新屋関町店,秋田市新屋町字関町後２０８－２,018-888-9922,イオン東北株式会社,新規,153,飲食店営業,仕出し・弁当,3/6/17,3/6/17,6/30/23
くら寿司秋田茨島店　,秋田市茨島一丁目１－１９,018-827-3610,株式会社　くらコーポレーション,新規,160,飲食店営業,一般,3/8/17,3/8/17,4/30/23
自家製麺　５１０２,秋田市保戸野桜町１０－３,018-893-6457,菊池未来,新規,163,飲食店営業,一般,3/8/17,3/8/17,1/31/23
自家製麺　５１０２,秋田市保戸野桜町１０－３,018-893-6457,菊池未来,新規,164,めん類製造業,一般,3/8/17,3/8/17,1/31/23
ニューデイズ秋田ぽぽろーど,秋田市中通七丁目１－２,018-887-7466,株式会社　ＪＲ東日本クロスステーション,新規,190,飲食店営業,その他,3/23/17,3/23/17,11/30/22
スターバックスコーヒー秋田駅店,秋田市中通七丁目１－２,018-825-9701,スターバックスコーヒージャパン株式会社,新規,196,飲食店営業,一般,3/27/17,12/1/17,11/30/22
コワーキングスペースＳＤＢ,秋田市手形字西谷地８６－４,,株式会社　あきた総研,新規,195,飲食店営業,一般,3/27/17,3/27/17,1/31/23
レストランＳＵＮＳＵＮ上北手店,秋田市上北手猿田字苗代沢１７－３,,株式会社　サンアメニティ,新規,194,飲食店営業,一般,3/27/17,3/27/17,9/30/23
あきたくらす,秋田市中通七丁目１－２,018-827-6362,株式会社　ＢＦダイニング,新規,233,飲食店営業,その他,3/31/17,3/31/17,11/30/22
お菓子のくらた　トピコ店,秋田市中通七丁目１－２,018-834-7341,株式会社　くらた,新規,219,喫茶店営業,一般,3/31/17,3/31/17,11/30/22
ローソン秋田御所野堤台一丁目店,秋田市御所野堤台一丁目１－３,018-839-2031,株式会社　関,新規,226,飲食店営業,仕出し・弁当,3/31/17,3/31/17,6/30/23
初代麺屋　とのさき,秋田市手形からみでん４－２７,,外崎博之,新規,258,飲食店営業,一般,4/13/17,4/13/17,1/31/23
福多珈琲,秋田市中通一丁目４－１,018-838-0819,株式会社　フード・ボックス,新規,269,飲食店営業,一般,4/17/17,4/17/17,11/30/23
有限会社　県庁食堂本庁Ｂ１,秋田市山王四丁目１－１,018-860-3581,有限会社　県庁食堂,継続,280,飲食店営業,仕出し・弁当,4/18/17,5/1/17,4/30/23
伸栄,秋田市山王二丁目２－３４,018-863-1020,有限会社　伸栄,継続,279,飲食店営業,一般,4/18/17,5/1/17,4/30/23
ジャズインタイム,秋田市山王一丁目６－７,018-863-1738,佐野牧夫,継続,285,飲食店営業,一般,4/18/17,5/1/17,4/30/23
芝良久,秋田市山王一丁目２－１７,018-865-4809,髙橋均,継続,284,飲食店営業,一般,4/18/17,5/1/17,4/30/23
喰らい亭,秋田市山王一丁目１２－２８,018-865-5370,有限会社　大奈,継続,281,飲食店営業,一般,4/18/17,5/1/17,4/30/23
ＪＲ社員食堂　ＢＡＫＫＥ,秋田市中通七丁目１－１,018-832-6483,ＪＲ東日本東北総合サービス株式会社,新規,307,飲食店営業,一般,4/20/17,4/20/17,11/30/23
花びし,秋田市山王五丁目３－２４,018-863-0891,木内徹,継続,305,飲食店営業,一般,4/20/17,5/1/17,4/30/23
合同会社　一力,秋田市山王中園町３－８,018-863-7533,合同会社　一力,継続,297,飲食店営業,仕出し・弁当,4/20/17,5/1/17,4/30/23
伊藤旅館,秋田市山王六丁目１８－２８,018-864-5577,伊藤ヒサ,継続,302,飲食店営業,一般,4/20/17,5/1/17,4/30/23
南蛮や,秋田市山王五丁目８－１６,018-866-1123,竹内修,継続,301,飲食店営業,一般,4/20/17,5/1/17,4/30/23
旨いもんや　清野太郎,秋田市山王四丁目６－２０,018-874-9623,せいのフード　株式会社,継続,304,飲食店営業,一般,4/20/17,5/1/17,4/30/23
０８ＣＯＦＦＥＥ,秋田市山王新町１３－２１,018-893-3330,児玉和也,継続,300,飲食店営業,一般,4/20/17,5/1/17,4/30/23
株式会社　東北機械製作所　売店,秋田市茨島一丁目２－３,018-862-5541,株式会社　東北機械製作所,継続,317,飲食店営業,一般,4/24/17,5/1/17,4/30/23
ストロベリーコーンズ　ナポリの窯秋田中央店,秋田市茨島四丁目１９－６１,018-866-7133,有限会社　リー・ビーカンパニー,継続,313,飲食店営業,その他,4/24/17,5/1/17,4/30/23
幸楽苑　茨島店,秋田市茨島六丁目１０－２６,018-896-1005,株式会社　幸楽苑,継続,314,飲食店営業,一般,4/24/17,5/1/17,4/30/23
飛鳥,秋田市山王二丁目１０－３９,,夏井真由美,継続,321,飲食店営業,一般,4/25/17,5/1/17,4/30/23
スナック　篠,秋田市山王一丁目７－２０,018-824-5557,米屋栄子,継続,331,飲食店営業,一般,4/26/17,5/1/17,4/30/23
佐々木家　秋田店,秋田市川元むつみ町７－２１,018-864-1112,みちのく麺匠株式会社,継続,342,飲食店営業,一般,4/26/17,5/1/17,4/30/23
秋田酒類製造株式会社,秋田市川元むつみ町４－１２,018-864-7331,秋田酒類製造株式会社,継続,341,清涼飲料水製造業,一般,4/26/17,5/1/17,4/30/23
びっくりドンキー山王臨海店,秋田市川尻町字大川反２３３－２１６,018-883-0115,株式会社　半田屋,継続,335,飲食店営業,一般,4/26/17,5/1/17,4/30/23
蕎麦とお酒　まこと,秋田市山王二丁目６－２９,,斉藤誠,継続,330,飲食店営業,一般,4/26/17,5/1/17,4/30/23
想麻,秋田市山王七丁目３－１,018-824-2662,有限会社　想コーポレーション,継続,362,飲食店営業,一般,4/27/17,5/1/17,4/30/23
居酒屋　ひのくるま,秋田市山王一丁目９－１５,018-862-8681,佐藤誠,継続,364,飲食店営業,一般,4/27/17,5/1/17,4/30/23
酒房　くもりのちはれ,秋田市山王二丁目５－８,018-865-6406,工藤範子,継続,360,飲食店営業,一般,4/27/17,5/1/17,4/30/23
Ｓｈｏｔ　Ｂａｒ　Ｄａｒｋ　Ｈｏｒｓｅ,秋田市山王一丁目１１－１７,018-866-5544,武田徳仁,継続,361,飲食店営業,一般,4/27/17,5/1/17,4/30/23
柳麺多むら　外旭川店,秋田市外旭川字小谷地４４－１,,田村壮司,新規,366,飲食店営業,一般,4/27/17,4/27/17,7/31/23
株式会社　秋田食肉卸センター,秋田市川尻町字大川反２３２－２８,018-862-6100,株式会社　秋田食肉卸センター,継続,373,食肉販売業,一般,4/28/17,5/1/17,4/30/23
株式会社　秋田食肉卸センター,秋田市川尻町字大川反２３２－２８,018-862-6100,株式会社　秋田食肉卸センター,継続,372,食肉処理業,一般,4/28/17,5/1/17,4/30/23
アラジン珈琲　山王店,秋田市川元山下町２－１,018-863-7333,株式会社珈研舎,継続,375,喫茶店営業,一般,4/28/17,5/1/17,4/30/23
ＪＩＲＯ＆ＭＡＺＥＳＯＢＡ　奨,秋田市保戸野鉄砲町９－６０,,本川成一,新規,376,飲食店営業,一般,4/28/17,4/28/17,1/31/23
ローソン秋田駅西店,秋田市千秋久保田町３－１５,018-836-7177,株式会社　Ｋ＆Ｋメルシ,新規,394,飲食店営業,その他,5/10/17,5/10/17,9/30/23
ナイス　山手台店,秋田市山手台一丁目１－５,018-892-7112,株式会社　ナイス,新規,404,食肉販売業,一般,5/11/17,5/11/17,9/30/23
ナイス　山手台店,秋田市山手台一丁目１－５,018-892-7112,株式会社　ナイス,新規,405,魚介類販売業,一般,5/11/17,5/11/17,9/30/23
ナイス　山手台店,秋田市山手台一丁目１－５,018-892-7112,株式会社　ナイス,新規,406,飲食店営業,仕出し・弁当,5/11/17,5/11/17,9/30/23
ナイス　山手台店,秋田市山手台一丁目１－５,018-892-7112,株式会社　ナイス,新規,407,飲食店営業,その他,5/11/17,5/11/17,9/30/23
ナイス　山手台店,秋田市山手台一丁目１－５,018-892-7112,株式会社　ナイス,新規,409,菓子製造業,一般,5/11/17,5/11/17,9/30/23
ナイス　山手台店,秋田市山手台一丁目１－５,018-892-7112,株式会社　ナイス,新規,410,飲食店営業,その他,5/11/17,5/11/17,9/30/23
居酒屋　ひげだるま,秋田市手形山崎町９－３７,018-827-5490,合同会社　ＬＯＣＡＬＩＶＥ,新規,438,飲食店営業,一般,5/16/17,5/16/17,1/31/23
炭火やきとり　一？,秋田市南通築地４－１３,018-853-7011,原田昌幸,新規,436,飲食店営業,一般,5/16/17,5/16/17,2/28/23
ローソン秋田土崎港中央五丁目店,秋田市土崎港中央五丁目３－２,018-847-7105,有限会社　あいわ商店,新規,449,飲食店営業,その他,5/18/17,5/18/17,5/31/23
レゼール追分,秋田市金足追分字海老穴２６６,018-872-1890,あきた湖東農業協同組合,継続,484,飲食店営業,一般,5/19/17,6/1/17,5/31/23
有限会社　近藤製麺所　食堂部,秋田市土崎港中央四丁目５－５０,018-845-1212,有限会社　近藤製麺所,継続,503,飲食店営業,一般,5/22/17,6/1/17,5/31/23
ベーカリーカフェ　コア,秋田市飯島西袋一丁目１－１,018-846-3400,株式会社　光洋,継続,561,菓子製造業,一般,5/25/17,6/1/17,5/31/23
ベーカリーカフェ　コア,秋田市飯島西袋一丁目１－１,018-846-3400,株式会社　光洋,継続,560,飲食店営業,その他,5/25/17,6/1/17,5/31/23
レストラン　ビアンモール,秋田市飯島西袋一丁目１－１,018-846-3400,株式会社　光洋,継続,559,飲食店営業,一般,5/25/17,6/1/17,5/31/24
東北発電工業株式会社秋田支社　土崎みなと寮,秋田市土崎港相染町字沖谷地１６９,018-846-7012,株式会社　エルタス東北,継続,556,飲食店営業,一般,5/25/17,6/1/17,5/31/23
港屋ランチ,秋田市土崎港北三丁目６－４,018-846-8577,伊藤肇,継続,546,飲食店営業,仕出し・弁当,5/25/17,6/1/17,5/31/23
医療法人　久盛会　クローバー就労継続支援事業所,秋田市飯島道東二丁目１３－２０,018-846-9608,医療法人　久盛会,継続,555,飲食店営業,一般,5/25/17,6/1/17,5/31/23
セブン－イレブン秋田将軍野南三丁目店,秋田市将軍野南三丁目１２－３９,018-857-0711,池田学,新規,549,飲食店営業,その他,5/25/17,5/25/17,5/31/23
ごはんどき　追分店,秋田市下新城中野字琵琶沼１４６－１,018-870-4021,株式会社マルハンダイニング,継続,548,飲食店営業,一般,5/25/17,6/1/17,5/31/23
サービス付き高齢者向け住宅アルテンハウゼ手形住吉町,秋田市手形住吉町１－３,018-874-7553,富士産業株式会社,新規,537,飲食店営業,一般,5/25/17,5/25/17,1/31/23
ショートステイ　やまゆり,秋田市飯島川端一丁目２－５,018-893-3715,株式会社　秋田キャッスルホテル,継続,563,飲食店営業,一般,5/25/17,6/1/17,5/31/23
株式会社　ホテル大和,秋田市土崎港中央一丁目６－３３,018-845-0151,株式会社　ホテル大和,継続,566,飲食店営業,一般,5/26/17,6/1/17,5/31/23
焼肉の松園,秋田市土崎港中央一丁目１４－２３,018-845-7264,全大明,継続,567,飲食店営業,一般,5/26/17,6/1/17,5/31/23
スナック三棊,秋田市土崎港中央一丁目１３－１７,018-845-9698,小林三已,継続,570,飲食店営業,一般,5/26/17,6/1/17,5/31/23
スナック　ピオン,秋田市土崎港中央一丁目１３－１７,018-847-1902,齋藤まゆみ,継続,571,飲食店営業,一般,5/26/17,6/1/17,5/31/23
こすもす港ホール　ファミリア,秋田市土崎港西四丁目８－３４,,有限会社　三太,継続,572,飲食店営業,一般,5/26/17,6/1/17,5/31/23
真砂食堂,秋田市土崎港中央一丁目１１－１５,018-845-1135,佐藤洋,継続,591,飲食店営業,一般,5/29/17,6/1/17,5/31/23
とんかつ太郎,秋田市土崎港中央一丁目１０－２０,018-845-1546,佐藤洋,継続,590,飲食店営業,一般,5/29/17,6/1/17,5/31/23
イオン土崎港店,秋田市土崎港南二丁目３－４１,018-846-1221,イオン東北株式会社,継続,594,魚介類販売業,一般,5/29/17,6/1/17,5/31/23
イオン土崎港店,秋田市土崎港南二丁目３－４１,018-846-1221,イオン東北株式会社,継続,593,飲食店営業,仕出し・弁当,5/29/17,6/1/17,5/31/23
しちりん,秋田市土崎港中央三丁目１０－１０,018-857-3871,石井郁子,継続,587,飲食店営業,一般,5/29/17,6/1/17,5/31/23
特別養護老人ホーム　ひなた,秋田市土崎港西三丁目１１－５,018-816-0377,株式会社　秋田キャッスルホテル,継続,600,飲食店営業,一般,5/30/17,6/1/17,5/31/24
㈱秋田丸栄　低温・冷蔵物流センター,秋田市土崎港西一丁目５－２０,018-845-1108,株式会社　秋田丸栄,継続,605,食品の冷凍又は冷蔵業,一般,5/30/17,6/1/17,5/31/23
北斗製氷株式会社　土崎冷蔵庫,秋田市土崎港西一丁目１１－７,018-845-2445,北斗製氷株式会社,継続,606,食品の冷凍又は冷蔵業,一般,5/30/17,6/1/17,5/31/23
（有）港水産,秋田市土崎港西一丁目３－２７,018-846-7311,有限会社　港水産,継続,601,飲食店営業,その他,5/30/17,6/1/17,5/31/23
ローソン秋田ベイパラダイス店,秋田市土崎港西一丁目１０－４５,018-857-5005,石川世希子,継続,604,飲食店営業,その他,5/30/17,6/1/17,5/31/23
臨海食品協業組合,秋田市飯島字砂田１０５－３,018-845-4875,臨海食品協業組合,継続,634,そうざい製造業,一般,5/31/17,6/1/17,5/31/23
臨海食品協業組合,秋田市飯島字砂田１０５－３,018-845-4875,臨海食品協業組合,継続,632,豆腐製造業,一般,5/31/17,6/1/17,5/31/23
臨海食品協業組合,秋田市飯島字砂田１０５－３,018-845-4875,臨海食品協業組合,継続,633,菓子製造業,一般,5/31/17,6/1/17,5/31/23
太華味,秋田市土崎港中央三丁目９－２８,018-857-2929,遠藤環,継続,639,飲食店営業,一般,5/31/17,6/1/17,5/31/23
竹本商店ストア,秋田市土崎港西二丁目４－３６,018-893-3075,株式会社　竹本商店,継続,635,そうざい製造業,一般,5/31/17,6/1/17,5/31/23
中通　ｃｈｉｌｌｏｕｔ,秋田市中通五丁目８－１２,018-887-5881,阿部沙也佳,新規,655,飲食店営業,一般,6/8/17,6/8/17,11/30/22
ごろりんはうすＳｔｏｒｙ,秋田市山王一丁目４－１０,018-893-3191,株式会社　Ｍｒ．チャレンジド,新規,672,飲食店営業,その他,6/14/17,6/14/17,4/30/23
ごろりんはうすＳｔｏｒｙ,秋田市山王一丁目４－１０,018-893-3191,特定非営利活動法人　あきた福祉共生会,新規,673,飲食店営業,その他,6/14/17,6/14/17,4/30/23
