市町村コード,都道府県名,市町村名,年度,歳出目的区分,決算額（千円）
05212,秋田県,大仙市,2011(平成23）,災害復旧費,342264
05212,秋田県,大仙市,2011(平成23）,公債費,6143371
05212,秋田県,大仙市,2011(平成23）,諸支出金,0
05212,秋田県,大仙市,2012(平成24）,議会費,335112
05212,秋田県,大仙市,2012(平成24）,総務費,5087380
05212,秋田県,大仙市,2012(平成24）,民生費,12387008
05212,秋田県,大仙市,2012(平成24）,衛生費,4887489
05212,秋田県,大仙市,2012(平成24）,労働費,216735
05212,秋田県,大仙市,2012(平成24）,農林水産業費,2468419
05212,秋田県,大仙市,2012(平成24）,商工費,1715551
05212,秋田県,大仙市,2012(平成24）,土木費,6389653
05212,秋田県,大仙市,2012(平成24）,消防費,1782802
05212,秋田県,大仙市,2012(平成24）,教育費,4151158
05212,秋田県,大仙市,2012(平成24）,災害復旧費,158863
05212,秋田県,大仙市,2012(平成24）,公債費,6290043
05212,秋田県,大仙市,2012(平成24）,諸支出金,0
05212,秋田県,大仙市,2013(平成25）,議会費,323165
05212,秋田県,大仙市,2013(平成25）,総務費,5484111
05212,秋田県,大仙市,2013(平成25）,民生費,12509663
05212,秋田県,大仙市,2013(平成25）,衛生費,5741357
05212,秋田県,大仙市,2013(平成25）,労働費,195475
05212,秋田県,大仙市,2013(平成25）,農林水産業費,3381596
05212,秋田県,大仙市,2013(平成25）,商工費,1674797
05212,秋田県,大仙市,2013(平成25）,土木費,10708520
05212,秋田県,大仙市,2013(平成25）,消防費,2215760
05212,秋田県,大仙市,2013(平成25）,教育費,4046856
05212,秋田県,大仙市,2013(平成25）,災害復旧費,177899
05212,秋田県,大仙市,2013(平成25）,公債費,5855286
05212,秋田県,大仙市,2013(平成25）,諸支出金,0
05212,秋田県,大仙市,2014(平成26）,議会費,350619
05212,秋田県,大仙市,2014(平成26）,総務費,5362879
05212,秋田県,大仙市,2014(平成26）,民生費,13538245
05212,秋田県,大仙市,2014(平成26）,衛生費,6090629
05212,秋田県,大仙市,2014(平成26）,労働費,142501
05212,秋田県,大仙市,2014(平成26）,農林水産業費,3192527
05212,秋田県,大仙市,2014(平成26）,商工費,1489725
05212,秋田県,大仙市,2014(平成26）,土木費,6823219
05212,秋田県,大仙市,2014(平成26）,消防費,1704328
05212,秋田県,大仙市,2014(平成26）,教育費,4309173
05212,秋田県,大仙市,2014(平成26）,災害復旧費,69879
05212,秋田県,大仙市,2014(平成26）,公債費,5474751
05212,秋田県,大仙市,2014(平成26）,諸支出金,0
05212,秋田県,大仙市,2015(平成27）,議会費,366545
05212,秋田県,大仙市,2015(平成27）,総務費,5356004
05212,秋田県,大仙市,2015(平成27）,民生費,13083675
05212,秋田県,大仙市,2015(平成27）,衛生費,5355992
05212,秋田県,大仙市,2015(平成27）,労働費,129654
05212,秋田県,大仙市,2015(平成27）,農林水産業費,4441010
05212,秋田県,大仙市,2015(平成27）,商工費,1764909
05212,秋田県,大仙市,2015(平成27）,土木費,6182621
05212,秋田県,大仙市,2015(平成27）,消防費,1661254
05212,秋田県,大仙市,2015(平成27）,教育費,4371776
05212,秋田県,大仙市,2015(平成27）,災害復旧費,90668
05212,秋田県,大仙市,2015(平成27）,公債費,6048672
05212,秋田県,大仙市,2015(平成27）,諸支出金,0
05212,秋田県,大仙市,2016(平成28）,議会費,324794
05212,秋田県,大仙市,2016(平成28）,総務費,5371214
05212,秋田県,大仙市,2016(平成28）,民生費,13205689
05212,秋田県,大仙市,2016(平成28）,衛生費,4822457
05212,秋田県,大仙市,2016(平成28）,労働費,116882
05212,秋田県,大仙市,2016(平成28）,農林水産業費,4163851
05212,秋田県,大仙市,2016(平成28）,商工費,1716977
05212,秋田県,大仙市,2016(平成28）,土木費,5117913
05212,秋田県,大仙市,2016(平成28）,消防費,1933569
05212,秋田県,大仙市,2016(平成28）,教育費,4062327
05212,秋田県,大仙市,2016(平成28）,災害復旧費,87938
05212,秋田県,大仙市,2016(平成28）,公債費,5587577
05212,秋田県,大仙市,2016(平成28）,諸支出金,0
05212,秋田県,大仙市,2017(平成29）,議会費,322410
05212,秋田県,大仙市,2017(平成29）,総務費,4881548
05212,秋田県,大仙市,2017(平成29）,民生費,14203529
05212,秋田県,大仙市,2017(平成29）,衛生費,2982142
05212,秋田県,大仙市,2017(平成29）,労働費,100976
05212,秋田県,大仙市,2017(平成29）,農林水産業費,4558191
05212,秋田県,大仙市,2017(平成29）,商工費,1696194
05212,秋田県,大仙市,2017(平成29）,土木費,5296770
05212,秋田県,大仙市,2017(平成29）,消防費,2720177
05212,秋田県,大仙市,2017(平成29）,教育費,4966619
05212,秋田県,大仙市,2017(平成29）,災害復旧費,1144278
05212,秋田県,大仙市,2017(平成29）,公債費,5867464
05212,秋田県,大仙市,2017(平成29）,諸支出金,0
05212,秋田県,大仙市,2018(平成30）,議会費,329273
05212,秋田県,大仙市,2018(平成30）,総務費,5134922
05212,秋田県,大仙市,2018(平成30）,民生費,13336455
05212,秋田県,大仙市,2018(平成30）,衛生費,4238532
05212,秋田県,大仙市,2018(平成30）,労働費,99938
05212,秋田県,大仙市,2018(平成30）,農林水産業費,3823739
05212,秋田県,大仙市,2018(平成30）,商工費,1357249
05212,秋田県,大仙市,2018(平成30）,土木費,4372620
05212,秋田県,大仙市,2018(平成30）,消防費,2390070
05212,秋田県,大仙市,2018(平成30）,教育費,5127273
05212,秋田県,大仙市,2018(平成30）,災害復旧費,2110513
05212,秋田県,大仙市,2018(平成30）,公債費,6147670
05212,秋田県,大仙市,2018(平成30）,諸支出金,0
05212,秋田県,大仙市,2019(令和1）,議会費,318694
05212,秋田県,大仙市,2019(令和1）,総務費,5162373
05212,秋田県,大仙市,2019(令和1）,民生費,12946015
05212,秋田県,大仙市,2019(令和1）,衛生費,4316055
05212,秋田県,大仙市,2019(令和1）,労働費,79594
05212,秋田県,大仙市,2019(令和1）,農林水産業費,3568184
05212,秋田県,大仙市,2019(令和1）,商工費,1312613
05212,秋田県,大仙市,2019(令和1）,土木費,4151717
05212,秋田県,大仙市,2019(令和1）,消防費,1997527
05212,秋田県,大仙市,2019(令和1）,教育費,5183241
05212,秋田県,大仙市,2019(令和1）,災害復旧費,410529
05212,秋田県,大仙市,2019(令和1）,公債費,5611366
05212,秋田県,大仙市,2019(令和1）,諸支出金,0
05212,秋田県,大仙市,2020(令和2）,議会費,297269
05212,秋田県,大仙市,2020(令和2）,総務費,13386297
05212,秋田県,大仙市,2020(令和2）,民生費,13297583
05212,秋田県,大仙市,2020(令和2）,衛生費,4354995
05212,秋田県,大仙市,2020(令和2）,労働費,94986
05212,秋田県,大仙市,2020(令和2）,農林水産業費,3766027
05212,秋田県,大仙市,2020(令和2）,商工費,2246818
05212,秋田県,大仙市,2020(令和2）,土木費,5298597
05212,秋田県,大仙市,2020(令和2）,消防費,1699660
05212,秋田県,大仙市,2020(令和2）,教育費,5123683
05212,秋田県,大仙市,2020(令和2）,災害復旧費,177404
05212,秋田県,大仙市,2020(令和2）,公債費,5326784
05212,秋田県,大仙市,2020(令和2）,諸支出金,0
