市町村コード,都道府県名,市区町村名,名称,名称ｶﾅ,医療機関の種類,住所,電話番号,FAX番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目,病床数,URL
52124,秋田県,大仙市,中島内科医院,ﾅｶｼﾞﾏﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市朝日町17-1,0187-63-2211,0187-62-6454,月火水木金土,8:30,17:30,土；午前診療,内科；消化器内科（胃腸内科）；糖尿病内科（代謝内科）,,
52124,秋田県,大仙市,吉方内科医院,ﾖｼｶﾀﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲白金町5-31,0187-86-0800,0187-86-0801,月火水木金土,8:30,18:30,"水,土；15:00まで診療",内科；循環器内科；呼吸器内科,,
52124,秋田県,大仙市,たかはし内科循環器科医院,ﾀｶﾊｼﾅｲｶｼﾞｭﾝｶﾝｷｶｲｲﾝ,無床診療所,秋田県大仙市大曲福住町9-23,0187-63-5115,,月火水木金土,8:30,17:30,"水,土；午前診療",内科；循環器内科；呼吸器内科；消化器内科（胃腸内科）；心療内科,,
52124,秋田県,大仙市,大曲母子医院,ｵｵﾏｶﾞﾘﾎﾞｼｲｲﾝ,無床診療所,秋田県大仙市大曲福住町8-18,0187-63-2288,0187－63－2388,月火水木金土,9:00,18:00（土;15:00）,水；午前診療,産婦人科（生殖医療）；産科；婦人科；外科；泌尿器科,,
52124,秋田県,大仙市,高橋久志眼科医院,ﾀｶﾊｼﾋｻｼｶﾞﾝｶｲｲﾝ,無床診療所,秋田県大仙市大曲通町12-22,0187-66-1148,0187-66-1149,月火水木金土,9:00,17:30,"火,水,土；午前診療　第1・第4土曜日休診",眼科,,http://www.takahashi-eyeclinic.net/
52124,秋田県,大仙市,下山クリニック,ｼﾓﾔﾏｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲福住町2-23,0187-63-5110,0187-63-6010,月火水木金土,8:30,17:30,"水,土；午前診療",消化器内科（胃腸内科）；内科；外科：肛門外科,,http://shimo-clinic.com/
52124,秋田県,大仙市,ケイメンタルクリニック,ｹｲﾒﾝﾀﾙｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲通町10-8,0187-66-3020,0187-63-0041,月火水木金,9:00,16:00,,心療内科；精神科,,https://keishinkai-akita.net/
52124,秋田県,大仙市,田口医院,ﾀｸﾞﾁｲｲﾝ,無床診療所,秋田県大仙市大曲丸の内町10-25,0187-63-1380,0187-63-1211,月火水木金土,9:00,17:00,"水,土；午前診療",婦人科；産科；心療内科,,http://www.t-concerto.jp/
52124,秋田県,大仙市,秋桜ペインクリニック,ｺｽﾓｽﾍﾟﾝｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲中通町1-8-7,0187-88-8333,0187-88-8815,月火水木金土,9:00,17:30,土；13:30,麻酔科,,http://cosmospain2016.jp/
52124,秋田県,大仙市,木村内科医院,ｷﾑﾗﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲中通町3-3,0187-63-2070,0187-63-7756,月火水木金土,8:30,17:30（水；17:00　土;午前診療）,,内科；循環器内科；消化器内科；小児科,,
52124,秋田県,大仙市,池田医院,ｲｹﾀﾞｲｲﾝ,無床診療所,秋田県大仙市大曲中通町4-20,0187-63-3338,0187-63-3811,月火水木金土,9:00,17:00,土；午前診療,循環器内科；内科；小児科,,
52124,秋田県,大仙市,佐藤耳鼻咽喉科医院,ｻﾄｳｼﾞﾋﾞｲﾝｺｳｶｲｲﾝ,無床診療所,秋田県大仙市大曲黒瀬町3-11,0187-62-2455,0187-63-6787,月火水木金土,9:00,17:20,"木,土；午前診療",耳鼻咽喉科,,
52124,秋田県,大仙市,山下医院,ﾔﾏｼﾀｲｲﾝ,無床診療所,秋田県大仙市大曲黒瀬町3-45,0187-63-3328,0187-63-3336,月火水木金土,9:00,17:30,"火,木,土；午前診療",外科；胃腸内科；肛門外科,,
52124,秋田県,大仙市,大石脳外科クリニック,ｵｵｲｼﾉｳｹﾞｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲浜町7-45,0187-73-5100,0187-73-5115,月火水木金土,8:30,17:30（土;16:00),水；午前診療,脳神経外科；脳神経内科；放射線科,,
52124,秋田県,大仙市,くどう整形外科,ｸﾄﾞｳｾｲｹｲｹﾞｶ,無床診療所,秋田県大仙市大曲船場町1-6-3,0187-86-0010,0187-86-0021,月火水木金土,8:30,18:00,土；午前診療,整形外科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,
52124,秋田県,大仙市,医療法人あけぼの会こまち透析クリニック,ｲﾘｮｳﾎｳｼﾞﾝｱｹﾎﾞﾉｶｲｺﾏﾁﾄｳｾｷｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲あけぼの町13-37,0187-73-7875,0187-73-7876,月火水木金土,8:30,17:30,"火,木,土；午前診療",腎臓内科；内科,,http://komachihd-clinic.www2.jp/
52124,秋田県,大仙市,荒井医院,ｱﾗｲｲｲﾝ,無床診療所,秋田県大仙市大曲上大町6-22,0187-63-2670,0187-63-2690,月火水木金土,9:00,17:00,"水,土；午前診療",消化器内科（胃腸内科）；内科,,
52124,秋田県,大仙市,小山田医院,ｵﾔﾏﾀﾞｲｲﾝ,無床診療所,秋田県大仙市大曲須和町1-4-21,0187-63-1133,0187-63-5164,月火水木金土,8:30,17:00,"水,土；午前診療",小児科,,
52124,秋田県,大仙市,医療法人高津内科医院,ｲﾘｮｳﾎｳｼﾞﾝﾀｶﾂﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲須和町2-8-36,0187-86-0366,0187-86-0388,月火水木金土,8:30,17:00,"木,土；午前診療",内科,,
52124,秋田県,大仙市,佐々木内科医院,ｻｻｷﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲上栄町1-28,0187-63-1410,0187-63-2231,月火水木金土,8:30,18:00,土；午前診療,内科；消化器内科（胃腸内科）；循環器内科,,
52124,秋田県,大仙市,大仙ごとう整形外科クリニック,ﾀﾞｲｾﾝｺﾞﾄｳｾｲｹｲｹﾞｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲田町28-33,0187-73-5106,0187-73-5107,月火水木金土,9:00,18:00,"木,土；午前診療",整形外科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,http://gotouclinic.jp/
52124,秋田県,大仙市,仲村内科胃腸科医院,ﾅｶﾑﾗﾅｲｶｲﾁｮｳｶｲｲﾝ,無床診療所,秋田県大仙市大曲日の出町1-7-15,0187-63-2225,0187-63-2225,月火水木金土,8:30,17:00,土；午前診療,内科；消化器内科；呼吸器内科；循環器内科；小児科；皮膚科;アレルギー科；糖尿病内科；泌尿器科；放射線科；臨床検査科,,
52124,秋田県,大仙市,ささき脳神経外科・内科クリニック,ｻｻｷﾉｳｼﾝｹｲｹﾞｶﾅｲｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲日の出町2-7-4,0187-63-1010,0187-63-1011,月火水木金土,8:30,17:30(土16:00),木；午前診療,脳神経外科；内科；神経内科；放射線科,,http://www.sasaki-nic.com/
52124,秋田県,大仙市,大曲リハビリテーションクリニック,ｵｵﾏｶﾞﾘﾘﾊﾋﾞﾘﾃｰｼｮﾝｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲住吉町1-17,0187-73-7900,0187-73-7901,月火水木金土・祝日,9:00,"17:00（火,木,土16:00)",祝日;9:00-16:00,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科；内科,,https://omagari-rc.jp/
52124,秋田県,大仙市,あい内科クリニック日の出,ｱｲﾅｲｶｸﾘﾆｯｸﾋﾉﾃﾞ,無床診療所,秋田県大仙市大曲日の出町2-4-46,0187-88-8503,0187-62-0260,月火水木金土,8:30,17:30（火・木 20:30）,"水,土；午前診療",内科；消化器科；漢方内科,,
52124,秋田県,大仙市,佐藤レディースクリニック,ｻﾄｳﾚﾃﾞｨｰｽｸﾘﾆｯｸ,有床診療所,秋田県大仙市戸蒔字谷地添106-1,0187-86-0311,0187-86-0022,月火水木金土,9:00,18:30,火.木.土；午前診療,産婦人科,9,http://www9.plala.or.jp/slcweb/
52124,秋田県,大仙市,石河ひふ科医院,ｲｼｶﾜﾋﾌｶｲｲﾝ,無床診療所,秋田県大仙市花館字葛野110-7,0187-66-8866,0187-66-8867,月火水木金土,8:30,17:00（火・木18:00）,土；午前診療,皮膚科,,
52124,秋田県,大仙市,高階医院,ﾀｶｼﾅｲｲﾝ,無床診療所,秋田県大仙市四ツ屋字西下瀬57-6,0187-66-1411,0187-66-1451,月火水木金土,9:30,17:30,"水,土；午前診療",内科；小児科；耳鼻咽喉科；皮膚科;形成外科,2,
52124,秋田県,大仙市,荒川医院,ｱﾗｶﾜｲｲﾝ,無床診療所,秋田県大仙市角間川町字下中町32,0187-86-5080,0187-86-5081,月火水木金土,8:30,17:30,"木,土；午前診療",内科；循環器内科；小児科,,
52124,秋田県,大仙市,伊藤内科医院,ｲﾄｳﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市角間川町字町頭178-2,0187-65-3200,0187-65-3201,月火水木金土,8:30,12:30,午前診療,内科；消化器内科（胃腸内科）：循環器内科；呼吸器内科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,
52124,秋田県,大仙市,神岡診療所,ｶﾐｵｶｼﾝﾘｮｳｼｮ,無床診療所,秋田県大仙市神宮寺字本郷下64-1,0187-72-3001,0187-72-3116,月火水木金土,8:30,17:30,"水,土；午前診療",内科；循環器内科,,
52124,秋田県,大仙市,伊藤医院,ｲﾄｳｲｲﾝ,無床診療所,秋田県大仙市南外字落合22,0187-74-2211,0187-74-2210,月火水木金,9:00,17:15,,内科,,
52124,秋田県,大仙市,藤本医院,ﾌｼﾞﾓﾄｲｲﾝ,無床診療所,秋田県大仙市刈和野字北沢107-2,0187-75-2221,0187－75-2221,月火木金土,8:30,18:00,土；午前診療,内科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科；整形外科,,
52124,秋田県,大仙市,佐藤医院,ｻﾄｳｲｲﾝ,無床診療所,秋田県大仙市刈和野字清光院後42-35,0187-75-1000,0187-75-1007,月火水木金土,9:00,17:00,土；午前診療,外科；内科,,
52124,秋田県,大仙市,医療法人黒澤医院,ｲﾘｮｳﾎｳｼﾞﾝｸﾛｻﾜｲｲﾝ,無床診療所,秋田県大仙市刈和野字清光院後24-1,0187-75-0368,0187-75-2817,月火水木金土,8:30,17:00,土；午前診療,内科；泌尿器科,,
52124,秋田県,大仙市,生和堂医院,ｾｲﾜﾄﾞｳｲｲﾝ,無床診療所,秋田県大仙市刈和野字清光院後15-2,0187-75-0318,0187-75-0328,月火水木金土日,8:45,18:00(水15:00/土12:30/日12:00）,"土,日；午前診療",内科；小児科,,
52124,秋田県,大仙市,佐藤内科クリニック,ｻﾄｳﾅｲｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市協和峰吉川字半仙114,018-895-2730,018-895-2735,月火水木金土,8:00,17:30,"水；午後診療,土；午前診療",内科,,
52124,秋田県,大仙市,サンメンタルクリニック,ｻﾝﾒﾝﾀﾙｸﾘﾆｯｸ,無床診療所,秋田県大仙市協和上淀川字中嶋33,018-838-4862,018-838-4863,月火水木金,9:00,16:00,予約制,心療内科；精神科,,https://keishinkai-akita.net/
52124,秋田県,大仙市,豊島医院,ﾄﾖｼﾏｲｲﾝ,無床診療所,秋田県大仙市協和境字野田86,018-892-2211,018-892-2212,月火水木金土,8:30,17:30,"木,土；午前診療",内科；小児科,,
52124,秋田県,大仙市,羽後長野駅前内科,ｳｺﾞﾅｶﾞﾉｴｷﾏｴﾅｲｶ,無床診療所,秋田県大仙市長野字柳田59,0187-42-8255,0187-42-8256,月火水木金日,9:00,19:00(日のみ17:00）,水；午前診療,内科；感染症内科,,http://un-naika.com/
52124,秋田県,大仙市,滑川医院,ﾅﾒｶﾜｲｲﾝ,無床診療所,秋田県大仙市長野字九日町15-1,0187-56-3121,0187-56-2315,月火水木金土,8:20,17:00,"水,土；午前診療",内科；循環器内科；消化器内科（胃腸内科）；小児科,,
52124,秋田県,大仙市,石井内科胃腸科医院,ｲｼｲﾅｲｶｲﾁｮｳｶｲｲﾝ,無床診療所,秋田県大仙市長野字新山70-1,0187-56-7300,0187-56-7301,月火水木金土,8:30,17:30,"水,土；午前診療",内科；消化器内科（胃腸内科）,,
52124,秋田県,大仙市,太田診療所,ｵｵﾀｼﾝﾘｮｳｼｮ,無床診療所,秋田県大仙市太田町横沢字窪関南505-1,0187-88-2233,0187-88-2244,月火水木金土,8:30,"17:30(月,金),19:00(火,木)","水,土；午前診療",内科；消化器内科（胃腸内科）；小児科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,
52124,秋田県,大仙市,後藤内科医院,ｺﾞﾄｳﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市高梨字田茂木87,0187-62-1113,0187-62-1149,月火水木金土,8:30,17:30,"水,土；午前診療",内科；呼吸器内科；循環器内科；小児科；美容形成外科；皮膚科;心臓血管外科,,
52124,秋田県,大仙市,柳田医院,ﾔﾅｷﾞﾀﾞｲｲﾝ,無床診療所,秋田県大仙市横堀字南福嶋95-2,0187-69-2101,0187-69-2107,月火水木金土,8:00,17:00,土；午前診療,内科；消化器内科；小児科,,
52124,秋田県,大仙市,なごみメンタルクリニック,ﾅｺﾞﾐﾒﾝﾀﾙｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲船場町1-1-45,0187-73-7721,0187-73-7728,月火水木金土,9:00,18:30,"水,土；午前診療",心療内科；精神科；内科,,
52124,秋田県,大仙市,井関歯科医院,ｲｾｷｼｶｲｲﾝ,歯科,秋田県大仙市朝日町4-14,0187-63-8100,0187-63-8200,月火水木金土,8:45,18:00,土；午前診療,歯科,,
52124,秋田県,大仙市,みちのく政宗デンタルクリニック,ﾐﾁﾉｸﾏｻﾑﾈﾃﾞﾝﾀﾙｸﾘﾆｯｸ,歯科,秋田県大仙市福田町22-23-7,0187-63-7803,0187-63-7803,月水木金土日,9:00,18:00（日/17:00）,,歯科,,http://www.michinoku-masamune.com/
52124,秋田県,大仙市,はら歯科医院,ﾊﾗｼｶｲｲﾝ,歯科,秋田県大仙市大花町12-3-11,0187-88-8418,0187-88-8468,月火水木金土,9:30,"19:30（土,17:00)",水；午前診療,歯科,,http://haradental-clinic.com/
52124,秋田県,大仙市,嶋村歯科クリニック,ｼﾏﾑﾗｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市大曲中通町8-32,0187-62-0410,0187-62-0410,月火水木金土,9:00,"19:00(土,16:00）",,歯科,,
52124,秋田県,大仙市,山下歯科医院,ﾔﾏｼﾀｼｶｲｲﾝ,歯科,秋田県大仙市大曲黒瀬町3-45,0187-63-0418,0187-63-8021,月火水木金土,9:00,18:00,"水,土；午前診療",歯科,,https://www.yamashita-dc.jp/
52124,秋田県,大仙市,船木歯科医院,ﾌﾅｷｼｶｲｲﾝ,歯科,秋田県大仙市大曲中通町2-17,0187-63-0027,0187-63-0381,月火水木金土,9:00,18:00,土；午前診療,歯科,,
52124,秋田県,大仙市,金子歯科クリニック,ｶﾈｺｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市大曲丸子町7-31,0187-63-7300,0187-62-5818,月火木金土,9:00,"19:00(土,17:00）",,歯科,,http://dental-k.sakura.ne.jp/
52124,秋田県,大仙市,畠山歯科医院,ﾊﾀｹﾔﾏｼｶｲｲﾝ,歯科,秋田県大仙市大曲浜町2-3,0187-62-3636,0187-62-1311,月火水木金土,10:00,"19:00（土,15:00）",,歯科,,
52124,秋田県,大仙市,こまい歯科医院,ｺﾏｲｼｶｲｲﾝ,歯科,秋田県大仙市大曲上大町7-11,0187-62-4189,0187-62-4189,月火水金土,9:00,"17:00（月,18:00)",土；午前診療,歯科,,
52124,秋田県,大仙市,高橋歯科医院,ﾀｶﾊｼｼｶｲｲﾝ,歯科,秋田県大仙市大曲栄町3-23,0187-62-5058,,月火水木金土,8:30,17:45,土；午前診療,歯科,,
52124,秋田県,大仙市,高橋ひろし歯科医院,ﾀｶﾊｼﾋﾛｼｼｶｲｲﾝ,歯科,秋田県大仙市大曲田町12-20,0187-63-1230,0187-63-1250,月火水木金土,9:00,17:30,土；午前診療,歯科,,
52124,秋田県,大仙市,佐々木歯科医院,ｻｻｷｼｶｲｲﾝ,歯科,秋田県大仙市大曲上栄町1-18,0187-63-3025,0187-63-3025,月火水木土,9:00,"17:30（土,17:00）",,歯科,,
52124,秋田県,大仙市,大曲中通歯科診療所,ｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘｼｶｼﾝﾘｮｳｼｮ,歯科,秋田県大仙市大曲上栄町4-3,0187-62-2323,0187-62-5273,月火木金土,9:00,"17:00(火,20:00)",火；午後診療,歯科,,http://www.meiwakai.or.jp/o_sika
52124,秋田県,大仙市,田口歯科医院,ﾀｸﾞﾁｼｶｲｲﾝ,歯科,秋田県大仙市大曲田町28-30,0187-63-7117,0187-63-7117,月火水金土,9:00,17:30,,歯科,,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/0530830199/
52124,秋田県,大仙市,ホワイト歯科医院,ﾎﾜｲﾄｼｶｲｲﾝ,歯科,秋田県大仙市大曲日の出町2-4-16,0187-86-3180,0187-86-3181,月火水木金土,9:00,19:00,,歯科,,http://white-dental-clinic.jp/
52124,秋田県,大仙市,タケダ歯科秋田インプラントクリニック,ﾀｹﾀﾞｼｶｱｷﾀｲﾝﾌﾟﾗﾝﾄｸﾘﾆｯｸ,歯科,秋田県大仙市飯田字大道端3-1,0187-62-6480,0187-62-6485,月火木金土,9:00,"19:00（土,18:00）",,歯科,,https://www.hiro418.net/
52124,秋田県,大仙市,岩田歯科医院,ｲﾜﾀｼｶｲｲﾝ,歯科,秋田県大仙市四ツ屋字下古道42-1,0187-62-8264,0187-62-8266,月火水木金土,9:00,19:00,"水,土；午前診療　第2第4土　17:00",歯科,,
52124,秋田県,大仙市,おやしき歯科クリニック,ｵﾔｼｷｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市角間川町字東本町6,0187-65-2002,,月火水木金土,9:30,18:30,土；午前診療,歯科,,
52124,秋田県,大仙市,高橋歯科医院,ﾀｶﾊｼｼｶｲｲﾝ,歯科,秋田県大仙市角間川町字西本町2,0187-65-2238,0187-65-2238,月火水木金土,9:00,18:30,土；午前診療,歯科,,
52124,秋田県,大仙市,角間川歯科医院,ｶｸﾏｶﾞﾜｼｶｲｲﾝ,歯科,秋田県大仙市角間川町字中前田11,0187-65-3536,0187-65-3132,月火水金土,9:00,"19:00(土,17:00）",,歯科,,
52124,秋田県,大仙市,船木歯科医院,ﾌﾅｷｼｶｲｲﾝ,歯科,秋田県大仙市神宮寺字本郷野22-4,0187-72-3222,0187-72-2022,月火水木金土,9:00,18:00,木；午前診療,歯科,,
52124,秋田県,大仙市,高橋歯科医院,ﾀｶﾊｼｼｶｲｲﾝ,歯科,秋田県大仙市神宮寺字本郷野125-9,0187-72-3211,0187-72-3416,月火水木金土,9:00,19:00,"水,土；午前診療　",歯科,,
52124,秋田県,大仙市,神岡歯科診療所,ｶﾐｵｶｼｶｼﾝﾘｮｳｼｮ,歯科,秋田県大仙市神宮寺字本郷下26-2,0187-72-4186,0187-72-4186,月火木金土,9:30,17:30（土;16:30),,歯科,,
52124,秋田県,大仙市,畠山歯科医院,ﾊﾀｹﾔﾏｼｶｲｲﾝ,歯科,秋田県大仙市南外字落合24-3,0187-74-3115,0187-87-9005,月火水木金土,9:30,18:30,土；午前診療,歯科,,https://hatakeyama-dc.wixsite.com/nangai
52124,秋田県,大仙市,冨塚歯科医院,ﾄﾐﾂﾞｶｼｶｲｲﾝ,歯科,秋田県大仙市刈和野字川原田2-28,0187-75-1125,0187-75-2631,月火水木金土,9:00,18:00,土；午前診療,歯科,,
52124,秋田県,大仙市,小坂歯科医院,ｺｻｶｼｶｲｲﾝ,歯科,秋田県大仙市刈和野字愛宕町25,0187-75-1015,0187-75-1015,月火水木金土,9:00,"月,19:00/火,金18:00/水,20:00",木、土；午前診療,歯科,,
52124,秋田県,大仙市,協和町歯科診療所,ｷｮｳﾜﾏﾁｼｶｼﾝﾘｮｳｼｮ,歯科,秋田県大仙市協和境字野田21-3,018-892-3166,018-892-2028,月火木金土,9:00,18:30,土；午前診療,歯科,,
52124,秋田県,大仙市,ながさか歯科医院,ﾅｶﾞｻｶｼｶｲｲﾝ,歯科,秋田県大仙市北長野字茶畑55-1,0187-56-2255,0187-56-3808,月火水木金土,9:00,18:00,土；午前診療,歯科,,
52124,秋田県,大仙市,長尾歯科医院,ﾅｶﾞｵｼｶｲｲﾝ,歯科,秋田県大仙市長野字紫嶋48-2,0187-56-4405,0187-56-4405,月火水木金土,9:00,"18:00（木,土/16:00）",,歯科,,
52124,秋田県,大仙市,米澤歯科医院,ﾖﾈｻﾞﾜｼｶｲｲﾝ,歯科,秋田県大仙市長野字六日町68,0187-56-4460,0187-56-3003,月火水木金土,9:00,"19:00（木,17:00）",土；午前診療,歯科,,
52124,秋田県,大仙市,佐藤歯科クリニック,ｻﾄｳｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市太田町横沢字久保関北731,0187-86-9955,0187-86-9945,月火水木金土,9:00,18:00,"水,土；午前診療",歯科,,
52124,秋田県,大仙市,冨岡歯科医院,ﾄﾐｵｶｼｶｲｲﾝ,歯科,秋田県大仙市太田町中里字二十町98,0187-88-1123,0187-88-1394,月火水木金土,9:05,18:30,土；午前診療,歯科,,
52124,秋田県,大仙市,たかはし歯科クリニック,ﾀｶﾊｼｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市高梨字田茂木84,0187-62-6800,0187-62-6801,月火水木金土,9:00,"19:00（火,18:00）","木,土；午前診療",歯科,,http://dental-office-t.com/
52124,秋田県,大仙市,仙北歯科医院,ｾﾝﾎﾞｸｼｶｲｲﾝ,歯科,秋田県大仙市福田字穴沢47,0187-69-2828,,,,,,歯科,,
52124,秋田県,大仙市,大曲歯科ｸﾘﾆｯｸ,ｵｵﾏｶﾞﾘｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市和合坪立177ｲｵﾝモール1階,0187-88-8119,,月火水金土日祝日,10:00,19:00,土日祝日；16:00,歯科,,
