市区町村コード,NO,都道府県名,市区町村名,名称,住所,緯度,経度,設置者,電話番号,SSID,URL,備考
052019,0000000012,秋田県,秋田市,民俗芸能伝承館(ねぶり流し館),秋田市大町1-3-30,39.72038,140.11703,秋田市観光文化スポーツ部民俗芸能伝承館,018-866-7091,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000013,秋田県,秋田市,秋田市新屋ガラス工房,秋田市新屋表町5-2,39.682455,140.083313,秋田市市民生活部新屋ガラス工房,018-853-4201,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000014,秋田県,秋田市,土崎みなと歴史伝承館,秋田市土崎港西3-10-27,39.756195,140.066928,秋田市土崎みなと歴史伝承館,018-838-4244,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000015,秋田県,秋田市,CNAアリーナ★あきた(市立体育館),秋田市八橋本町6-12-20,39.725647,140.087717,秋田市観光文化スポーツ部スポーツ振興課,018-866-2600,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000016,秋田県,秋田市,大森山動物園,秋田市浜田字潟端154,39.671723,140.076295,秋田市観光文化スポーツ部スポーツ振興課,018-828-5508,Omoriyama Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000017,秋田県,秋田市,西武秋田店,秋田市中通2-6-1,39.717145,140.126653,西武秋田店,018-832-5111,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000018,秋田県,秋田市,きららとしょかん明徳館,秋田市千秋明徳町4-4,39.719744,140.12348,秋田市教育委員会中央図書館明徳館,018-832-9220,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000019,秋田県,秋田市,きららとしょかん土崎図書館,秋田市土崎港中央6-16-30,39.759426,140.072577,秋田市教育委員会土崎図書館,018-845-0572,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000020,秋田県,秋田市,きららとしょかん新屋図書館,秋田市新屋大川町12-26,39.68455,140.090401,秋田市教育委員会新屋図書館,018-828-4215,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000021,秋田県,秋田市,きららとしょかん雄和図書館,秋田市雄和妙法字上大部48－1,39.590898,140.170116,秋田市教育委員会雄和図書館,018-886-2853,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000022,秋田県,秋田市,きららとしょかん明徳館河辺分館,秋田市河辺北野田高屋字上前田表66-1 ,39.652888,140.212878,秋田市教育委員会中央図書館明徳館河辺分館,018-881-1202,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000023,秋田県,秋田市,農山村地域活性化センター（さとぴあ）,秋田市上新城五十丁字小林190番地1,39.795062,140.118234,秋田市産業振興部産業振興課,018-893-3412,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000024,秋田県,秋田市,河辺市民サービスセンター(カワベリア),秋田市河辺和田字北条ヶ崎38-2,39.652716,140.215275,秋田市市民生活部河辺市民サービスセンター,018-882-5302,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000025,秋田県,秋田市,雄和市民サービスセンター(ユービス),秋田市雄和妙法字上大部48番地1,39.591433,140.170431,秋田市市民生活部雄和市民サービスセンター,018-886-5511,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000026,秋田県,秋田市,赤れんが郷土館,秋田市大町3-3-21,39.716731,140.11581,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000027,秋田県,秋田市,旧金子家住宅,秋田市大町1-3-30,39.72022,140.117173,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000028,秋田県,秋田市,佐竹史料館,秋田市千秋公園1-4,39.71998,140.124804,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000029,秋田県,秋田市,久保田城御隅櫓,秋田市千秋公園1-39,39.723477,140.123226,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000030,秋田県,秋田市,旧黒澤家住宅,秋田市楢山石塚谷地297番地99,39.701399,140.138215,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000031,秋田県,秋田市,如斯亭庭園,秋田市旭川南町2-2-73,39.734043,140.128997,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000032,秋田県,秋田市,秋田城趾歴史資料館,秋田市寺内焼山9-6,39.739634,140.07788,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000033,秋田県,秋田市,雄和糠塚エリア（秋田国際ダリア園）,秋田市雄和妙法糠塚21,39.595565,140.186189,秋田市観光文化スポーツ部観光振興課,018-888-5602,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,雄和観光交流館も使用可能
052019,0000000034,秋田県,秋田市,西部市民サービスセンター（ウェスター）,秋田市新屋扇町13-14,39.677265,140.085349,秋田市市民生活西部市民サービスセンター,018-888-8080,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000035,秋田県,秋田市,秋田市文化創造館,秋田市千秋明徳町3-16,39.719242,140.122788,秋田市観光文化スポーツ部文化振興課,018-893-5656,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000036,秋田県,秋田市,秋田市まちなか観光案内所,秋田市大町1-2-37,39.719386,140.118092,秋田市観光文化スポーツ部観光振興課,018-824-8686,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000037,秋田県,秋田市,あきた芸術劇場ミルハス,秋田市千秋明徳町2-52,39.71948,140.12212,秋田市観光文化スポーツ部文化振興課,018-888-5609,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
