No.,名称,名称_カナ,住所,電話番号,市町村コード,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,想定収容人数
79,中仙中学校グラウンド,ナカセンチュウガッコウグラウンド,秋田県大仙市長野字新山5-1,(0187)56-2328,52124,,1,,1,,1,,,1500
80,中仙公民館鑓見内分館広場,ナカセンコウミンカンヤリミナイブンカンヒロバ,秋田県大仙市鑓見内字石持108,(0187)56-2504,52124,,1,,1,,1,,,300
81,清水小学校グラウンド,シミズショウガッコウグラウンド,秋田県大仙市清水字上大蔵86,(0187)56-3215,52124,1,1,,1,,1,1,,1000
82,豊成小学校グラウンド,ホウセイショウガッコウグラウンド,秋田県大仙市豊川字下水無47,(0187)57-2324,52124,1,1,,1,,1,1,,1000
83,旧豊岡小学校グラウンド,旧トヨオカショウガッコウグラウンド,秋田県大仙市豊岡字中荒井野29,(0187)57-2134,52124,1,1,,1,,1,1,,1000
84,道の駅なかせん駐車場,ミチノエキナカセンチュウシャジョウ,秋田県大仙市長野字高畑95-1,(0187)56-4515,52124,1,1,,1,,1,1,,500
85,協和市民センター和ピア駐車場,キョウワシミンセンターワピアチュウシャジョウ,秋田県大仙市協和船岡字大袋1-7,(018)892-3128,52124,1,1,,1,,1,1,,9000
86,協和支所駐車場,キョウワシショチュウシャジョウ,秋田県大仙市協和境字野田4-2,(018)892-2111,52124,1,1,,1,,1,1,,2600
87,協和小学校グラウンド,キョウワショウガッコウグラウンド,秋田県大仙市協和境字岸館37,(018)881-6868,52124,1,1,,1,,1,1,,6304
88,旧協和給食センター駐車場,キュウキョウワキュウショクセンターチュウシャジョウ,秋田県大仙市協和荒川字下谷地10,(018)892-2111,52124,1,1,,1,,1,1,,651
89,大盛館駐車場,タイセイカンチュウシャジョウ,秋田県大仙市協和荒川字川前9-1,(018)892-3128,52124,1,1,,1,,1,1,,4600
90,旧稲沢小学校グラウンド,キュウイナサワショウガッコウグラウンド,秋田県大仙市協和稲沢字堤ヶ沢出口6,(018)892-2111,52124,1,1,,1,,1,1,,1500
91,旧船岡小学校グラウンド,キュウフナオカショウガッコウグラウンド,秋田県大仙市協和船岡字上中野126-1,(018)892-2111,52124,1,1,,1,,1,1,,400
92,宇津野農村公園,ウツノノウソンコウエン,秋田県大仙市協和船岡字上宇津野278-2,(018)892-3694,52124,1,1,,1,,1,1,,900
93,協和スキー場駐車場,キョウワスキージョウチュウシャジョウ,秋田県大仙市協和船岡字上庄内71-1,(018)892-3128,52124,1,,,1,,1,1,,1600
94,峰吉川駅前広場,ミネヨシカワエキマエヒロバ,秋田県大仙市協和峰吉川字半仙64-21,(018)832-5873,52124,1,,,1,,1,1,,600
95,中淀川緑地広場,ナカヨドカワリョクチヒロバ,秋田県大仙市協和中淀川字鳥屋野24,(018)892-3128,52124,1,1,,1,,1,1,,5000
96,特別養護老人ホーム峰山荘駐車場,トクベツヨウゴロウジンホームホウザンソウチュウシャジョウ,秋田県大仙市協和中淀川字中村12-2,(018)893-5520,52124,1,1,,1,,1,1,,4400
97,下淀川グラウンド,シモヨドカワグラウンド,秋田県大仙市協和下淀川字車田29-2,(018)892-3128,52124,,1,,1,,1,,,2800
98,旧小種小学校グラウンド,キュウコタネショウガッコウグラウンド,秋田県大仙市協和小種字中台15-4,(018)892-2111,52124,1,1,,1,,1,1,,4500
99,道の駅協和駐車場,ミチノエキキョウワチュウシャジョウ,秋田県大仙市協和荒川字新田表１５－２,(018)881-6646,52124,1,1,,1,,1,1,,8131
100,南外山村運動広場・野球場,ナンガイサンソンウンドウヒロバ・ヤキュウジョウ,秋田県大仙市南外字小出375番地外,(0187)73-1040,52124,1,1,,1,,1,1,,6750
101,南外中学校グラウンド・野球場,ナンガイチュウガッコウグラウンド・ヤキュウジョウ,秋田県大仙市南外字赤平台野19-1,(0187)73-1231,52124,1,1,,1,,1,1,,14950
102,南外運動場,ナンガイウンドウジョウ,秋田県大仙市南外字上野99-1,(0187)74-2130,52124,1,1,,1,,1,1,,6500
103,南外小学校グラウンド・駐車場,ナンガイショウガッコウグラウンド・チュウシャジョウ,秋田県大仙市南外字田中田17,(0187)73-1800,52124,1,1,,1,,1,1,,4850
104,旧南外西小学校グラウンド,キュウナンガイニシショウガッコウグラウンド,秋田県大仙市南外字下湯ノ又198-14,(0187)74-2111,52124,1,1,,1,,1,1,,7800
105,高梨小学校グラウンド,タカナシショウガッコウグラウンド,秋田県大仙市高梨字新屋敷1,(0187)62-2195,52124,,1,,1,,1,,,2000
106,仙北健康広場,センボクケンコウヒロバ,秋田県大仙市堀見内字元田茂木35-1外,(0187)69-3333,52124,,1,,1,,1,,,500
107,真山公園,シンザンコウエン,秋田県大仙市払田字真山1,(0187)63-3003,52124,1,1,,1,,1,1,,150
108,横堀小学校グラウンド,ヨコボリショウガッコウグラウンド,秋田県大仙市福田字穴沢4,(0187)69-2111,52124,,1,,1,,1,,,2000
109,仙北中学校グラウンド,センボクチュウガッコウグラウンド,秋田県大仙市堀見内字西福嶋29,(0187)69-2113,52124,1,1,,1,,1,1,,2000
110,柵の湯駐車場,サクノユチュウシャジョウ,秋田県大仙市板見内一ツ森１４９,(0187)69-3311,52124,1,1,,1,,1,1,,1372
111,太田東小学校グラウンド,オオタヒガシショウガッコウグラウンド,秋田県大仙市太田町斉内字高野1-93,(0187)89-1212,52124,1,1,,1,,1,1,,1000
112,太田ふれあいの里（グラウンド・ゴルフ場）,オオタフレアイノサト（グラウンド・ゴルフジョウ）,秋田県大仙市太田町太田字惣行小坂地内　他,(0187)86-9116,52124,1,1,,1,,1,1,,1000
113,太田東部地区公園（墓地公園）,オオタトウブチクコウエン（ボチコウエン）,秋田県大仙市太田町川口字千本野1-57,(0187)88-1116,52124,1,1,,1,,1,1,,1000
114,太田東今泉緑地広場（敬愛館）,オオタヒガシイマイズミリョクチヒロバ（ケイアイカン）,秋田県大仙市太田町東今泉字大信田472-6,(0187)86-9220,52124,1,1,,1,,1,1,,1000
115,太田南小学校グラウンド,オオタミナミショウガッコウグラウンド,秋田県大仙市太田町横沢字窪関南298,(0187)88-2111,52124,1,1,,1,,1,1,,1000
116,太田球場,オオタキュウジョウ,秋田県大仙市太田町横沢字堤田350,(0187)88-2122,52124,,1,,1,,1,,,1000
117,太田北小学校グラウンド,オオタキタショウガッコウグラウンド,秋田県大仙市太田町国見字国見田115,(0187)88-2112,52124,1,1,,1,,1,1,,1000
118,太田中学校グラウンド,オオタチュウガッコウグラウンド,秋田県大仙市太田町太田字新田田尻76,(0187)88-2211,52124,1,1,,1,,1,1,,1000
