,,,,人　口　世　帯　表,,,,,,,,,,,
,八      橋,"4,741 ","10,427 ","5,064 ","5,363 ",河　　　辺,,"3,137 ","10,239 ","4,892 ","5,347 ",,,,
東部地域,東部地域計,"28,479 ","66,040 ","31,769 ","34,271 ",雄　　　和,,"2,164 ","7,800 ","3,760 ","4,040 ",,,,
,東      通,"3,366 ","6,551 ","3,098 ","3,453 ",,,,,,,,,,
,手      形,"2,455 ","4,534 ","2,394 ","2,140 ",,,,,,,,,,
,手 形（字）,"3,268 ","6,186 ","3,137 ","3,049 ",,○　前月人口増減の内訳,,,,,,,,
,手  形  山,921 ,"2,280 ","1,041 ","1,239 ",,,計,男,女,,,,,
,泉（旭 川）,"1,236 ","3,084 ","1,431 ","1,653 ",,転    入,531 ,276 ,255 ,,,,,
,旭      川,958 ,"2,445 ","1,167 ","1,278 ",,転    出,536 ,275 ,261 ,,,,,
,新  藤  田,497 ,"1,307 ",565 ,742 ,,出    生,185 ,88 ,97 ,,,,,
,濁      川,690 ,"1,860 ",890 ,970 ,,死    亡,245 ,133 ,112 ,,,,,
,添      川,769 ,"2,431 ","1,083 ","1,348 ",,社会動態,-5 ,1 ,-6 ,,,,,
,山      内,94 ,420 ,181 ,239 ,,自然動態,-60 ,-45 ,-15 ,,,,,
,仁      別,62 ,197 ,86 ,111 ,,増 減 計,-65 ,-44 ,-21 ,,,,,
,広      面,"6,775 ","14,060 ","6,881 ","7,179 ",,,,,,,,,,
,柳      田,614 ,"1,824 ",811 ,"1,013 ",,○　平成１７年１月１日からの累計,,,,,,,,
,横      森,"1,759 ","4,272 ","2,026 ","2,246 ",,,計,男,女,,,,,
,桜,"1,500 ","3,389 ","1,625 ","1,764 ",,転    入,"11,382 ","6,169 ","5,213 ",,,,,
,桜  ガ  丘,774 ,"2,347 ","1,116 ","1,231 ",,転    出,"12,064 ","6,527 ","5,537 ",,,,,
,桜　　　台,242 ,843 ,397 ,446 ,,出    生,"2,501 ","1,257 ","1,244 ",,,,,
,大  平  台,366 ,"1,226 ",581 ,645 ,,死    亡,"2,779 ","1,480 ","1,299 ",,,,,
,下  北  手,"1,286 ","3,922 ","1,935 ","1,987 ",,社会動態,-682 ,-358 ,-324 ,,,,,
,太      平,847 ,"2,862 ","1,324 ","1,538 ",,自然動態,-278 ,-223 ,-55 ,,,,,
西部地域,西部地域計,"13,329 ","37,138 ","17,476 ","19,662 ",,増 減 計,-960 ,-581 ,-379 ,,,,,
,新      屋,"5,728 ","15,357 ","7,163 ","8,194 ",,,,,,,,,,
,勝      平,"5,377 ","14,114 ","6,837 ","7,277 ",,○　平成１７年１０月１日からの累計,,,,,,,,
,浜      田,813 ,"2,971 ","1,320 ","1,651 ",,,計,男,女,,,,,
,豊      岩,600 ,"2,186 ",995 ,"1,191 ",,転    入,"1,952 ","1,042 ",910 ,,,,,
,下      浜,811 ,"2,510 ","1,161 ","1,349 ",,転    出,"1,830 ",961 ,869 ,,,,,
南部地域,南部地域計,"17,800 ","50,121 ","23,536 ","26,585 ",,出    生,615 ,306 ,309 ,,,,,
,牛  島  東,"2,324 ","5,872 ","2,715 ","3,157 ",,死    亡,697 ,370 ,327 ,,,,,
,牛  島  西,"2,186 ","6,056 ","2,839 ","3,217 ",,社会動態,122 ,81 ,41 ,,,,,
,牛  島  南,439 ,"1,347 ",658 ,689 ,,自然動態,-82 ,-64 ,-18 ,,,,,
,卸      町,318 ,714 ,354 ,360 ,,増 減 計,40 ,17 ,23 ,,,,,
,大      住,"1,273 ","3,176 ","1,525 ","1,651 ",,,,,,,,,,
,仁  井  田,"5,310 ","14,253 ","6,748 ","7,505 ",,※この表は、平成１７年１０月１日現在で,,,,,,,,
,御  野  場,"2,610 ","8,030 ","3,757 ","4,273 ",,実施された国勢調査（速報値）結果を基礎に,,,,,,,,
,御  所  野,"2,000 ","6,147 ","2,860 ","3,287 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,
,四 ツ 小 屋,623 ,"1,865 ",865 ,"1,000 ",,状況等を基に推計したものです。,,,,,,,,
,上  北  手,463 ,"1,857 ",826 ,"1,031 ",,また、平成１７年１月１日に旧河辺町、旧雄和町,,,,,,,,
,山　手　台,254 ,804 ,389 ,415 ,,と合併したと見なして推計したものです。,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
