人　口　世　帯　表,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成１２年１月１日現在        ,,,,,,,,,,秋田市企画調整課,,,,,
,牛  島  東,"2,563 ","6,638 ","3,125 ","3,513 ",,自然動態,"2,722 ","1,083 ","1,639 ",,,,,
,牛  島  西,"2,418 ","7,161 ","3,403 ","3,758 ",,増 減 計,"4,712 ","2,008 ","2,704 ",,,,,
,卸      町,261 ,656 ,322 ,334 ,,,,,,,,,,
,大      住,"1,259 ","3,282 ","1,617 ","1,665 ",,※平成７年１０月１日現在で実施された,,,,,,,,
,仁  井  田,"5,045 ","14,139 ","6,793 ","7,346 ",,国勢調査結果と住民基本台帳を基に推計,,,,,,,,
,御  野  場,"2,645 ","8,612 ","4,051 ","4,561 ",,した人口世帯表です。,,,,,,,,
,御  所  野,"1,512 ","4,310 ","2,000 ","2,310 ",,,,,,,,,,
,四 ツ 小 屋,601 ,"1,947 ",906 ,"1,041 ",,,,,,,,,,
,上  北  手,543 ,"1,789 ",828 ,961 ,,,,,,,,,,
,大  平  台,185 ,630 ,300 ,330 ,,,,,,,,,,
,山　手　台,92 ,271 ,138 ,133 ,,,,,,,,,,
,,,,,,,,,,,,,,,
