,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,508 ","9,695 ","4,641 ","5,054 ",河　　　辺,,"3,044 ","9,334 ","4,427 ","4,907 ",,,,,
東部地域,東部地域計,"28,409 ","64,466 ","30,613 ","33,853 ",雄　　　和,,"2,179 ","7,677 ","3,574 ","4,103 ",,,,,
,東      通,"3,256 ","6,261 ","2,970 ","3,291 ",,,,,,,,,,,
,手      形,"2,438 ","4,198 ","2,259 ","1,939 ",,,,,,,,,,,
,手 形（字）,"3,112 ","5,937 ","2,893 ","3,044 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,891 ,"2,066 ",935 ,"1,131 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,261 ","3,004 ","1,395 ","1,609 ",,転    入,525 ,273 ,252 ,,,,,,
,旭      川,956 ,"2,379 ","1,129 ","1,250 ",,転    出,410 ,214 ,196 ,,,,,,
,新  藤  田,491 ,"1,226 ",545 ,681 ,,出    生,183 ,86 ,97 ,,,,,,
,濁      川,760 ,"1,953 ",927 ,"1,026 ",,死    亡,289 ,144 ,145 ,,,,,,
,添      川,743 ,"2,270 ",998 ,"1,272 ",,社会動態,115 ,59 ,56 ,,,,,,
,山      内,90 ,363 ,164 ,199 ,,自然動態,-106 ,-58 ,-48 ,,,,,,
,仁      別,53 ,156 ,60 ,96 ,,増 減 計,9 ,1 ,8 ,,,,,,
,広      面,"6,818 ","13,978 ","6,689 ","7,289 ",,,,,,,,,,,
,柳      田,669 ,"1,963 ",881 ,"1,082 ",,○　平成２２年１月１日からの累計,,,,,,,,,
,横      森,"1,716 ","4,028 ","1,886 ","2,142 ",,,計,男,女,,,,,,
,桜,"1,414 ","3,224 ","1,497 ","1,727 ",,転    入,"9,776 ","5,351 ","4,425 ",,,,,,
,桜  ガ  丘,890 ,"2,529 ","1,185 ","1,344 ",,転    出,"10,416 ","5,685 ","4,731 ",,,,,,
,桜　　　台,368 ,"1,282 ",616 ,666 ,,出    生,"2,265 ","1,136 ","1,129 ",,,,,,
,大  平  台,431 ,"1,416 ",659 ,757 ,,死    亡,"3,213 ","1,725 ","1,488 ",,,,,,
,下  北  手,"1,210 ","3,588 ","1,716 ","1,872 ",,社会動態,-640 ,-334 ,-306 ,,,,,,
,太      平,842 ,"2,645 ","1,209 ","1,436 ",,自然動態,-948 ,-589 ,-359 ,,,,,,
西部地域,西部地域計,"13,598 ","36,603 ","17,117 ","19,486 ",,増 減 計,"-1,588 ",-923 ,-665 ,,,,,,
,新      屋,"6,009 ","15,611 ","7,218 ","8,393 ",,,,,,,,,,,
,勝      平,"5,225 ","13,534 ","6,532 ","7,002 ",,○　平成２２年１０月１日からの累計,,,,,,,,,
,浜      田,930 ,"3,071 ","1,350 ","1,721 ",,,計,男,女,,,,,,
,豊      岩,621 ,"2,061 ",943 ,"1,118 ",,転    入,"1,669 ",883 ,786 ,,,,,,
,下      浜,813 ,"2,326 ","1,074 ","1,252 ",,転    出,"1,462 ",768 ,694 ,,,,,,
南部地域,南部地域計,"18,586 ","50,262 ","23,475 ","26,787 ",,出    生,572 ,282 ,290 ,,,,,,
,牛  島  東,"2,333 ","5,760 ","2,676 ","3,084 ",,死    亡,839 ,434 ,405 ,,,,,,
,牛  島  西,"2,168 ","5,804 ","2,698 ","3,106 ",,社会動態,207 ,115 ,92 ,,,,,,
,牛  島  南,487 ,"1,354 ",659 ,695 ,,自然動態,-267 ,-152 ,-115 ,,,,,,
,卸      町,323 ,716 ,346 ,370 ,,増 減 計,-60 ,-37 ,-23 ,,,,,,
,大      住,"1,213 ","2,919 ","1,360 ","1,559 ",,,,,,,,,,,
,仁  井  田,"5,340 ","13,932 ","6,549 ","7,383 ",,※この表は、平成２２年１０月１日現在で,,,,,,,,,
,御  野  場,"2,679 ","7,559 ","3,519 ","4,040 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,469 ","7,170 ","3,361 ","3,809 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,,
,四 ツ 小 屋,661 ,"1,827 ",850 ,977 ,,状況等を基に推計したものです。,,,,,,,,,
,上  北  手,576 ,"2,166 ",954 ,"1,212 ",,,,,,,,,,,
,山　手　台,337 ,"1,055 ",503 ,552 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
