,,,,人　口　世　帯　表,,,,,,,,,,,
東部地域,東部地域計,"28,906 ","65,097 ","30,959 ","34,138 ",雄　　　和,,"2,233 ","7,432 ","3,535 ","3,897 ",,,,
,東      通,"3,332 ","6,313 ","2,985 ","3,328 ",,,,,,,,,,
,手      形,"2,261 ","4,055 ","2,129 ","1,926 ",,,,,,,,,,
,手 形（字）,"3,260 ","6,111 ","2,991 ","3,120 ",,○　前月人口増減の内訳,,,,,,,,
,手  形  山,923 ,"2,114 ",950 ,"1,164 ",,,計,男,女,,,,,
,泉（旭 川）,"1,282 ","3,080 ","1,433 ","1,647 ",,転    入,465 ,270 ,195 ,,,,,
,旭      川,933 ,"2,346 ","1,117 ","1,229 ",,転    出,469 ,251 ,218 ,,,,,
,新  藤  田,504 ,"1,225 ",537 ,688 ,,出    生,213 ,110 ,103 ,,,,,
,濁      川,752 ,"1,903 ",882 ,"1,021 ",,死    亡,293 ,158 ,135 ,,,,,
,添      川,787 ,"2,378 ","1,058 ","1,320 ",,社会動態,-4 ,19 ,-23 ,,,,,
,山      内,96 ,394 ,168 ,226 ,,自然動態,-80 ,-48 ,-32 ,,,,,
,仁      別,60 ,169 ,69 ,100 ,,増 減 計,-84 ,-29 ,-55 ,,,,,
,広      面,"6,921 ","14,105 ","6,808 ","7,297 ",,,,,,,,,,
,柳      田,685 ,"1,966 ",866 ,"1,100 ",,○　平成21年１月１日からの累計,,,,,,,,
,横      森,"1,796 ","4,170 ","1,962 ","2,208 ",,,計,男,女,,,,,
,桜,"1,506 ","3,293 ","1,571 ","1,722 ",,転    入,"10,463 ","5,835 ","4,628 ",,,,,
,桜  ガ  丘,882 ,"2,504 ","1,178 ","1,326 ",,転    出,"11,031 ","6,097 ","4,934 ",,,,,
,桜　　　台,351 ,"1,218 ",585 ,633 ,,出    生,"2,440 ","1,254 ","1,186 ",,,,,
,大  平  台,432 ,"1,406 ",658 ,748 ,,死    亡,"3,116 ","1,669 ","1,447 ",,,,,
,下  北  手,"1,276 ","3,685 ","1,816 ","1,869 ",,社会動態,-568 ,-262 ,-306 ,,,,,
,太      平,867 ,"2,662 ","1,196 ","1,466 ",,自然動態,-676 ,-415 ,-261 ,,,,,
西部地域,西部地域計,"13,809 ","36,762 ","17,257 ","19,505 ",,増 減 計,"-1,244 ",-677 ,-567 ,,,,,
,新      屋,"5,920 ","15,307 ","7,098 ","8,209 ",,,,,,,,,,
,勝      平,"5,484 ","13,927 ","6,747 ","7,180 ",,○　平成17年10月１日からの累計,,,,,,,,
,浜      田,965 ,"3,077 ","1,362 ","1,715 ",,,計,男,女,,,,,
,豊      岩,631 ,"2,119 ",970 ,"1,149 ",,転    入,"43,713 ","24,022 ","19,691 ",,,,,
,下      浜,809 ,"2,332 ","1,080 ","1,252 ",,転    出,"48,618 ","26,925 ","21,693 ",,,,,
南部地域,南部地域計,"18,618 ","50,164 ","23,487 ","26,677 ",,出    生,"10,691 ","5,453 ","5,238 ",,,,,
,牛  島  東,"2,400 ","5,857 ","2,711 ","3,146 ",,死    亡,"12,990 ","6,935 ","6,055 ",,,,,
,牛  島  西,"2,161 ","5,794 ","2,693 ","3,101 ",,社会動態,"-4,905 ","-2,903 ","-2,002 ",,,,,
,牛  島  南,479 ,"1,357 ",652 ,705 ,,自然動態,"-2,299 ","-1,482 ",-817 ,,,,,
,卸      町,343 ,735 ,362 ,373 ,,増 減 計,"-7,204 ","-4,385 ","-2,819 ",,,,,
,大      住,"1,271 ","3,038 ","1,441 ","1,597 ",,,,,,,,,,
,仁  井  田,"5,409 ","13,954 ","6,566 ","7,388 ",,※この表は、平成17年10月１日現在で,,,,,,,,
,御  野  場,"2,718 ","7,759 ","3,629 ","4,130 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,
,御  所  野,"2,276 ","6,838 ","3,217 ","3,621 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,
,四 ツ 小 屋,661 ,"1,810 ",847 ,963 ,,状況等を基に推計したものです。,,,,,,,,
,上  北  手,594 ,"2,074 ",913 ,"1,161 ",,,,,,,,,,
,山　手　台,306 ,948 ,456 ,492 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
