,,,,人　口　世　帯　表,,,,,,,,,,,
東部地域,東部地域計,"28,559 ","65,885 ","31,637 ","34,248 ",雄　　　和,,"2,175 ","7,702 ","3,718 ","3,984 ",,,,
,東      通,"3,333 ","6,472 ","3,068 ","3,404 ",,,,,,,,,,
,手      形,"2,409 ","4,468 ","2,338 ","2,130 ",,,,,,,,,,
,手 形（字）,"3,213 ","6,084 ","3,078 ","3,006 ",,○　前月人口増減の内訳,,,,,,,,
,手  形  山,920 ,"2,247 ","1,016 ","1,231 ",,,計,男,女,,,,,
,泉（旭 川）,"1,248 ","3,068 ","1,429 ","1,639 ",,転    入,553 ,283 ,270 ,,,,,
,旭      川,955 ,"2,454 ","1,166 ","1,288 ",,転    出,537 ,282 ,255 ,,,,,
,新  藤  田,505 ,"1,309 ",581 ,728 ,,出    生,197 ,100 ,97 ,,,,,
,濁      川,697 ,"1,871 ",881 ,990 ,,死    亡,240 ,142 ,98 ,,,,,
,添      川,772 ,"2,423 ","1,086 ","1,337 ",,社会動態,16 ,1 ,15 ,,,,,
,山      内,94 ,417 ,179 ,238 ,,自然動態,-43 ,-42 ,-1 ,,,,,
,仁      別,61 ,185 ,82 ,103 ,,増 減 計,-27 ,-41 ,14 ,,,,,
,広      面,"6,842 ","14,126 ","6,908 ","7,218 ",,,,,,,,,,
,柳      田,659 ,"1,924 ",862 ,"1,062 ",,○　平成１８年１月１日からの累計,,,,,,,,
,横      森,"1,743 ","4,210 ","1,985 ","2,225 ",,,計,男,女,,,,,
,桜,"1,511 ","3,363 ","1,615 ","1,748 ",,転    入,"10,859 ","5,963 ","4,896 ",,,,,
,桜  ガ  丘,804 ,"2,386 ","1,132 ","1,254 ",,転    出,"11,819 ","6,540 ","5,279 ",,,,,
,桜　　　台,265 ,918 ,441 ,477 ,,出    生,"2,575 ","1,321 ","1,254 ",,,,,
,大  平  台,383 ,"1,273 ",604 ,669 ,,死    亡,"3,073 ","1,658 ","1,415 ",,,,,
,下  北  手,"1,289 ","3,860 ","1,891 ","1,969 ",,社会動態,-960 ,-577 ,-383 ,,,,,
,太      平,856 ,"2,827 ","1,295 ","1,532 ",,自然動態,-498 ,-337 ,-161 ,,,,,
西部地域,西部地域計,"13,420 ","37,128 ","17,529 ","19,599 ",,増 減 計,"-1,458 ",-914 ,-544 ,,,,,
,新      屋,"5,788 ","15,408 ","7,209 ","8,199 ",,,,,,,,,,
,勝      平,"5,401 ","14,164 ","6,889 ","7,275 ",,○　平成１７年１０月１日からの累計,,,,,,,,
,浜      田,808 ,"2,898 ","1,293 ","1,605 ",,,計,男,女,,,,,
,豊      岩,611 ,"2,172 ",985 ,"1,187 ",,転    入,"12,811 ","7,005 ","5,806 ",,,,,
,下      浜,812 ,"2,486 ","1,153 ","1,333 ",,転    出,"13,649 ","7,501 ","6,148 ",,,,,
南部地域,南部地域計,"18,081 ","50,394 ","23,654 ","26,740 ",,出    生,"3,190 ","1,627 ","1,563 ",,,,,
,牛  島  東,"2,387 ","5,999 ","2,777 ","3,222 ",,死    亡,"3,770 ","2,028 ","1,742 ",,,,,
,牛  島  西,"2,173 ","5,932 ","2,769 ","3,163 ",,社会動態,-838 ,-496 ,-342 ,,,,,
,牛  島  南,471 ,"1,411 ",694 ,717 ,,自然動態,-580 ,-401 ,-179 ,,,,,
,卸      町,325 ,721 ,361 ,360 ,,増 減 計,"-1,418 ",-897 ,-521 ,,,,,
,大      住,"1,277 ","3,137 ","1,491 ","1,646 ",,,,,,,,,,
,仁  井  田,"5,355 ","14,321 ","6,781 ","7,540 ",,※この表は、平成１７年１０月１日現在で,,,,,,,,
,御  野  場,"2,639 ","8,009 ","3,730 ","4,279 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,
,御  所  野,"2,078 ","6,319 ","2,956 ","3,363 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,
,四 ツ 小 屋,633 ,"1,854 ",867 ,987 ,,状況等を基に推計したものです。,,,,,,,,
,上  北  手,476 ,"1,857 ",821 ,"1,036 ",,,,,,,,,,
,山　手　台,267 ,834 ,407 ,427 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
