市町村コード,都道府県名,市区町村名,事業所名称,事業所名称ｶﾅ,実施サービス,住所,電話番号,FAX番号,利用可能曜日,定員,URL,,,
052124,秋田県,大仙市,厚生連仙北訪問看護ステーション,ｺｳｾｲﾚﾝｾﾝﾎﾞｸﾎｳﾓﾝｶﾝｺﾞｽﾃｰｼｮﾝ,訪問看護,秋田県大仙市大曲通町8-65大曲厚生医療センター内          ,0187-63-2111,0187-62-5477,月火水木金,,http://www.okmc.jp/hospital-section-homenursing.shtml,,,
052124,秋田県,大仙市,大曲タクシー指定訪問介護事業所,ｵｵﾏｶﾞﾘﾀｸｼｰｼﾃｲﾎｳﾓﾝｶｲｺﾞｼﾞｷﾞｮｳｼｮ,訪問介護,秋田県大仙市大曲通町8-26　          ,0187-86-0087,0187-63-3685,月火水木金・祝日,,,,,
052124,秋田県,大仙市,大仙市社会福祉協議会指定訪問介護事業所,ﾀﾞｲｾﾝｼｼｬｶｲﾌｸｼｷｮｳｷﾞｶｲｼﾃｲﾎｳﾓﾝｶｲｺﾞｼﾞｷﾞｮｳｼｮ,訪問介護,秋田県大仙市大曲通町1-14　          ,0187-63-8911,0187-62-8008,月火水木金,,http://daisen-syakyo.net/,,,
052124,秋田県,大仙市,大仙市社会福祉協議会中央介護ステーション,ﾀﾞｲｾﾝｼｼｬｶｲﾌｸｼｷｮｳｷﾞｶｲﾁｭｳｵｳｶｲｺﾞｽﾃｰｼｮﾝ,居宅介護支援事業所,秋田県大仙市大曲通町1-14　          ,0187-63-8911,0187-62-8008,月火水木金,,http://daisen-syakyo.net/,,,
052124,秋田県,大仙市,オオマガリライフ定期巡回・随時対応サービスセンター,ｵｵﾏｶﾞﾘﾗｲﾌﾃｲｷｼﾞｭﾝｶｲｽﾞｲｼﾞﾀｲｵｳｻｰﾋﾞｽｾﾝﾀｰ,定期巡回・随時対応型訪問介護看護事業所,秋田県大仙市大曲丸の内町6-24,0187-63-6666,0187-62-0001,月火水木金土日・祝日,,,,,
052124,秋田県,大仙市,リハプライド大曲黒瀬,ﾘﾊﾌﾟﾗｲﾄﾞｵｵﾏｶﾞﾘｸﾛｾ,通所介護,秋田県大仙市大曲黒瀬町4-1　　　　 　,0187-73-7336,0187-73-7337,月火水木金・祝日,20,ttps://www.rehapride.co.jp/omagarikurose/,,,
052124,秋田県,大仙市,えがお大曲,ｴｶﾞｵｵｵﾏｶﾞﾘ,認知症対応型共同生活介護,秋田県大仙市大曲船場町1-1-21,0187-66-3021,0187-66-3022,月火水木金土日・祝日,9,http://egao.main.jp,,,
052124,秋田県,大仙市,介護老人保健施設なごみのさと,ｶｲｺﾞﾛｳｼﾞﾝﾎｹﾝｼｾﾂﾅｺﾞﾐﾉｻﾄ,介護老人保健施設,秋田県大仙市大曲船場町1-1-4,0187-86-0511,0187-86-0505,月火水木金土日・祝日,100,http://nagomi-a.jp/,,,
052124,秋田県,大仙市,介護老人保健施設なごみのさと,ｶｲｺﾞﾛｳｼﾞﾝﾎｹﾝｼｾﾂﾅｺﾞﾐﾉｻﾄ,短期入所療養介護,秋田県大仙市大曲船場町1-1-4,0187-86-0511,0187-86-0505,月火水木金土日・祝日,空床利用,http://nagomi-a.jp/,,,
052124,秋田県,大仙市,介護老人保健施設なごみのさと,ｶｲｺﾞﾛｳｼﾞﾝﾎｹﾝｼｾﾂﾅｺﾞﾐﾉｻﾄ,通所リハビリテーション,秋田県大仙市大曲船場町1-1-4,0187-86-0511,0187-86-0505,月火水木金・祝日,60,http://nagomi-a.jp/,,,
052124,秋田県,大仙市,なごみ訪問リハビリテーション,ﾅｺﾞﾐﾎｳﾓﾝﾘﾊﾋﾞﾘﾃｰｼｮﾝ,訪問リハビリテーション,秋田県大仙市大曲船場町1-1-4,0187-86-0511,0187-86-0505,月火水木金,,http://nagomi-a.jp/,,,
052124,秋田県,大仙市,なごみ居宅介護支援センター,ﾅｺﾞﾐｷｮﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,居宅介護支援事業所,秋田県大仙市大曲船場町1-1-4,0187-63-8885,0187-86-0505,月火水木金,,http://nagomi-a.jp/,,,
052124,秋田県,大仙市,特別養護老人ホームなごみの家,ﾄｸﾍﾞﾂﾖｳｺﾞﾛｳｼﾞﾝﾎｰﾑﾅｺﾞﾐﾉｲｴ,介護老人福祉施設,秋田県大仙市大曲船場町1-1-43,0187-88-8889,0187-73-7537,月火水木金土日・祝日,29,https://nagomi-a.jp/,,,
052124,秋田県,大仙市,特別養護老人ホームなごみの家,ﾄｸﾍﾞﾂﾖｳｺﾞﾛｳｼﾞﾝﾎｰﾑﾅｺﾞﾐﾉｲｴ,短期入所生活介護,秋田県大仙市大曲船場町1-1-43,0187-88-8889,0187-73-7537,月火水木金土日・祝日,空床利用,https://nagomi-a.jp/,,,
052124,秋田県,大仙市,訪問介護事業所おおまがり,ﾎｳﾓﾝｶｲｺﾞｼﾞｷﾞｮｳｼｮｵｵﾏｶﾞﾘ,訪問介護,秋田県大仙市大曲船場町1-13-10-2ｹｲｴﾑｽﾘｰﾊﾟｸﾄB103,0187-66-0502,,月火水木金土日・祝日,,,,,
052124,秋田県,大仙市,訪問看護事業所おおまがり,ﾎｳﾓﾝｶﾝｺﾞｼﾞｷﾞｮｳｼｮｵｵﾏｶﾞﾘ,訪問看護,秋田県大仙市大曲船場町1-13-10-2ｹｲｴﾑｽﾘｰﾊﾟｸﾄB103,0187-66-0502,0187-66-0502,,,,,,
052124,秋田県,大仙市,えがお杉矢崎上大町館,ｴｶﾞｵｽｷﾞﾔｻｷｶﾐｵｵﾏﾁｶﾝ,認知症対応型共同生活介護,秋田県大仙市大曲上大町10-11,0187-73-8020,0187-73-8030,月火水木金土日・祝日,9,http://egao.main.jp,,,
052124,秋田県,大仙市,えがお上大町,ｴｶﾞｵｶﾐｵｵﾏﾁ,認知症対応型共同生活介護,秋田県大仙市大曲上大町10-12,0187-73-7322,0187-73-7323,月火水木金土日・祝日,9,http://egao.main.jp/,,,
052124,秋田県,大仙市,デイサービスセンターひびき愛,ﾃﾞｲｻｰﾋﾞｽｾﾝﾀｰﾋﾋﾞｷｱｲ,認知症対応型通所介護,秋田県大仙市大曲上大町10-18,0187-86-3880,0187-86-3881,月火水木金土・祝日,12,http://egao.main.jp,,,
052124,秋田県,大仙市,介護プラザすずらん大仙居宅介護支援センター,ｶｲｺﾞﾌﾟﾗｻﾞｽｽﾞﾗﾝﾀﾞｲｾﾝｷｮﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,居宅介護支援事業所,秋田県大仙市大曲須和町1-1-24,0187-63-1919,0187-63-1924,月火水木金,,,,,
052124,秋田県,大仙市,歩行と言葉のリハビリ空間なごみ,ﾎｺｳﾄｺﾄﾊﾞﾉﾘﾊﾋﾞﾘｸｳｶﾝﾅｺﾞﾐ,通所介護,秋田県大仙市大曲栄町13-38,0187-88-8116,0187-88-8136,月火水木金・祝日,18,http://nagomi-a.jp/,,,
052124,秋田県,大仙市,アースサポート大仙,ｱｰｽｻﾎﾟｰﾄﾀﾞｲｾﾝ,訪問入浴介護,秋田県大仙市大曲栄町13-45,0187-66-3400,0187-66-3401,月火水木土・祝日,,https://www.earthsupport.co.jp,,,
052124,秋田県,大仙市,えがお介護センターひびき愛,ｴｶﾞｵｶｲｺﾞｼｴﾝｾﾝﾀｰﾋﾋﾞｷｱｲ,小規模多機能型居宅介護事業所,秋田県大仙市大曲花園町21-19,0187-88-8588,0187-86-3031,月火水木金土日・祝日,29,http://egao.main.jp,,,
052124,秋田県,大仙市,虹の街おおまがりケアプランセンター,ﾆｼﾞﾉﾏﾁｵｵﾏｶﾞﾘｹｱﾌﾟﾗﾝｾﾝﾀｰ,居宅介護支援事業所,秋田県大仙市大曲花園町3-7,0187-66-3122,0187-66-2322,月火水木金土・祝日,,http://nijinomachi.co.jp,,,
052124,秋田県,大仙市,グループホーム大曲はなぞの,ｸﾞﾙｰﾌﾟﾎｰﾑｵｵﾏｶﾞﾘﾊﾅｿﾞﾉ,認知症対応型共同生活介護,秋田県大仙市大曲花園町25-28,0187-62-3504、8120,0187-62-4080,月火水木金土日・祝日,18,,,,
052124,秋田県,大仙市,シニアパンション大仙・大曲,ｼﾆｱﾊﾟﾝｼｮﾝﾀﾞｲｾﾝｵｵﾏｶﾞﾘ,サービス付高齢者向け住宅,秋田県大仙市大曲金谷町21,017-739-6541,017-762-2357,月火水木金土日・祝日,14,,,,
052124,秋田県,大仙市,大曲訪問看護ステーション,ｵｵﾏｶﾞﾘﾎｳﾓﾝｶﾝｺﾞｽﾃｰｼｮﾝ,訪問看護,秋田県大仙市大曲上栄町4-3,0187-62-8577,0187-62-8261,月火水木金,,http://www.meiwakai.or.jp/,,,
052124,秋田県,大仙市,大曲ホームヘルパーステーション,ｵｵﾏｶﾞﾘﾎｰﾑﾍﾙﾊﾟｰｽﾃｰｼｮﾝ,訪問介護,秋田県大仙市大曲上栄町4-3,0187-62-8577,0187-62-8261,月火水木金,,http://www.meiwakai.or.jp/,,,
052124,秋田県,大仙市,大曲訪問看護ステーション介護支援センター,ｵｵﾏｶﾞﾘﾎｳﾓﾝｶﾝｺﾞｽﾃｰｼｮﾝｶｲｺﾞｼｴﾝｾﾝﾀｰ,居宅介護支援事業所,秋田県大仙市大曲上栄町4-3,0187-62-8577,0187-62-8261,月火水木金,,http://www.meiwakai.or.jp/,,,
052124,秋田県,大仙市,社会医療法人明和会大曲中通病院,ｼｬｶｲｲﾘｮｳﾎｳｼﾞﾝﾒｲﾜｶｲｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘﾋﾞｮｳｲﾝ,訪問リハビリテーション,秋田県大仙市大曲上栄町6-4,0187-63-2131,0187-63-3901,月火水木金,,http://www.meiwakai.or.jp/,,,
052124,秋田県,大仙市,社会医療法人明和会大曲中通病院,ｼｬｶｲｲﾘｮｳﾎｳｼﾞﾝﾒｲﾜｶｲｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘﾋﾞｮｳｲﾝ,通所リハビリテーション,秋田県大仙市大曲上栄町6-4,0187-63-2131,0187-63-3901,月火水木金,9,http://www.meiwakai.or.jp/,,,
052124,秋田県,大仙市,大曲中通病院ショートステイ,ｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘﾋﾞｮｳｲﾝｼｮｰﾄｽﾃｲ,短期入所生活介護,秋田県大仙市大曲上栄町6-4,0187-63-2131,0187-63-3901,月火水木金土日・祝日,16,http://www.meiwakai.or.jp/,,,
052124,秋田県,大仙市,よつば介護相談センター,ﾖﾂﾊﾞｶｲｺﾞｿｳﾀﾞﾝｾﾝﾀｰ,居宅介護支援事業所,秋田県大仙市大曲田町20-28,0187-73-7575,0187-73-7576,月火水木金,,https://www.yotsuba.care/,,,
052124,秋田県,大仙市,愛・会いヘルパーステーション,ｱｲｱｲﾍﾙﾊﾟｰｽﾃｰｼｮﾝ,訪問介護,秋田県大仙市大曲福住町1-21,0187-88-8591,0187-88-8592,月火水木金土日・祝日,,https://www.yotsuba.care/,,,
052124,秋田県,大仙市,定期巡回・随時対応型訪問介護看護ロクス,ﾃｲｷｼﾞｭﾝｶｲｽﾞｲｼﾞﾀｲｵｳｶﾞﾀﾎｳﾓﾝｶｲｺﾞｶﾝｺﾞﾛｸｽ,定期巡回・随時対応型訪問介護看護事業所,秋田県大仙市大曲日の出町1-30-1,0187-73-7702,0187-73-7702,月火水木金土日・祝日,,https://locus-a.com/,,,
052124,秋田県,大仙市,ハートライフ,ﾊｰﾄﾗｲﾌ,地域密着型特定施設,秋田県大仙市大曲日の出町1-42-22   ,0187-66-3737,0187-66-3737,月火水木金土日・祝日,18,,,,
052124,秋田県,大仙市,有料老人ホーム日乃出,ﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑﾋﾉﾃﾞ,有料老人ホーム,秋田県大仙市大曲日の出町2-5-6,0187-73-5752,0187-73-5753,月火水木金土日・祝日,51,,,,
052124,秋田県,大仙市,ハッピーライフ訪問介護事業所,ﾊｯﾋﾟｰﾗｲﾌﾎｳﾓﾝｶｲｺﾞｼﾞｷﾞｮｳｼｮ,訪問介護,秋田県大仙市大曲日の出町2-5-6,0187-73-5752,0187-73-5753,月火水木金土日・祝日,,,,,
052124,秋田県,大仙市,有料老人ホームおおまがり,ﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｵｵﾏｶﾞﾘ,有料老人ホーム,秋田県大仙市大曲日の出町2-7-62,0187-73-7133,0187-73-7134,月火水木金土日・祝日,33,http://jg-omagari.com/,,,
052124,秋田県,大仙市,大曲リハビリテーションクリニック,ｵｵﾏｶﾞﾘﾘﾊﾋﾞﾘﾃｰｼｮﾝｸﾘﾆｯｸ,通所リハビリテーション,秋田県大仙市大曲住吉町1-17,0187-73-7900,0187-73-7901,月火水木金・祝日,24,https://omagari-rc.jp/,,,
052124,秋田県,大仙市,大曲リハビリテーションクリニック,ｵｵﾏｶﾞﾘﾘﾊﾋﾞﾘﾃｰｼｮﾝｸﾘﾆｯｸ,訪問リハビリテーション,秋田県大仙市大曲住吉町1-17,0187-73-7900,0187-73-7901,月火水木金・祝日,,https://omagari-rc.jp/,,,
052124,秋田県,大仙市,大曲リハビリテーションクリニック,ｵｵﾏｶﾞﾘﾘﾊﾋﾞﾘﾃｰｼｮﾝｸﾘﾆｯｸ,訪問看護,秋田県大仙市大曲住吉町1-17,0187-73-7900,0187-73-7901,月火水木金・祝日,,https://omagari-rc.jp/,,,
052124,秋田県,大仙市,グループホーム大仙大曲,ｸﾞﾙｰﾌﾟﾎｰﾑﾀﾞｲｾﾝｵｵﾏｶﾞﾘ,認知症対応型共同生活介護,秋田県大仙市大曲字福辺内3-1　       ,0187-62-7333,0187-66-3200,月火水木金土日・祝日,9,,,,
052124,秋田県,大仙市,デイサービスだいせんおおまがり,ﾃﾞｲｻｰﾋﾞｽﾀﾞｲｾﾝｵｵﾏｶﾞﾘ,通所介護,秋田県大仙市大曲字福辺内2-1　       ,0187-62-1180,0187-62-1181,月火水木金土・祝日,18,,,,
052124,秋田県,大仙市,デイサービスあんり,ﾃﾞｲｻｰﾋﾞｽｱﾝﾘ,通所介護,秋田県大仙市戸蒔字福田132　         ,0187-63-8000,0187-63-8022,月火水木金土・祝日,30,https://bdr-fc.com/anri-grp/,,,
052124,秋田県,大仙市,住宅型有料老人ホームかえで,ｼﾞｭｳﾀｸｶﾞﾀﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｶｴﾃﾞ,有料老人ホーム,秋田県大仙市福田町341-2,0187-73-6156,0187-73-6157,月火水木金土日・祝日,12,,,,
052124,秋田県,大仙市,植える花夢あかつきヘルパーステーション,ｳｴﾙｶﾑｱｶﾂｷﾍﾙﾊﾟｰｽﾃｰｼｮﾝ,訪問介護,秋田県大仙市大曲飯田町5-3　          ,0187-62-4165,0187-88-8153,月火水木金土日・祝日,,http://welcome.p-kit.com/,,,
052124,秋田県,大仙市,こもれび支援センター,ｺﾓﾚﾋﾞｼｴﾝｾﾝﾀｰ,居宅介護支援事業所,秋田県大仙市飯田字堰東182-2　       ,0187-62-6766,0187-73-9080,月火水木金,,https://www.kennanfukusi.jp/,,,
052124,秋田県,大仙市,ショートステイ大曲,ｼｮｰﾄｽﾃｲｵｵﾏｶﾞﾘ,短期入所生活介護,秋田県大仙市飯田字大槻127-1　     ,0187-88-8851,0187-88-8852,月火水木金土日・祝日,30,,,,
052124,秋田県,大仙市,特別養護老人ホームこもれびの杜,ﾄｸﾍﾞﾂﾖｳｺﾞﾛｳｼﾞﾝﾎｰﾑｺﾓﾚﾋﾞﾉﾓﾘ,短期入所生活介護,秋田県大仙市飯田字堰東235          　,0187-63-3203,0187-63-1228,月火水木金土日・祝日,20,https://www.kennanfukusi.jp/,,,
052124,秋田県,大仙市,特別養護老人ホームこもれびの杜,ﾄｸﾍﾞﾂﾖｳｺﾞﾛｳｼﾞﾝﾎｰﾑｺﾓﾚﾋﾞﾉﾓﾘ,介護老人福祉施設,秋田県大仙市飯田字堰東235,0187-63-6646,0187-63-6746,月火水木金土日・祝日,117,https://www.kennanfukusi.jp/,,,
052124,秋田県,大仙市,フレンデイ大曲,ﾌﾚﾝﾃﾞｲｵｵﾏｶﾞﾘ,通所介護,秋田県大仙市飯田字堰東235,0187-63-2073,0187-63-1228,月火水木金土・祝日,30,https://www.kennanfukusi.jp/,,,
052124,秋田県,大仙市,フレンデイ大曲,ﾌﾚﾝﾃﾞｲｵｵﾏｶﾞﾘ,認知症対応型通所介護,秋田県大仙市飯田字堰東235,0187-63-2073,0187-63-1228,月火水木金土・祝日,12,https://www.kennanfukusi.jp/,,,
052124,秋田県,大仙市,虹の楽えん,ﾆｼﾞﾉﾗｸｴﾝ,通所介護,秋田県大仙市戸蒔字谷地中11-1　      ,0187-88-8711,0187-66-3212,月火水木金土・祝日,30,http://www.nijinomachi.co.jp/,,,
052124,秋田県,大仙市,虹の楽えん,ﾆｼﾞﾉﾗｸｴﾝ,短期入所生活介護,秋田県大仙市戸蒔字谷地中11-1,0187-88-8711,0187-66-3212,月火水木金土日・祝日,40,http://www.nijinomachi.co.jp/,,,
052124,秋田県,大仙市,株式会社虹の街大曲営業所,ｶﾌﾞｼｷｶｲｼｬﾆｼﾞﾉﾏﾁｵｵﾏｶﾞﾘｴｲｷﾞｮｳｼｮ,訪問介護,秋田県大仙市戸蒔字谷地中14-1    ,0187-86-3015,0187-86-3016,月火水木金土日・祝日,,http://www.nijinomachi.co.jp/,,,
052124,秋田県,大仙市,株式会社虹の街大曲営業所,ｶﾌﾞｼｷｶｲｼｬﾆｼﾞﾉﾏﾁｵｵﾏｶﾞﾘｴｲｷﾞｮｳｼｮ,訪問入浴介護,秋田県大仙市戸蒔字谷地中14-1,0187-86-3015,0187-86-3016,月火水木金土・祝日,,http://www.nijinomachi.co.jp/,,,
052124,秋田県,大仙市,訪問入浴介護事業所せせらぎ,ﾎｳﾓﾝﾆｭｳﾖｸｶｲｺﾞｼﾞｷﾞｮｳｼｮｾｾﾗｷﾞ,訪問入浴介護,秋田県大仙市大曲下高畑16-27　    ,0187-66-1225,022-774-2509,月火水木金土日・祝日,,https://www.ourou.co.jp,,,
052124,秋田県,大仙市,ハートフルケア大曲デイサービスセンター,ﾊｰﾄﾌﾙｹｱｵｵﾏｶﾞﾘﾃﾞｲｻｰﾋﾞｽｾﾝﾀｰ,通所介護,秋田県大仙市川目字月山229-1　  ,0187-66-3355,0187-66-4111,月火水木金・祝日,15,http://clean-magic.co.jp/,,,
052124,秋田県,大仙市,ハートフルケア大曲ショートステイ,ﾊｰﾄﾌﾙｹｱｵｵﾏｶﾞﾘｼｮｰﾄｽﾃｲ,短期入所生活介護,秋田県大仙市川目字月山229-1　  ,0187-66-3388,0187-66-4111,月火水木金土日・祝日,20,http://clean-magic.co.jp/,,,
052124,秋田県,大仙市,グリーンビレッジ,ｸﾞﾘｰﾝﾋﾞﾚｯｼﾞ,サービス付高齢者向け住宅,秋田県大仙市下深井字高田217-1     ,0187-88-8764,0187-88-8761,月火水木金土日・祝日,15,,,,
052124,秋田県,大仙市,有料老人ホームグリーンビレッジ,ﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｸﾞﾘｰﾝﾋﾞﾚｯｼﾞ,有料老人ホーム,秋田県大仙市下深井字高田217-1     ,0187-88-8764,0187-88-8961,月火水木金土日・祝日,10,,,,
052124,秋田県,大仙市,短期入所生活介護ひまわり,ﾀﾝｷﾆｭｳｼｮｾｲｶﾂｶｲｺﾞﾋﾏﾜﾘ,短期入所生活介護,秋田県大仙市花館字中大戸33-1　            ,0187-62-8558,0187-62-8566,月火水木金土日・祝日,27,,,,
052124,秋田県,大仙市,有料老人ホームはなび,ﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑﾊﾅﾋﾞ,有料老人ホーム,秋田県大仙市佐野町9-35                  　,0187-73-6031,0187-73-6032,月火水木金土日・祝日,30,http://www.kennan-cs.co.jp/index.php,,,
052124,秋田県,大仙市,ケアプラン大曲,ｹｱﾌﾟﾗﾝｵｵﾏｶﾞﾘ,居宅介護支援事業所,秋田県大仙市佐野町9-27　                     ,0187-86-3888,0187-86-3887,月火水木金,,,,,
052124,秋田県,大仙市,訪問介護事業所花zoku,ﾎｳﾓﾝｶｲｺﾞｼﾞｷﾞｮｳｼｮｶｿﾞｸ,訪問介護,秋田県大仙市花館上町15-45-3　             ,0187-63-5171,0187-63-5171,月火水木金,,,,,
052124,秋田県,大仙市,にこにこリハビリデイサービス花館る～む,ﾆｺﾆｺﾘﾊﾋﾞﾘﾃﾞｲｻｰﾋﾞｽﾊﾅﾀﾞﾃﾙｰﾑ,通所介護,秋田県大仙市花館柳町1-35,0187-73-5270,0187-73-5270,月火水木金・祝日,10,,,,
052124,秋田県,大仙市,特別養護老人ホーム花館,ﾄｸﾍﾞﾂﾖｳｺﾞﾛｳｼﾞﾝﾎｰﾑﾊﾅﾀﾞﾃ,介護老人福祉施設,秋田県大仙市花館柳町1-51,0187-73-8386,0187-73-8387,月火水木金土日・祝日,40,http://warmheart-akita.com/,,,
052124,秋田県,大仙市,コンパスウォーク大曲,ｺﾝﾊﾟｽｳｫｰｸｵｵﾏｶﾞﾘ,通所介護,秋田県大仙市花館字鶴田65,0187-73-7976,0187-73-7977,月火水木金・祝日,20,https://keigo-group.co.jp/shop/akitaken/106,,,
052124,秋田県,大仙市,居宅支援事業所だいせん,ｷｮﾀｸｼｴﾝｼﾞｷﾞｮｳｼｮﾀﾞｲｾﾝ,居宅介護支援事業所,秋田県大仙市花館字間倉250-8　             ,0187-66-8815,0187-66-8816,月火水木金,,,,,
052124,秋田県,大仙市,デイサービスホーム仙寿園,ﾃﾞｲｻｰﾋﾞｽﾎｰﾑｾﾝｼﾞｭｴﾝ,通所介護,秋田県大仙市花館字間倉250-8　             ,0187-66-8815,0187-66-8816,月火水木金・祝日,17,,,,
052124,秋田県,大仙市,ショートステイふぁみりぃ,ｼｮｰﾄｽﾃｲﾌｧﾐﾘｨ,短期入所生活介護,秋田県大仙市四ツ屋字上古道66-9　          ,0187-73-5307,0187-73-5308,月火水木金土日・祝日,39,,,,
052124,秋田県,大仙市,グループホームふぁみりぃ,ｸﾞﾙｰﾌﾟﾎｰﾑﾌｧﾐﾘｨ,認知症対応型共同生活介護,秋田県大仙市四ツ屋字上古道199-1　        ,0187-88-8747,0187-88-8748,月火水木金土日・祝日,9,,,,
