市町村コード,都道府県名,市区町村名,名称,名称ｶﾅ,医療機関の種類,住所,電話番号,FAX番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目,病床数,URL
052124,秋田県,大仙市,大曲リハビリテーションクリニック,ｵｵﾏｶﾞﾘﾘﾊﾋﾞﾘﾃｰｼｮﾝｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲住吉町1-17,0187-73-7900,0187-73-7901,月火水木金土・祝日,9:00,"17:00（火,木,土,祝日；16:00）","第2,第４土；休診",ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科；内科,,https://omagari-rc.jp/
052124,秋田県,大仙市,あい内科クリニック日の出,ｱｲﾅｲｶｸﾘﾆｯｸﾋﾉﾃﾞ,無床診療所,秋田県大仙市大曲日の出町2-4-46,0187-88-8503,0187-62-0260,月火水木金土,8:30,"17:30（火,木；20:30）","水,土；午前診療",内科；消化器科；漢方内科,,
052124,秋田県,大仙市,佐藤レディースクリニック,ｻﾄｳﾚﾃﾞｨｰｽｸﾘﾆｯｸ,有床診療所,秋田県大仙市戸蒔字谷地添106-1,0187-86-0311,0187-86-0022,月火水木金土,9:00,18:30,"火,木,土；午前診療",産婦人科,9,http://www9.plala.or.jp/slcweb/
052124,秋田県,大仙市,石河ひふ科医院,ｲｼｶﾜﾋﾌｶｲｲﾝ,無床診療所,秋田県大仙市花館字葛野110-7,0187-66-8866,0187-66-8867,月火水木金土,8:30,"17:00（火,木；18:00）",土；午前診療,皮膚科,,
052124,秋田県,大仙市,高階医院,ﾀｶｼﾅｲｲﾝ,無床診療所,秋田県大仙市四ツ屋字西下瀬57-6,0187-66-1411,0187-66-1451,月火水木金土,9:30,17:30,"水,土；午前診療",内科；小児科；耳鼻咽喉科；皮膚科；形成外科,2,
052124,秋田県,大仙市,荒川医院,ｱﾗｶﾜｲｲﾝ,無床診療所,秋田県大仙市角間川町字下中町32,0187-86-5080,0187-86-5081,月火水木金土,8:30,17:30,"木,土；午前診療",内科；循環器内科；小児科,,
052124,秋田県,大仙市,伊藤内科医院,ｲﾄｳﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市角間川町字町頭178-2,0187-65-3200,0187-65-3201,月火水木金土,8:30,12:30,午前診療,内科；消化器内科（胃腸内科）；循環器内科；呼吸器内科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,
052124,秋田県,大仙市,神岡診療所,ｶﾐｵｶｼﾝﾘｮｳｼｮ,無床診療所,秋田県大仙市神宮寺字本郷下64-1,0187-72-3001,0187-72-3116,月火水木金土,8:30,17:30,"水,土；午前診療",内科；循環器内科,,
052124,秋田県,大仙市,藤本医院,ﾌｼﾞﾓﾄｲｲﾝ,無床診療所,秋田県大仙市刈和野字北沢107-2,0187-75-2221,0187-75-2221,月火木金土,8:30,18:00,土；午前診療,内科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科；整形外科,,
052124,秋田県,大仙市,佐藤医院,ｻﾄｳｲｲﾝ,無床診療所,秋田県大仙市刈和野字清光院後42-35,0187-75-1000,0187-75-1007,月火水木金土,9:00,17:00,"水；予約検査のみ,土；午前診療",外科；内科,,
052124,秋田県,大仙市,医療法人黒澤医院,ｲﾘｮｳﾎｳｼﾞﾝｸﾛｻﾜｲｲﾝ,無床診療所,秋田県大仙市刈和野字清光院後24-1,0187-75-0368,0187-75-2817,月火水木金土,8:30,17:00,土；午前診療,内科；泌尿器科,,
052124,秋田県,大仙市,生和堂医院,ｾｲﾜﾄﾞｳｲｲﾝ,無床診療所,秋田県大仙市刈和野字清光院後15-2,0187-75-0318,0187-75-0328,月火水木金土日,8:45,"18:00（水；15:00,土；12:30,日；12:00）","土,日；午前診療",内科；小児科,,
052124,秋田県,大仙市,佐藤内科クリニック,ｻﾄｳﾅｲｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市協和峰吉川字半仙114,018-895-2730,018-895-2735,月火水木金土,8:00,17:30,"水；午後診療,土；午前診療",内科,,
052124,秋田県,大仙市,サンメンタルクリニック,ｻﾝﾒﾝﾀﾙｸﾘﾆｯｸ,無床診療所,秋田県大仙市協和上淀川字中嶋33,018-838-4862,018-838-4863,月火水木金,9:00,16:00,予約制,心療内科；精神科,,https://keishinkai-akita.net/
052124,秋田県,大仙市,豊島医院,ﾄﾖｼﾏｲｲﾝ,無床診療所,秋田県大仙市協和境字野田86,018-892-2211,018-892-2212,月火水木金土,8:30,17:30,"木,土；午前診療",内科；小児科,,
052124,秋田県,大仙市,羽後長野駅前内科,ｳｺﾞﾅｶﾞﾉｴｷﾏｴﾅｲｶ,無床診療所,秋田県大仙市長野字柳田59,0187-42-8255,0187-42-8256,月火水木金日,9:00,19:00（日；17:00）,水；午前診療,内科；感染症内科,,http://un-naika.com/
052124,秋田県,大仙市,滑川医院,ﾅﾒｶﾜｲｲﾝ,無床診療所,秋田県大仙市長野字九日町15-1,0187-56-3121,0187-56-2315,月火水木金土,8:20,17:00,"水,土；午前診療",内科；循環器内科；消化器内科（胃腸内科）；小児科,,
052124,秋田県,大仙市,石井内科胃腸科医院,ｲｼｲﾅｲｶｲﾁｮｳｶｲｲﾝ,無床診療所,秋田県大仙市長野字新山70-1,0187-56-7300,0187-56-7301,月火水木金土,8:30,17:30,"水,土；午前診療",内科；消化器内科（胃腸内科）,,
052124,秋田県,大仙市,太田診療所,ｵｵﾀｼﾝﾘｮｳｼｮ,無床診療所,秋田県大仙市太田町横沢字窪関南505-1,0187-88-2233,0187-88-2244,月火水木金土,8:30,"月,金；17:00,火,木；19:00,水,土；12:30","水,土；午前診療",内科；消化器内科（胃腸内科）；小児科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,
052124,秋田県,大仙市,後藤内科医院,ｺﾞﾄｳﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市高梨字田茂木87,0187-62-1113,0187-62-1149,月火水木金土,8:30,17:30,"水,土；午前診療",内科；呼吸器内科；循環器内科；小児科；美容形成外科；皮膚科；心臓血管外科,,
052124,秋田県,大仙市,柳田医院,ﾔﾅｷﾞﾀﾞｲｲﾝ,無床診療所,秋田県大仙市横堀字南福嶋95-2,0187-69-2101,0187-69-2107,月火水木金土,8:00,17:00,土；午前診療,内科；消化器内科；小児科,,
052124,秋田県,大仙市,井関歯科医院,ｲｾｷｼｶｲｲﾝ,歯科,秋田県大仙市朝日町4-14,0187-63-8100,0187-63-8200,月火水木金土,8:45,18:00,"土；午前診療,第２第４土；休診",歯科,,
052124,秋田県,大仙市,はら歯科医院,ﾊﾗｼｶｲｲﾝ,歯科,秋田県大仙市大花町12-3-11,0187-88-8418,0187-88-8468,月火水木金土,9:30,19:30（土；17:00）,水；午前診療,歯科,,http://haradental-clinic.com/
052124,秋田県,大仙市,嶋村歯科クリニック,ｼﾏﾑﾗｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市大曲中通町8-32,0187-62-0410,0187-62-0410,月火水木金土,9:00,19:00（土；16:00）,,歯科,,
052124,秋田県,大仙市,山下歯科医院,ﾔﾏｼﾀｼｶｲｲﾝ,歯科,秋田県大仙市大曲黒瀬町3-45,0187-63-0418,0187-63-8021,月火水木金土,9:00,18:00,"水,土；午前診療",歯科,,https://www.yamashita-dc.jp/
052124,秋田県,大仙市,船木歯科医院,ﾌﾅｷｼｶｲｲﾝ,歯科,秋田県大仙市大曲中通町2-17,0187-63-0027,0187-63-0381,月火水木金土,9:00,18:00,土；午前診療,歯科,,
052124,秋田県,大仙市,金子歯科クリニック,ｶﾈｺｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市大曲丸子町7-31,0187-63-7300,0187-62-5818,月火木金土,9:00,19:00（土；17:00）,,歯科,,http://dental-k.sakura.ne.jp/
052124,秋田県,大仙市,畠山歯科医院,ﾊﾀｹﾔﾏｼｶｲｲﾝ,歯科,秋田県大仙市大曲浜町2-3,0187-62-3636,0187-62-1311,月火水木金土,10:00,19:00（土；15:00）,,歯科,,
052124,秋田県,大仙市,こまい歯科医院,ｺﾏｲｼｶｲｲﾝ,歯科,秋田県大仙市大曲上大町7-11,0187-62-4189,0187-62-4189,月火水金土,9:00,17:00（月；18:00）,土；午前診療,歯科,,
052124,秋田県,大仙市,高橋ひろし歯科医院,ﾀｶﾊｼﾋﾛｼｼｶｲｲﾝ,歯科,秋田県大仙市大曲田町12-20,0187-63-1230,0187-63-1250,月火水木金土,9:00,17:30,土；午前診療,歯科,,
052124,秋田県,大仙市,佐々木歯科医院,ｻｻｷｼｶｲｲﾝ,歯科,秋田県大仙市大曲上栄町1-18,0187-63-3025,0187-63-3025,月火水木金土・祝日,"17:00（土；10:30,祝日；9:00）","20:00（土；16:30,祝日；12:00）",,歯科,,
052124,秋田県,大仙市,大曲中通歯科診療所,ｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘｼｶｼﾝﾘｮｳｼｮ,歯科,秋田県大仙市大曲上栄町4-3,0187-62-2323,0187-62-5273,月火木金土,9:00,17:00（火；20:00）,火；午後診療,歯科,,http://www.meiwakai.or.jp/o_sika
052124,秋田県,大仙市,田口歯科医院,ﾀｸﾞﾁｼｶｲｲﾝ,歯科,秋田県大仙市大曲田町28-30,0187-63-7117,0187-63-7117,月火水金土,9:00,17:30,,歯科,,
052124,秋田県,大仙市,ホワイト歯科医院,ﾎﾜｲﾄｼｶｲｲﾝ,歯科,秋田県大仙市大曲日の出町2-4-16,0187-86-3180,0187-86-3181,月火水木金土,9:00,19:00,,歯科,,http://white-dental-clinic.jp/
052124,秋田県,大仙市,タケダ歯科秋田インプラントクリニック,ﾀｹﾀﾞｼｶｱｷﾀｲﾝﾌﾟﾗﾝﾄｸﾘﾆｯｸ,歯科,秋田県大仙市飯田字大道端3-1,0187-62-6480,0187-62-6485,月火木金土,9:00,19:00（土；18:00）,,歯科,,https://www.hiro418.net/
052124,秋田県,大仙市,岩田歯科医院,ｲﾜﾀｼｶｲｲﾝ,歯科,秋田県大仙市四ツ屋字下古道42-1,0187-62-8264,0187-62-8266,月火水木金土,9:00,19:00,"木,土；午前診療,第2第4土；17:00",歯科,,
052124,秋田県,大仙市,おやしき歯科クリニック,ｵﾔｼｷｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市角間川町字東本町6,0187-65-2002,,月火水木金土,9:30,18:30,土；午前診療,歯科,,
052124,秋田県,大仙市,高橋歯科医院,ﾀｶﾊｼｼｶｲｲﾝ,歯科,秋田県大仙市角間川町字西本町2,0187-65-2238,0187-65-2238,月火水木金土,9:00,18:30,土；午前診療,歯科,,
052124,秋田県,大仙市,角間川歯科医院,ｶｸﾏｶﾞﾜｼｶｲｲﾝ,歯科,秋田県大仙市角間川町字中前田11,0187-65-3536,0187-65-3132,月火水金土,9:00,19:00（土；17:00）,,歯科,,
052124,秋田県,大仙市,船木歯科医院,ﾌﾅｷｼｶｲｲﾝ,歯科,秋田県大仙市神宮寺字本郷野22-4,0187-72-3222,0187-72-2022,月火水木金土,9:00,18:00,木；午前診療,歯科,,
052124,秋田県,大仙市,高橋歯科医院,ﾀｶﾊｼｼｶｲｲﾝ,歯科,秋田県大仙市神宮寺字本郷野125-9,0187-72-3211,0187-72-3416,月火水木金土,9:00,19:00,"水,土；午前診療　",歯科,,
052124,秋田県,大仙市,神岡歯科診療所,ｶﾐｵｶｼｶｼﾝﾘｮｳｼｮ,歯科,秋田県大仙市神宮寺字本郷下26-2,0187-72-4186,0187-72-4186,月火木金土,9:30,17:30（土；16:30）,,歯科,,
052124,秋田県,大仙市,畠山歯科医院,ﾊﾀｹﾔﾏｼｶｲｲﾝ,歯科,秋田県大仙市南外字落合24-3,0187-74-3115,0187-87-9005,月火水木金土,9:30,18:30,土；午前診療,歯科,,https://hatakeyama-dc.wixsite.com/nangai
052124,秋田県,大仙市,冨塚歯科医院,ﾄﾐﾂﾞｶｼｶｲｲﾝ,歯科,秋田県大仙市刈和野字川原田2-28,0187-75-1125,0187-75-2631,月火水木金土,9:00,18:00,"水,土；午前診療",歯科,,
052124,秋田県,大仙市,小坂歯科医院,ｺｻｶｼｶｲｲﾝ,歯科,秋田県大仙市刈和野字愛宕町25,0187-75-1015,0187-75-1015,月火水木金土,9:00,"月；19:00,火,金；18:00,水,20:00","木,土；午前診療",歯科,,
052124,秋田県,大仙市,協和町歯科診療所,ｷｮｳﾜﾏﾁｼｶｼﾝﾘｮｳｼｮ,歯科,秋田県大仙市協和境字野田21-3,018-892-3166,018-892-2028,月火木金土,9:00,18:30,土；午前診療,歯科,,
052124,秋田県,大仙市,ながさか歯科医院,ﾅｶﾞｻｶｼｶｲｲﾝ,歯科,秋田県大仙市北長野字茶畑55-1,0187-56-2255,0187-56-3808,月火水木金土,9:00,18:00,土；午前診療,歯科,,
052124,秋田県,大仙市,長尾歯科医院,ﾅｶﾞｵｼｶｲｲﾝ,歯科,秋田県大仙市長野字紫嶋48-2,0187-56-4405,0187-56-4405,月火水木金土,9:00,"18:00（木,土；16:00）",,歯科,,
052124,秋田県,大仙市,米澤歯科医院,ﾖﾈｻﾞﾜｼｶｲｲﾝ,歯科,秋田県大仙市長野字六日町68,0187-56-4460,0187-56-3003,月火水木金土,9:00,19:00（木；17:00）,土；午前診療,歯科,,
052124,秋田県,大仙市,佐藤歯科クリニック,ｻﾄｳｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市太田町横沢字久保関北731,0187-86-9955,0187-86-9945,月火水木金土,9:00,18:00,"水,土；午前診療",歯科,,
052124,秋田県,大仙市,冨岡歯科医院,ﾄﾐｵｶｼｶｲｲﾝ,歯科,秋田県大仙市太田町中里字二十町98,0187-88-1123,0187-88-1394,月火水木金土,9:05,18:30,土；午前診療,歯科,,
052124,秋田県,大仙市,たかはし歯科クリニック,ﾀｶﾊｼｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市高梨字田茂木84,0187-62-6800,0187-62-6801,月火水木金土,9:00,19:00（火；18:00）,"木,土；午前診療",歯科,,http://dental-office-t.com/
052124,秋田県,大仙市,仙北歯科医院,ｾﾝﾎﾞｸｼｶｲｲﾝ,歯科,秋田県大仙市福田字穴沢47,0187-69-2828,,月火水木金土,9:00,17:15,土；午前診療,歯科,,
052124,秋田県,大仙市,大曲歯科クリニック,ｵｵﾏｶﾞﾘｼｶｸﾘﾆｯｸ,歯科,秋田県大仙市和合坪立177イオンモール1階,0187-88-8119,,月火水金土日・祝日,10:00,19:00,土日祝日；16:00,歯科,,
052124,秋田県,大仙市,大仙ファミリー歯科・矯正歯科,ﾀﾞｲｾﾝﾌｧﾐﾘｰｼｶｷｮｳｾｲｼｶ,歯科,秋田県大仙市福田町22-23-7,0187-63-7803,0187-63-7803,,,,,歯科,,
052124,秋田県,大仙市,やまな薬局,ﾔﾏﾅﾔｯｷｮｸ,薬局,秋田県大仙市幸町4-23-5,0187-86-3330,0187-86-3331,月火水木金土,8:30,"17:30（水,土；12:30）",,薬局,,
052124,秋田県,大仙市,おおはな調剤薬局,ｵｵﾊﾅﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大花町11-6-10,0187-73-6412,0187-73-6413,月火水木金土,8:45,"18:00（水,土；12:30）",第4土；休業,薬局,,
052124,秋田県,大仙市,有坂薬局,ｱﾘｻｶﾔｯｷｮｸ,薬局,秋田県大仙市大花町13-19,0187-63-2777,0187-62-2311,月火水木金土,8:30,"17:30（火,木；15:30,土；12:30）",不定休あり,薬局,,
052124,秋田県,大仙市,下山薬局駅前店,ｼﾓﾔﾏﾔｯｷｮｸｴｷﾏｴﾃﾝ,薬局,秋田県大仙市大花町14-14,0187-73-8315,0187-73-8316,月火水金土日,8:30,"18:00（土,日；16:00）",,薬局,,
