４４　主 要 文 化 施 設 の 利 用 状 況 （Ⅰ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,357 ,"6,667 ","66,866 ",187 ,357 ,"5,052 ","55,936 ",156 ,270 ,"3,342 ","30,240 ",112 ,358 ,"1,596 ","15,695 ",44 ,359 ,"1,572 ","14,020 ",39 ,,,,,,,,
令和元年度,358 ,"5,812 ","71,474 ",200 ,358 ,"4,880 ","51,565 ",144 ,358 ,"5,360 ","49,026 ",136 ,359 ,"1,558 ","15,581 ",43 ,360 ,"1,663 ","14,060 ",39 ,,,,,,,,
２,327 ,"3,968 ","41,741 ",128 ,332 ,"3,938 ","36,881 ",111 ,333 ,"4,727 ","37,879 ",114 ,330 ,"1,340 ","10,992 ",33 ,331 ,"1,239 ","9,934 ",30 ,,,,,,,,
３,326 ,"2,353 ","32,361 ",99 ,357 ,"2,891 ","26,184 ",73 ,357 ,"3,509 ","32,306 ",90 ,358 ,"1,133 ","9,620 ",27 ,359 ,"1,461 ","12,576 ",35 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,雄和市民サービスセンター,,,,,　資料　各公民館、各施設,,,,,,,,,,,,,,,,,,,,,,
,"開館日数
(日)","利用回数
(回)",利用者数（人）,,,　　注）１　以下の公民館は、各市民センターへ機能を複合化した。,,,,,,,,,,,,,,,,,,,,,,
,,,総数,1日平均,,　　　　　　西部公民館：西部市民サービスセンター（平成２１年５月７日オープン）,,,,,,,,,,,,,,,,,,,,,,
平成24年度,359 ,"1,035 ","15,767 ",44 ,,　　　　　　土崎公民館：北部市民サービスセンター（平成２３年５月１６日オープン）,,,,,,,,,,,,,,,,,,,,,,
25,359 ,"1,071 ","14,080 ",39 ,,　　　　　　河辺公民館：河辺市民サービスセンター（平成２３年５月１６日オープン）,,,,,,,,,,,,,,,,,,,,,,
26,359 ,984 ,"14,512 ",40 ,,　　　　　　雄和公民館：雄和市民サービスセンター（平成２３年５月１６日オープン）,,,,,,,,,,,,,,,,,,,,,,
27,360 ,973 ,"14,752 ",41 ,,　　　　　　東部公民館：東部市民サービスセンター（平成２７年８月２４日オープン）,,,,,,,,,,,,,,,,,,,,,,
28,359 ,"1,009 ","13,761 ",38 ,,　　　　　　中央公民館：中央市民サービスセンター（平成２８年５月６日オープン）,,,,,,,,,,,,,,,,,,,,,,
29,359 ,982 ,"13,244 ",37 ,,　　　　　　南部公民館：南部市民サービスセンター別館（平成３０年７月２４日オープン）,,,,,,,,,,,,,,,,,,,,,,
30,359 ,902 ,"11,900 ",33 ,,　　　　　　北部公民館：平成３０年３月３１日廃止。その事業は北部市民サービスセンターで継承され、名称も北部公民館から下新城交流センターに変更されている。,,,,,,,,,,,,,,,,,,,,,,
令和元年度,360 ,874 ,"11,162 ",31 ,,　　　　２　西部市民サービスセンターの利用回数は利用申請数である。,,,,,,,,,,,,,,,,,,,,,,
２,327 ,642 ,"7,572 ",23 ,,,,,,,,,,,,,,,,,,,,,,,,
３,359 ,722 ,"8,585 ",24 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
