NO,市町村コード,都道府県名,市区町村名,名称,名称_カナ,文化財分類,種類,住所,電話番号,員数（数）,員数（単位）,所有者等,文化財指定日,備考
20,052124,秋田県,大仙市,鈴木酒造店中蔵及び袖蔵,ズスキシュゾウテンナカグラオヨビソデグラ,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2020/4/3,中仙地域
21,052124,秋田県,大仙市,鈴木酒造店北蔵,スズキシュゾウテンキタグラ,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2020/4/3,中仙地域
22,052124,秋田県,大仙市,鈴木酒造店仕込蔵,スズキシュゾウテンシコミグラ,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2020/4/3,中仙地域
23,052124,秋田県,大仙市,佐藤家住宅主屋,サトウケジュウタクシュオク,国指定重要文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2022/12/12,大曲地域
24,052124,秋田県,大仙市,佐藤家住宅文庫蔵,サトウケジュウタクブンコグラ,国指定重要文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2022/12/12,大曲地域
25,052124,秋田県,大仙市,佐藤家住宅味噌蔵,サトウケジュウタクミソグラ,国指定重要文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2022/12/12,大曲地域
26,052124,秋田県,大仙市,佐藤家住宅米蔵及び検査所,サトウケジュウタクコメグラオヨビケンサショ,国指定重要文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2022/12/12,大曲地域
27,052124,秋田県,大仙市,佐藤家住宅大工小屋,サトウケジュウタクダイクゴヤ,国指定重要文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2022/12/12,大曲地域
28,052124,秋田県,大仙市,石造五重塔,セキゾウゴジュウトウ,県指定有形文化財,建造物,秋田県大仙市大曲丸ノ内町73,0187-63-8972,1,基,八幡神社,1956/5/21,大曲地域
29,052124,秋田県,大仙市,唐松神社奥殿,カラマツジンジャオクデン,県指定有形文化財,建造物,秋田県大仙市協和境字下台91,0187-63-8972,1,棟,唐松神社,1973/12/11,協和地域
30,052124,秋田県,大仙市,普賢菩薩像,フゲンボサツゾウ,県指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1952/11/1,大曲地域
31,052124,秋田県,大仙市,秋田蘭画「岩に牡丹図」,アキタランガイワニボタンズ,県指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1968/3/19,大曲地域
32,052124,秋田県,大仙市,聖観世音菩薩像,ショウカンゼオンボサツゾウ,県指定有形文化財,彫刻,秋田県大仙市豊川字小沼山1,0187-63-8972,1,躯,小沼神社,1952/11/1,中仙地域
33,052124,秋田県,大仙市,十一面観世音菩薩像,ジュウイチメンカンゼオンボサツゾウ,県指定有形文化財,彫刻,秋田県大仙市豊川字小沼山1,0187-63-8972,1,躯,小沼神社,1952/11/1,中仙地域
34,052124,秋田県,大仙市,聖観世音菩薩像,ショウカンゼオンボサツゾウ,県指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,躯,個人,1952/11/1,大曲地域
35,052124,秋田県,大仙市,舞楽二ノ舞面,ブガクニノマイメン,県指定有形文化財,彫刻,秋田県大仙市土川字小杉山19,0187-63-8972,1,組,円満寺,1952/11/1,西仙北地域
36,052124,秋田県,大仙市,木造僧形頭部,モクゾウソウギョウトウブ,県指定有形文化財,彫刻,秋田県大仙市豊川字小沼山1,0187-63-8972,1,箇,小沼神社,1960/3/1,中仙地域
37,052124,秋田県,大仙市,木造獅子頭,モクゾウシシガシラ,県指定有形文化財,彫刻,秋田県大仙市協和境字下台86,0187-63-8972,1,個,唐松神社,1975/4/10,協和地域
38,052124,秋田県,大仙市,銅鼓,ドウコ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,大曲地域
39,052124,秋田県,大仙市,太刀　銘正恒,タチ メイマサツネ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,中仙地域
40,052124,秋田県,大仙市,太刀　銘吉岡一文字,タチ  メイヨシオカイチモンジ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,大曲地域
41,052124,秋田県,大仙市,短刀　銘信国,タントウ メイノブクニ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,大曲地域
42,052124,秋田県,大仙市,太刀　銘粟田口,タチ  メイアワタグチ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,口,個人,1952/11/1,太田地域
43,052124,秋田県,大仙市,黒塗角頭兜,クロヌリカクトウカブト,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,個,個人,1953/10/5,中仙地域
44,052124,秋田県,大仙市,紫色威横矧二枚胴具足　附六十二間筋兜,ムラサキイロオドシヨコハギニマイドウグソク　ツケタリロクジュウニケンスジカブト,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,組,個人,1953/10/5,中仙地域
45,052124,秋田県,大仙市,瑞花文円鏡,ズイカモンエンキョウ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,面,個人,1956/5/21,中仙地域
46,052124,秋田県,大仙市,竜文刻馬具,リュウモンコクバグ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,式,個人,1956/5/21,中仙地域
47,052124,秋田県,大仙市,螺鈿鞍馬具,ラデンクラバグ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,式,個人,1956/5/21,中仙地域
48,052124,秋田県,大仙市,白磁瓶子（初期伊万里）,ハクジヘイシ　ショキイマリ,県指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,点,個人,1968/12/28,大曲地域
49,052124,秋田県,大仙市,藤木出土品,フジキシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,括,個人,1959/1/7,大曲地域
50,052124,秋田県,大仙市,土偶,ドグウ,県指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,個,個人,1960/3/1,大曲地域
51,052124,秋田県,大仙市,灰釉牡丹文瓶子,カイユウボタンモンヘイシ,県指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,個,個人,1963/2/5,大曲地域
52,052124,秋田県,大仙市,米ケ森遺跡出土品,ヨネガモリイセキシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市協和境字野田4,0187-63-8972,1,括,大仙市,1985/3/15,協和地域
53,052124,秋田県,大仙市,田久保下遺跡土坑墓出土品,タクボシタイセキドコウボシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市払田字牛嶋20　秋田県埋蔵文化財センター,0187-63-8972,68,点,秋田県,2002/3/19,仙北地域
54,052124,秋田県,大仙市,寒川Ⅱ遺跡土壙墓出土品,サムカワニイセキドコウボシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市払田字牛嶋20　秋田県埋蔵文化財センター,0187-63-8972,107,点,秋田県,2003/3/25,仙北地域
55,052124,秋田県,大仙市,戸平川遺跡出土品,トビラカワイセキシュツドヒン,県指定有形文化財,考古資料,秋田県大仙市払田字牛嶋20　秋田県埋蔵文化財センター,0187-63-8972,5144,点,秋田県,2005/3/22,仙北地域
56,052124,秋田県,大仙市,星宮遺跡出土土偶,ホシノミヤイセキシュツドドグウ,県指定有形文化財,考古資料,秋田県大仙市高梨字田茂木10　,0187-63-8972,1,点,大仙市,2011/3/22,仙北地域
57,052124,秋田県,大仙市,田沢湯元道中画報,タザワユモトドウチュウガホウ,県指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,冊,個人,1987/7/14,中仙地域
58,052124,秋田県,大仙市,鈴木空如筆法隆寺金堂壁画模写及び下絵,スズキクウニョヒツホウリュウジコンドウヘキガモシャオヨビシタエ,県指定有形文化財,歴史資料,秋田県大仙市太田町太田字新田田尻3-4,0187-63-8972,77,点,大仙市,2012/3/23,太田地域
59,052124,秋田県,大仙市,国見ささら,クニミササラ,県指定無形民俗文化財,,秋田県大仙市太田町国見,0187-63-8972,,,国見ささら保存会,1964/11/17,太田地域
60,052124,秋田県,大仙市,東長野ささら・長野ささら,ヒガシナガノササラ・ナガノササラ,県指定無形民俗文化財,,秋田県大仙市豊川東長野、長野,0187-63-8972,,,東長野・長野ささら保存会,1964/11/17,中仙地域
61,052124,秋田県,大仙市,大曲の綱引き,オオマガリノツナヒキ,県指定無形民俗文化財,,秋田県大仙市大曲上大町12-20,0187-63-8972,,,諏訪神社,2011/3/22,大曲地域
62,052124,秋田県,大仙市,四十二館跡,シジュウニダテアト,県指定史跡,,秋田県大仙市藤木字乙糠塚1　他　六郷西根字沼福田1　他,0187-63-8972,,,大仙市 ほか,1959/1/7,大曲地域
63,052124,秋田県,大仙市,一里塚,イチリヅカ,県指定史跡,,秋田県大仙市北楢岡字長丁場62　北楢岡字上船戸185-4,0187-63-8972,,,大仙市,1959/1/7,神岡地域
64,052124,秋田県,大仙市,心像市道の窯跡,ココロヤリイチミチノカマアト,県指定史跡,,秋田県大仙市内,0187-63-8972,,,個人,1962/2/15,西仙北地域
65,052124,秋田県,大仙市,大畑古窯跡,オオバタコヨウアト,県指定史跡,,秋田県大仙市南外字大畑139-3　字大畑150-1のうち　字大畑深山261-1,0187-63-8972,,,大仙市 ほか,2000/3/17,南外地域
66,052124,秋田県,大仙市,しだれ桜,シダレザクラ,県指定天然記念物,,秋田県大仙市内,0187-63-8972,,,個人,1953/10/5,協和地域
67,052124,秋田県,大仙市,枝垂桜,シダレザクラ,県指定天然記念物,,秋田県大仙市内,0187-63-8972,,,個人,1955/1/24,西仙北地域
68,052124,秋田県,大仙市,鬢垂のシダレグリ,ビンダレノシダレグリ,県指定天然記念物,,秋田県大仙市内,0187-63-8972,,,個人,1973/6/16,協和地域
69,052124,秋田県,大仙市,唐松神社のスギ並木,カラマツジンジャノスギナミキ,県指定天然記念物,,秋田県大仙市協和境字下台91,0187-63-8972,,,唐松神社,1973/12/11,協和地域
70,052124,秋田県,大仙市,諏訪神社格天井,スワジンジャゴウテンジョウ,市指定有形文化財,絵画,秋田県大仙市大曲上大町12-20,0187-63-8972,49,枚,諏訪神社,1970/12/4,大曲地域
71,052124,秋田県,大仙市,秋景山水の図,シュウケイサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域
72,052124,秋田県,大仙市,極彩色秋景山水の図,ゴクサイシキシュウケイサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域
73,052124,秋田県,大仙市,淡彩色柳堤の図,タンサイシキリュウテイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域
74,052124,秋田県,大仙市,極彩色絹本山水の図,ゴクサイシキケンポンサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域
75,052124,秋田県,大仙市,水墨山水の図,スイボクサンスイノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域
76,052124,秋田県,大仙市,前後赤壁,ゼンコウセキヘキ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,2,対,個人,1972/7/10,大曲地域
77,052124,秋田県,大仙市,極彩色紙本お多福の図,ゴクサイシキシホンオタフクノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域
78,052124,秋田県,大仙市,絹本水僕竹石の図,ケンポンスイボクチクセキノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,幅,個人,1972/7/10,大曲地域
79,052124,秋田県,大仙市,紙本角間川港の図,シホンカクマガワミナトノズ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,枚,個人,1979/6/1,大曲地域
80,052124,秋田県,大仙市,釈迦涅槃図,シャカネハンズ,市指定有形文化財,絵画,秋田県大仙市角間川町字東本町82,0187-63-8972,1,幅,浄蓮寺,1990/9/11,大曲地域
81,052124,秋田県,大仙市,力士像,リキシゾウ,市指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,基,個人,1965/2/17,大曲地域
82,052124,秋田県,大仙市,大日如来坐像,ダイニチニョライザゾウ,市指定有形文化財,彫刻,秋田県大仙市大曲須和町3-1-26,0187-63-8972,1,躯,大川寺,2019/11/20,大曲地域
83,052124,秋田県,大仙市,神棚用神殿,カミダナヨウシンデン,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,基,個人,1965/2/17,大曲地域
84,052124,秋田県,大仙市,ナマコ瓢形花瓶,ナマコヒョウケイカビン,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,個,個人,1979/1/16,大曲地域
85,052124,秋田県,大仙市,草花文徳利,ソウカモントックリ,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,個,個人,1979/1/16,大曲地域
86,052124,秋田県,大仙市,百万塔,ヒャクマントウ,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,基,個人,1985/6/1,大曲地域
87,052124,秋田県,大仙市,十六面画帖,ジュウロクメンガチョウ,市指定有形文化財,書跡典籍,秋田県大仙市内,0187-63-8972,1,冊,個人,1972/7/10,大曲地域
88,052124,秋田県,大仙市,熊野の本地,クマノノホンジ,市指定有形文化財,書跡典籍,秋田県大仙市内,0187-63-8972,1,巻,個人,1989/11/28,大曲地域
89,052124,秋田県,大仙市,板碑（画像碑）,イタビ（ガゾウヒ）,市指定有形文化財,考古資料,秋田県大仙市大曲須和町3-1-26,0187-63-8972,1,基,大川寺,1963/12/2,大曲地域
90,052124,秋田県,大仙市,板碑（永和碑）,イタビ（エイワヒ）,市指定有形文化財,考古資料,秋田県大仙市大曲須和町3-1-26,0187-63-8972,1,基,大川寺,1963/12/2,大曲地域
91,052124,秋田県,大仙市,板碑（画像碑）,イタビ（ガゾウヒ）,市指定有形文化財,考古資料,秋田県大仙市角間川町字大浦町11,0187-63-8972,1,基,喜福院　,1973/8/7,大曲地域
92,052124,秋田県,大仙市,石棒（黒色・双頭式）,セキボウ（コクショク・ソウトウシキ）,市指定有形文化財,考古資料,秋田県大仙市大曲丸の内町12-3,0187-63-8972,1,個,法久寺,1973/8/7,大曲地域
93,052124,秋田県,大仙市,板碑（貞和碑）,イタビ（テイワヒ）,市指定有形文化財,考古資料,秋田県大仙市大曲花園町4-88,0187-63-8972,1,基,大仙市,1987/10/26,大曲地域
94,052124,秋田県,大仙市,須恵器（横瓮）,スエキ（ヨコベ）,市指定有形文化財,考古資料,秋田県大仙市大曲大町7-3,0187-63-8972,1,個,大仙市,1989/11/28,大曲地域
95,052124,秋田県,大仙市,大曲村年中行事絵巻,オオマガリムラネンジュウギョウジエマキ,市指定有形文化財,歴史資料,秋田県大仙市大曲上大町,0187-63-8972,1,巻,諏訪神社,1963/12/2,大曲地域
96,052124,秋田県,大仙市,太田の田神碑,オオタノタノガミヒ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,基,個人,1995/1/25,大曲地域
97,052124,秋田県,大仙市,角間川盆踊り,カクマガワボンオドリ,市指定無形民俗文化財,,秋田県大仙市角間川町,0187-63-8972,,,角間川盆踊保存会,1967/6/21,大曲地域
98,052124,秋田県,大仙市,鳥子舞い,トリコマイ,市指定無形民俗文化財,,秋田県大仙市大曲上大町12-20,0187-63-8972,,,諏訪神社,1991/12/24,大曲地域
99,052124,秋田県,大仙市,伊豆山神社獅子神楽,イズサンジンジャシシカグラ,市指定無形民俗文化財,,秋田県大仙市花館,0187-63-8972,,,伊豆山神社,1991/12/24,大曲地域
100,052124,秋田県,大仙市,伊豆山神社川を渡る梵天,イズサンジンジャカワヲワタルボンデン,市指定無形民俗文化財,,秋田県大仙市花館,0187-63-8972,,,伊豆山神社,1999/5/31,大曲地域
101,052124,秋田県,大仙市,恙虫病研究所,ツツガムシビョウケンキュウショ,市指定史跡,,秋田県大仙市内,0187-63-8972,1,棟,個人,1991/12/24,大曲地域
102,052124,秋田県,大仙市,御前井,ゴゼンイ,市指定史跡,,秋田県大仙市内,0187-63-8972,1,基,個人,2008/4/22,大曲地域
103,052124,秋田県,大仙市,蛭川渡船場の渡しぶね,ヒルカワトセンジョウノワタシブネ,市指定有形民俗文化財,,秋田県大仙市協和峰吉川字南明谷地1,0187-63-8972,1,組,大仙市,2013/9/25,大曲地域
104,052124,秋田県,大仙市,角間川給人屋敷のモミ群,カクマガワキュウニンヤシキノモミグン,市指定記念物,,秋田県大仙市角間川,0187-63-8972,9,本,個人,2019/4/24,大曲地域
105,052124,秋田県,大仙市,多郎兵衛稲荷神社本殿,タロベエイナリジンジャホンデン,市指定有形文化財,建造物,秋田県大仙市北楢岡字北楢岡219-6,0187-63-8972,1,棟,多郎兵衛稲荷神社講中,1986/12/16,神岡地域
106,052124,秋田県,大仙市,十二天画像,ジュウニテンガゾウ,市指定有形文化財,絵画,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,12,枚,八幡神社,1983/9/22,神岡地域
107,052124,秋田県,大仙市,七僧画像,シチソウガゾウ,市指定有形文化財,絵画,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,7,枚,八幡神社,1983/9/22,神岡地域
108,052124,秋田県,大仙市,多郎兵衛稲荷神社愛染明王像,タロベエイナリジンジャアイゼンミョウオウゾウ,市指定有形文化財,彫刻,秋田県大仙市北楢岡字北楢岡219-6,0187-63-8972,1,体,多郎兵衛稲荷神社講中,1992/9/24,神岡地域
109,052124,秋田県,大仙市,八幡神社棟札,ハチマンジンジャムナフダ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,3,枚,八幡神社,1980/4/9,神岡地域
110,052124,秋田県,大仙市,八幡大菩薩　大籏,ハチマンダイボサツオオハタ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,1,枚,八幡神社,1983/9/22,神岡地域
111,052124,秋田県,大仙市,延宝打直検地帳,エンポウウチナオシケンチチョウ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,2,冊,大仙市,1992/9/24,神岡地域
112,052124,秋田県,大仙市,村方用控,ムラカタヨウビカエ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,1,冊,大仙市,1992/9/24,神岡地域
113,052124,秋田県,大仙市,御傳馬屋敷,ゴテンマヤシキ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,1,冊,大仙市,1992/9/24,神岡地域
114,052124,秋田県,大仙市,御用扣,ゴヨウビカエ,市指定有形文化財,歴史資料,秋田県大仙市神宮寺字蓮沼16-3,0187-63-8972,1,冊,大仙市,1992/9/24,神岡地域
115,052124,秋田県,大仙市,神宮寺村旧記帳,ジングウジムラキュウキチョウ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,冊,個人,1992/9/24,神岡地域
116,052124,秋田県,大仙市,八幡宮江御目衆御参詣之日記,ハチマングウヘオモクシュウゴサンケイノニッキ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,冊,個人,1992/9/24,神岡地域
117,052124,秋田県,大仙市,八幡神社祭典旗背負い,ハチマンジンジャサイテンハタショイ,市指定無形民俗文化財,,秋田県大仙市神宮寺字神宮寺19-1,0187-63-8972,,,八幡神社,1993/7/15,神岡地域
118,052124,秋田県,大仙市,慈眼山　寶泉寺本堂,ジゲンザンホウセンジホンドウ,市指定有形文化財,建造物,秋田県大仙市土川字半道寺25,0187-63-8972,1,棟,寶泉寺,2001/12/4,西仙北地域
119,052124,秋田県,大仙市,白馬の絵馬,ハクバノエマ,市指定有形文化財,絵画,秋田県大仙市内,0187-63-8972,1,枚,個人,1979/8/27,西仙北地域
120,052124,秋田県,大仙市,不動明王像,フドウミョウオウゾウ,市指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,躯,個人,1978/1/20,西仙北地域
121,052124,秋田県,大仙市,阿弥陀如来像,アミダニョライゾウ,市指定有形文化財,彫刻,秋田県大仙市土川字小杉山19,0187-63-8972,1,躯,円満寺,1978/1/20,西仙北地域
122,052124,秋田県,大仙市,子巣越八幡尊像　同厨子,コスゴエハチマンソンゾウ　ドウズシ,市指定有形文化財,彫刻,秋田県大仙市内,0187-63-8972,1,躯,個人,1978/1/20,西仙北地域
123,052124,秋田県,大仙市,木造善女竜王立像,モクゾウゼンニョリュウオウリュウゾウ,市指定有形文化財,彫刻,秋田県大仙市北野目字後野251,0187-63-8972,1,躯,神明社,1989/8/28,西仙北地域
124,052124,秋田県,大仙市,手弁当箱,テベントウバコ,市指定有形文化財,工芸品,秋田県大仙市内,0187-63-8972,1,組,個人,1989/8/28,西仙北地域
125,052124,秋田県,大仙市,板碑梵字石「金胎不二曼陀羅」,イタビボンジイシキンタイフジマンダラ,市指定有形文化財,考古資料,秋田県大仙市内,0187-63-8972,1,基,個人,1978/1/20,西仙北地域
126,052124,秋田県,大仙市,六郡御絵図,ロクグンオンエズ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1,幅,個人,2001/12/4,西仙北地域
127,052124,秋田県,大仙市,小山田治右衛門家文書,オヤマダジウエモンケモンジョ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,1494,点,個人,2001/12/4,西仙北地域
128,052124,秋田県,大仙市,伊藤重左衛門家文書,イトウジュウザエモンケモンジョ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,430,点,個人,2003/1/21,西仙北地域
129,052124,秋田県,大仙市,深浦武左衛門家文書,フカウラブザエモンケモンジョ,市指定有形文化財,歴史資料,秋田県大仙市内,0187-63-8972,420,点,個人,2003/1/21,西仙北地域
130,052124,秋田県,大仙市,椒沢番楽,ハジカミザワバンガク,市指定無形民俗文化財,,秋田県大仙市大沢郷宿,0187-63-8972,,,椒沢番楽保存会,1989/8/28,西仙北地域
131,052124,秋田県,大仙市,弥助堰,ヤスケゼキ,市指定史跡,,秋田県大仙市強首字上野台11-2,0187-63-8972,,,大仙市,1980/10/22,西仙北地域
132,052124,秋田県,大仙市,法華宝塔,ホウケホウトウ,市指定史跡,,秋田県大仙市内,0187-63-8972,1,基,個人,1989/8/28,西仙北地域
133,052124,秋田県,大仙市,旧亀田街道,キュウカメダカイドウ,市指定史跡,,秋田県大仙市大沢郷宿字岩瀬109-1先から字大野45先まで,0187-63-8972,,,大仙市,1990/6/12,西仙北地域
134,052124,秋田県,大仙市,モミの木群,モミノキグン,市指定天然記念物,,秋田県大仙市内,0187-63-8972,5,本,個人,1979/8/27,西仙北地域
135,052124,秋田県,大仙市,ブナの原生林　トチの木,ブナノゲンセイリン　トチノキ,市指定天然記念物,,秋田県大仙市杉山田字釜の沢132、134,0187-63-8972,,,月山神社,1982/12/13,西仙北地域
136,052124,秋田県,大仙市,エノキ,エノキ,市指定天然記念物,,秋田県大仙市刈和野字愛宕町24,0187-63-8972,1,本,大仙市,1989/8/28,西仙北地域
137,052124,秋田県,大仙市,クジラの化石,クジラノカセキ,市指定天然記念物,,秋田県大仙市刈和野字愛宕下24-1,0187-63-8972,1,個,大仙市,1990/6/12,西仙北地域
138,052124,秋田県,大仙市,化石塊,カセキカイ,市指定天然記念物,,秋田県大仙市内,0187-63-8972,1,個,個人,1990/6/12,西仙北地域
139,052124,秋田県,大仙市,バッコスギ,バッコスギ,市指定天然記念物,,秋田県大仙市土川字小又口,0187-63-8972,1,本,国（農林水産省）,1990/6/12,西仙北地域
