市町村コード,都道府県名,市町村名,年度,歳出目的区分,決算額（千円）
052124,秋田県,大仙市,2012(平成24）,衛生費,4887489
052124,秋田県,大仙市,2012(平成24）,労働費,216735
052124,秋田県,大仙市,2012(平成24）,農林水産業費,2468419
052124,秋田県,大仙市,2012(平成24）,商工費,1715551
052124,秋田県,大仙市,2012(平成24）,土木費,6389653
052124,秋田県,大仙市,2012(平成24）,消防費,1782802
052124,秋田県,大仙市,2012(平成24）,教育費,4151158
052124,秋田県,大仙市,2012(平成24）,災害復旧費,158863
052124,秋田県,大仙市,2012(平成24）,公債費,6290043
052124,秋田県,大仙市,2012(平成24）,諸支出金,0
052124,秋田県,大仙市,2013(平成25）,議会費,323165
052124,秋田県,大仙市,2013(平成25）,総務費,5484111
052124,秋田県,大仙市,2013(平成25）,民生費,12509663
052124,秋田県,大仙市,2013(平成25）,衛生費,5741357
052124,秋田県,大仙市,2013(平成25）,労働費,195475
052124,秋田県,大仙市,2013(平成25）,農林水産業費,3381596
052124,秋田県,大仙市,2013(平成25）,商工費,1674797
052124,秋田県,大仙市,2013(平成25）,土木費,10708520
052124,秋田県,大仙市,2013(平成25）,消防費,2215760
052124,秋田県,大仙市,2013(平成25）,教育費,4046856
052124,秋田県,大仙市,2013(平成25）,災害復旧費,177899
052124,秋田県,大仙市,2013(平成25）,公債費,5855286
052124,秋田県,大仙市,2013(平成25）,諸支出金,0
052124,秋田県,大仙市,2014(平成26）,議会費,350619
052124,秋田県,大仙市,2014(平成26）,総務費,5362879
052124,秋田県,大仙市,2014(平成26）,民生費,13538245
052124,秋田県,大仙市,2014(平成26）,衛生費,6090629
052124,秋田県,大仙市,2014(平成26）,労働費,142501
052124,秋田県,大仙市,2014(平成26）,農林水産業費,3192527
052124,秋田県,大仙市,2014(平成26）,商工費,1489725
052124,秋田県,大仙市,2014(平成26）,土木費,6823219
052124,秋田県,大仙市,2014(平成26）,消防費,1704328
052124,秋田県,大仙市,2014(平成26）,教育費,4309173
052124,秋田県,大仙市,2014(平成26）,災害復旧費,69879
052124,秋田県,大仙市,2014(平成26）,公債費,5474751
052124,秋田県,大仙市,2014(平成26）,諸支出金,0
052124,秋田県,大仙市,2015(平成27）,議会費,366545
052124,秋田県,大仙市,2015(平成27）,総務費,5356004
052124,秋田県,大仙市,2015(平成27）,民生費,13083675
052124,秋田県,大仙市,2015(平成27）,衛生費,5355992
052124,秋田県,大仙市,2015(平成27）,労働費,129654
052124,秋田県,大仙市,2015(平成27）,農林水産業費,4441010
052124,秋田県,大仙市,2015(平成27）,商工費,1764909
052124,秋田県,大仙市,2015(平成27）,土木費,6182621
052124,秋田県,大仙市,2015(平成27）,消防費,1661254
052124,秋田県,大仙市,2015(平成27）,教育費,4371776
052124,秋田県,大仙市,2015(平成27）,災害復旧費,90668
052124,秋田県,大仙市,2015(平成27）,公債費,6048672
052124,秋田県,大仙市,2015(平成27）,諸支出金,0
052124,秋田県,大仙市,2016(平成28）,議会費,324794
052124,秋田県,大仙市,2016(平成28）,総務費,5371214
052124,秋田県,大仙市,2016(平成28）,民生費,13205689
052124,秋田県,大仙市,2016(平成28）,衛生費,4822457
052124,秋田県,大仙市,2016(平成28）,労働費,116882
052124,秋田県,大仙市,2016(平成28）,農林水産業費,4163851
052124,秋田県,大仙市,2016(平成28）,商工費,1716977
052124,秋田県,大仙市,2016(平成28）,土木費,5117913
052124,秋田県,大仙市,2016(平成28）,消防費,1933569
052124,秋田県,大仙市,2016(平成28）,教育費,4062327
052124,秋田県,大仙市,2016(平成28）,災害復旧費,87938
052124,秋田県,大仙市,2016(平成28）,公債費,5587577
052124,秋田県,大仙市,2016(平成28）,諸支出金,0
052124,秋田県,大仙市,2017(平成29）,議会費,322410
052124,秋田県,大仙市,2017(平成29）,総務費,4881548
052124,秋田県,大仙市,2017(平成29）,民生費,14203529
052124,秋田県,大仙市,2017(平成29）,衛生費,2982142
052124,秋田県,大仙市,2017(平成29）,労働費,100976
052124,秋田県,大仙市,2017(平成29）,農林水産業費,4558191
052124,秋田県,大仙市,2017(平成29）,商工費,1696194
052124,秋田県,大仙市,2017(平成29）,土木費,5296770
052124,秋田県,大仙市,2017(平成29）,消防費,2720177
052124,秋田県,大仙市,2017(平成29）,教育費,4966619
052124,秋田県,大仙市,2017(平成29）,災害復旧費,1144278
052124,秋田県,大仙市,2017(平成29）,公債費,5867464
052124,秋田県,大仙市,2017(平成29）,諸支出金,0
052124,秋田県,大仙市,2018(平成30）,議会費,329273
052124,秋田県,大仙市,2018(平成30）,総務費,5134922
052124,秋田県,大仙市,2018(平成30）,民生費,13336455
052124,秋田県,大仙市,2018(平成30）,衛生費,4238532
052124,秋田県,大仙市,2018(平成30）,労働費,99938
052124,秋田県,大仙市,2018(平成30）,農林水産業費,3823739
052124,秋田県,大仙市,2018(平成30）,商工費,1357249
052124,秋田県,大仙市,2018(平成30）,土木費,4372620
052124,秋田県,大仙市,2018(平成30）,消防費,2390070
052124,秋田県,大仙市,2018(平成30）,教育費,5127273
052124,秋田県,大仙市,2018(平成30）,災害復旧費,2110513
052124,秋田県,大仙市,2018(平成30）,公債費,6147670
052124,秋田県,大仙市,2018(平成30）,諸支出金,0
052124,秋田県,大仙市,2019(令和1）,議会費,318694
052124,秋田県,大仙市,2019(令和1）,総務費,5162373
052124,秋田県,大仙市,2019(令和1）,民生費,12946015
052124,秋田県,大仙市,2019(令和1）,衛生費,4316055
052124,秋田県,大仙市,2019(令和1）,労働費,79594
052124,秋田県,大仙市,2019(令和1）,農林水産業費,3568184
052124,秋田県,大仙市,2019(令和1）,商工費,1312613
052124,秋田県,大仙市,2019(令和1）,土木費,4151717
052124,秋田県,大仙市,2019(令和1）,消防費,1997527
052124,秋田県,大仙市,2019(令和1）,教育費,5183241
052124,秋田県,大仙市,2019(令和1）,災害復旧費,410529
052124,秋田県,大仙市,2019(令和1）,公債費,5611366
052124,秋田県,大仙市,2019(令和1）,諸支出金,0
052124,秋田県,大仙市,2020(令和2）,議会費,297269
052124,秋田県,大仙市,2020(令和2）,総務費,13386297
052124,秋田県,大仙市,2020(令和2）,民生費,13297583
052124,秋田県,大仙市,2020(令和2）,衛生費,4354995
052124,秋田県,大仙市,2020(令和2）,労働費,94986
052124,秋田県,大仙市,2020(令和2）,農林水産業費,3766027
052124,秋田県,大仙市,2020(令和2）,商工費,2246818
052124,秋田県,大仙市,2020(令和2）,土木費,5298597
052124,秋田県,大仙市,2020(令和2）,消防費,1699660
052124,秋田県,大仙市,2020(令和2）,教育費,5123683
052124,秋田県,大仙市,2020(令和2）,災害復旧費,177404
052124,秋田県,大仙市,2020(令和2）,公債費,5326784
052124,秋田県,大仙市,2020(令和2）,諸支出金,0
052124,秋田県,大仙市,2021(令和3）,議会費,281251
052124,秋田県,大仙市,2021(令和3）,総務費,6444010
052124,秋田県,大仙市,2021(令和3）,民生費,14602147
052124,秋田県,大仙市,2021(令和3）,衛生費,4653136
052124,秋田県,大仙市,2021(令和3）,労働費,95503
052124,秋田県,大仙市,2021(令和3）,農林水産業費,3877470
052124,秋田県,大仙市,2021(令和3）,商工費,2491945
052124,秋田県,大仙市,2021(令和3）,土木費,5265049
052124,秋田県,大仙市,2021(令和3）,消防費,1952823
052124,秋田県,大仙市,2021(令和3）,教育費,4647224
052124,秋田県,大仙市,2021(令和3）,災害復旧費,114870
052124,秋田県,大仙市,2021(令和3）,公債費,5364538
052124,秋田県,大仙市,2021(令和3）,諸支出金,0
