市区町村コード,NO,都道府県名,市区町村名,名称,住所,緯度,経度,設置者,電話番号,SSID,URL,備考
052019,0000000012,秋田県,秋田市,民俗芸能伝承館(ねぶり流し館),秋田市大町1-3-30,39.72038,140.11703,秋田市観光文化スポーツ部民俗芸能伝承館,018-866-7091,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000013,秋田県,秋田市,秋田市新屋ガラス工房,秋田市新屋表町5-2,39.682455,140.083313,秋田市市民生活部新屋ガラス工房,018-853-4201,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000014,秋田県,秋田市,土崎みなと歴史伝承館,秋田市土崎港西3-10-27,39.756195,140.066928,秋田市土崎みなと歴史伝承館,018-838-4244,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000015,秋田県,秋田市,CNAアリーナ★あきた(市立体育館),秋田市八橋本町6-12-20,39.725647,140.087717,秋田市観光文化スポーツ部スポーツ振興課,018-866-2600,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000016,秋田県,秋田市,大森山動物園,秋田市浜田字潟端154,39.671723,140.076295,秋田市観光文化スポーツ部スポーツ振興課,018-828-5508,Omoriyama Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000017,秋田県,秋田市,西武秋田店,秋田市中通2-6-1,39.717145,140.126653,西武秋田店,018-832-5111,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000018,秋田県,秋田市,きららとしょかん明徳館,秋田市千秋明徳町4-4,39.719744,140.12348,秋田市教育委員会中央図書館明徳館,018-832-9220,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000019,秋田県,秋田市,きららとしょかん土崎図書館,秋田市土崎港中央6-16-30,39.759426,140.072577,秋田市教育委員会土崎図書館,018-845-0572,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000020,秋田県,秋田市,きららとしょかん新屋図書館,秋田市新屋大川町12-26,39.68455,140.090401,秋田市教育委員会新屋図書館,018-828-4215,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000021,秋田県,秋田市,きららとしょかん雄和図書館,秋田市雄和妙法字上大部48－1,39.590898,140.170116,秋田市教育委員会雄和図書館,018-886-2853,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000022,秋田県,秋田市,きららとしょかん明徳館河辺分館,秋田市河辺北野田高屋字上前田表66-1 ,39.652888,140.212878,秋田市教育委員会中央図書館明徳館河辺分館,018-881-1202,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000023,秋田県,秋田市,農山村地域活性化センター（さとぴあ）,秋田市上新城五十丁字小林190-1,39.795062,140.118234,秋田市産業振興部産業振興課,018-893-3412,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000024,秋田県,秋田市,河辺市民サービスセンター(カワベリア),秋田市河辺和田字北条ヶ崎38-2,39.652716,140.215275,秋田市市民生活部河辺市民サービスセンター,018-882-5302,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000025,秋田県,秋田市,雄和市民サービスセンター(ユービス),秋田市雄和妙法字上大部48-1,39.591433,140.170431,秋田市市民生活部雄和市民サービスセンター,018-886-5511,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000026,秋田県,秋田市,赤れんが郷土館,秋田市大町3-3-21,39.716731,140.11581,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000027,秋田県,秋田市,旧金子家住宅,秋田市大町1-3-30,39.72022,140.117173,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000028,秋田県,秋田市,佐竹史料館,秋田市千秋公園1-4,39.71998,140.124804,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000029,秋田県,秋田市,久保田城御隅櫓,秋田市千秋公園1-39,39.723477,140.123226,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000030,秋田県,秋田市,旧黒澤家住宅,秋田市楢山石塚谷地297-99,39.701399,140.138215,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000031,秋田県,秋田市,如斯亭庭園,秋田市旭川南町2-2-73,39.734043,140.128997,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000032,秋田県,秋田市,秋田城趾歴史資料館,秋田市寺内焼山9-6,39.739634,140.07788,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000033,秋田県,秋田市,雄和糠塚エリア（秋田国際ダリア園）,秋田市雄和妙法糠塚21,39.595565,140.186189,秋田市観光文化スポーツ部観光振興課,018-888-5602,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,雄和観光交流館も使用可能
052019,0000000034,秋田県,秋田市,西部市民サービスセンター（ウェスター）,秋田市新屋扇町13-14,39.677265,140.085349,秋田市市民生活西部市民サービスセンター,018-888-8080,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000035,秋田県,秋田市,秋田市文化創造館,秋田市千秋明徳町3-16,39.719242,140.122788,秋田市観光文化スポーツ部文化振興課,018-888-5607,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000036,秋田県,秋田市,秋田市まちなか観光案内所,秋田市大町1-2-37,39.719386,140.118092,秋田市観光文化スポーツ部観光振興課,018-824-8686,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000037,秋田県,秋田市,あきた芸術劇場ミルハス,秋田市千秋明徳町2-52,39.71948,140.12212,秋田市観光文化スポーツ部文化振興課,018-888-5607,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000038,秋田県,秋田市,フォンテ文庫,秋田市中通2-8-1,39.71634,140.12779,秋田市教育委員会中央図書館明徳館,018-832-9220,akitacitylib,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000039,秋田県,秋田市,旧松倉家住宅,秋田市旭南2-7-29,39.70843,140.11121,秋田市観光文化スポーツ部文化振興課,018-888-5607,Akita-City_WiFi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000040,秋田県,秋田市,旭川地区コミュニティセンター,秋田市手形字才ノ浜51-2,39.73727,140.132523,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000041,秋田県,秋田市,飯島地区コミュニティセンター,秋田市飯島松根東町5-22,39.772057,140.073243,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000042,秋田県,秋田市,寺内地区コミュニティセンター,秋田市寺内神屋敷13-23,39.735174,140.082861,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000043,秋田県,秋田市,楢山地区コミュニティセンター,秋田市楢山南中町1-9,39.708195,140.11705,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000044,秋田県,秋田市,東地区コミュニティセンター,秋田市広面字鬼頭38,39.710938,140.141242,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000045,秋田県,秋田市,勝平地区コミュニティセンター,秋田市新屋松美ガ丘東町10-10,39.70126,140.084031,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000046,秋田県,秋田市,外旭川地区コミュニティセンター,秋田市外旭川字四百刈76,39.749355,140.101454,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000047,秋田県,秋田市,将軍野地区コミュニティセンター,秋田市将軍野南4-8-8,39.746967,140.086412,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000048,秋田県,秋田市,茨島地区コミュニティセンター,秋田市茨島1-4-71,39.703435,140.10301,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000049,秋田県,秋田市,泉地区コミュニティセンター,秋田市泉北1-20-27,39.734353,140.10352,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000050,秋田県,秋田市,明徳地区コミュニティセンター,秋田市手形住吉町2-27,39.726061,140.130288,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000051,秋田県,秋田市,大住地区コミュニティセンター,秋田市大住南2-7-24,39.686169,140.109957,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000052,秋田県,秋田市,浜田地区コミュニティセンター,秋田市浜田字自在山88-6,39.666917,140.065861,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000053,秋田県,秋田市,港北地区コミュニティセンター,秋田市土崎港北3-7-9,39.76501,140.082384,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000054,秋田県,秋田市,八橋地区コミュニティセンター,秋田市八橋本町5-2-27,39.725227,140.095875,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000055,秋田県,秋田市,旭北地区コミュニティセンター,秋田市大町4-4-15,39.716187,140.11442,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000056,秋田県,秋田市,河辺岩見三内地区コミュニティセンター,秋田市河辺三内字外川原34-1,39.70665,140.286945,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000057,秋田県,秋田市,保戸野地区コミュニティセンター,秋田市保戸野中町6-12,39.724386,140.117977,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000058,秋田県,秋田市,川尻地区コミュニティセンター,秋田市川尻みよし町8-16,39.710934,140.097168,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000059,秋田県,秋田市,下新城地区コミュニティセンター,秋田市下新城笠岡字堰場193-4,39.799214,140.077733,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000060,秋田県,秋田市,豊岩地区コミュニティセンター,秋田市豊岩豊巻字内縄尻224-1,39.649625,140.113524,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000061,秋田県,秋田市,下浜地区コミュニティセンター,秋田市下浜羽川字下野1-76,39.614483,140.063694,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000062,秋田県,秋田市,旭南地区コミュニティセンター,秋田市旭南1-15-5,39.710113,140.108889,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000063,秋田県,秋田市,上北手地区コミュニティセンター,秋田市上北手猿田字四ツ小屋29-1,39.684898,140.161289,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000064,秋田県,秋田市,太平地区コミュニティセンター,秋田市太平目長崎字沼田42,39.730616,140.198808,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000065,秋田県,秋田市,下北手地区コミュニティセンター,秋田市下北手柳館字前田面133-1,39.718118,140.173016,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000066,秋田県,秋田市,桜地区コミュニティセンター,秋田市桜台1-1-4,39.709832,140.156005,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000067,秋田県,秋田市,上新城地区コミュニティセンター,秋田市上新城五十丁字小林88-5,39.794437,140.118878,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000068,秋田県,秋田市,飯島南地区コミュニティセンター,秋田市飯島字南場掛318-2,39.768535,140.094491,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000069,秋田県,秋田市,金足地区コミュニティセンター,秋田市金足小泉字上前55,39.823254,140.066816,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000070,秋田県,秋田市,仁井田地区コミュニティセンター,秋田市仁井田本町4-5-20,39.67951,140.130588,秋田市市民生活部生活総務課,018-888-5625,AKITACITY_FREE_Wi-Fi_CC,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
