年次,移動区分,性別,総数,北海道,青森県,岩手県,宮城県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,その他
2013,転出者,男(人),551,13,28,55,87,20,23,13,7,13,35,41,104,43,11,2,2,0,1,4,0,4,9,1,1,4,7,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,13,0
2013,転出者,女(人),482,11,24,42,76,18,14,6,7,3,37,18,109,46,10,0,0,0,1,2,0,4,3,0,1,4,6,3,3,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,3,22,0
2012,転入者,男女総数(人),794,25,41,92,118,34,54,15,10,9,70,28,108,63,7,0,0,5,1,5,0,15,12,7,3,1,4,4,1,0,0,0,0,1,16,0,0,4,0,4,0,0,0,0,0,1,2,19,1
2012,転入者,男(人),459,17,23,44,57,22,28,11,7,7,50,20,62,33,4,0,0,3,0,3,0,10,9,7,2,0,2,2,0,0,0,0,0,1,14,0,0,2,0,0,0,0,0,0,0,0,0,8,11
2012,転入者,女(人),371,9,20,51,63,14,26,8,4,3,21,11,53,35,3,0,0,2,2,3,0,5,4,1,1,1,2,2,1,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,1,2,11,4
2012,転出者,男女総数(人),954,39,38,87,156,29,41,17,8,11,64,74,183,77,31,4,3,1,3,2,4,7,16,1,1,3,14,7,1,0,0,1,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,23,0
2012,転出者,男(人),471,18,17,42,85,18,23,8,4,8,33,34,76,30,18,3,3,0,2,2,2,3,8,0,1,2,8,3,1,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,13,0
2012,転出者,女(人),483,21,21,45,71,11,18,9,4,3,31,40,107,47,13,1,0,1,1,0,2,4,8,1,0,1,6,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2011,転入者,男女総数(人),837,36,40,60,152,41,38,24,12,0,82,42,113,49,16,5,0,1,4,8,1,14,13,1,3,8,12,5,1,0,0,0,1,0,1,0,0,0,0,2,3,1,0,4,0,0,0,27,17
2011,転入者,男(人),472,18,28,37,89,24,23,13,7,0,44,17,65,22,10,2,0,1,2,4,0,9,6,1,0,4,7,4,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,3,0,0,0,10,17
2011,転入者,女(人),365,18,12,23,63,17,15,11,5,0,38,25,48,27,6,3,0,0,2,4,1,5,7,0,3,4,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,17,0
2011,転出者,男女総数(人),842,28,16,54,125,24,13,20,18,4,91,74,178,84,13,14,3,2,4,5,0,11,11,3,3,3,1,3,0,7,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,25,0
2011,転出者,男(人),424,17,11,23,57,11,9,13,13,2,61,39,83,36,7,6,1,2,4,2,0,4,9,0,0,1,1,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
2011,転出者,女(人),418,11,5,31,68,13,4,7,5,2,30,35,95,48,6,8,2,0,0,3,0,7,2,3,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,22,0
2010,転入者,男女総数(人),776,37,62,67,94,44,27,18,15,7,31,36,135,60,19,6,1,1,2,7,4,10,21,4,0,5,9,1,1,0,0,0,1,2,2,2,1,0,0,6,1,0,1,0,1,1,4,20,10
2010,転入者,男(人),427,24,37,35,50,19,18,11,6,5,17,18,75,33,13,5,0,0,2,4,2,2,12,3,0,3,5,1,1,0,0,0,1,1,1,1,1,0,0,4,1,0,1,0,0,1,0,8,6
2010,転入者,女(人),349,13,25,32,44,25,9,7,9,2,14,18,60,27,6,1,1,1,0,3,2,8,9,1,0,2,4,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,4,12,4
2010,転出者,男女総数(人),941,21,57,66,150,26,29,29,14,11,76,60,193,108,8,4,1,0,3,4,4,10,17,1,0,3,10,3,1,0,0,0,0,2,1,0,2,0,0,3,0,1,1,2,2,0,2,16,0
2010,転出者,男(人),521,14,32,34,73,17,15,17,9,9,42,30,107,66,7,3,1,0,1,3,2,6,12,0,0,3,5,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0
2010,転出者,女(人),420,7,25,32,77,9,14,12,5,2,34,30,86,42,1,1,0,0,2,1,2,4,5,1,0,0,5,1,0,0,0,0,0,1,1,0,2,0,0,2,0,1,1,1,2,0,2,9,0
2009,転入者,男女総数(人),852,55,35,68,118,28,28,28,18,10,50,44,152,60,30,1,1,1,6,5,6,8,28,2,0,5,7,6,1,0,1,0,1,3,4,0,0,2,2,3,0,0,0,0,3,0,1,26,5
2009,転入者,男(人),483,26,21,44,63,14,17,21,7,5,30,24,89,30,14,1,1,0,4,5,3,6,18,2,0,5,2,1,1,0,1,0,0,2,2,0,0,2,1,2,0,0,0,0,2,0,1,12,4
2009,転入者,女(人),369,29,14,24,55,14,11,7,11,5,20,20,63,30,16,0,0,1,2,0,3,2,10,0,0,0,5,5,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,1,0,0,14,1
2009,転出者,男女総数(人),942,30,34,73,133,32,35,23,12,10,80,84,185,94,11,1,2,1,0,10,2,8,31,2,4,7,5,0,1,1,0,0,1,1,1,0,2,3,0,4,0,0,1,0,0,1,0,17,0
2009,転出者,男(人),505,16,22,36,60,20,17,14,7,10,49,41,92,49,9,0,1,0,0,7,1,6,16,2,3,4,4,0,1,1,0,0,1,1,0,0,2,2,0,2,0,0,0,0,0,0,0,9,0
2009,転出者,女(人),439,14,12,37,73,12,18,9,5,0,31,43,93,45,2,1,1,1,0,3,1,2,15,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,2,0,9,0
