４, (5) ,"1,588 ", (1) ,797 , (4) ,791 , (3) ,"4,246 ", (2) ,"2,027 ", (1) ,"2,219 ","△ 2,658", (736) ,"8,785 ", (727) ,"5,774 ", (9) ,"3,011 ", (422) ,"8,795 ", (414) ,"6,638 ", (8) ,"2,157 ",△ 10,"△ 2,668",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１月,,145 ,,66 ,,79 , (1) ,403 , (1) ,197 ,,206 ,△ 258, (5) ,379 , (4) ,253 , (1) ,126 , (19) ,425 , (18) ,319 , (1) ,106 ,△ 46,△ 304,
２月,,116 ,,55 ,,61 ,,302 ,,144 ,,158 ,△ 186, (8) ,377 , (8) ,230 ,,147 , (17) ,489 , (15) ,381 , (2) ,108 ,△ 112,△ 298,
３月,,123 ,,56 ,,67 ,,368 ,,178 ,,190 ,△ 245, (53) ,"2,110 ", (52) ,"1,233 ", (1) ,877 , (51) ,"3,080 ", (50) ,"2,341 ", (1) ,739 ,△ 970,"△ 1,215",
４月,,118 ,,56 ,,62 ,,302 ,,144 ,,158 ,△ 184, (86) ,"1,604 ", (84) ,"1,119 ", (2) ,485 , (19) ,799 , (19) ,582 ,,217 ,805,621,
５月,,146 ,,77 ,,69 ,,355 ,,166 ,,189 ,△ 209, (148) ,641 , (148) ,455 ,,186 , (18) ,477 , (18) ,365 ,,112 ,164,△ 45,
６月, (1) ,138 ,,77 , (1) ,61 , (2) ,320 , (1) ,148 , (1) ,172 ,△ 182, (45) ,468 , (45) ,320 ,,148 , (23) ,534 , (23) ,417 ,,117 ,△ 66,△ 248,
７月,,134 ,,71 ,,63 ,,280 ,,124 ,,156 ,△ 146, (53) ,617 , (53) ,434 ,,183 , (24) ,568 , (22) ,421 , (2) ,147 ,49,△ 97,
８月, (1) ,138 ,,73 , (1) ,65 ,,390 ,,194 ,,196 ,△ 252, (178) ,649 , (177) ,483 , (1) ,166 , (69) ,534 , (69) ,417 ,,117 ,115,△ 137,
９月,,127 ,,63 ,,64 ,,367 ,,161 ,,206 ,△ 240, (40) ,521 , (39) ,354 , (1) ,167 , (25) ,572 , (25) ,425 ,,147 ,△ 51,△ 291,
10月, (1) ,128 ,,65 , (1) ,63 ,,366 ,,198 ,,168 ,△ 238, (57) ,606 , (57) ,396 ,,210 , (41) ,461 , (41) ,328 ,,133 ,145,△ 93,
11月, (1) ,151 ,,76 , (1) ,75 ,,411 ,,184 ,,227 ,△ 260, (37) ,419 , (35) ,251 , (2) ,168 , (13) ,369 , (13) ,250 ,,119 ,50,△ 210,
12月, (1) ,124 , (1) ,62 ,,62 ,,382 ,,189 ,,193 ,△ 258, (26) ,394 , (25) ,246 , (1) ,148 , (103) ,487 , (101) ,392 , (2) ,95 ,△ 93,△ 351,
　　注）１　秋田市市民課の資料に基づき、秋田市情報統計課が集計したものである。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　差引増減数は、各年の住民基本台帳人口と外国人登録人口の移動状況等による届け出を基に集計したものであるため、第７表（前頁）の対前年人口増減数とは一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　３　（　）は外国人の内数,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（２）婚姻と離婚件数,,,,,,,（３）秋田県内における平均初婚年齢,,,,,,,（４）出生・死亡に関する出現率,,,,,,,,,,,,,,
,,,,各年間,,,,,,,各年間　単位：歳　,,,,①,,③,,①,,②,,②,,②,,,
年次,婚姻件数,,離婚件数,,,,年次,夫,,妻,,,,年次,出生率,,合計特殊出生率,,死亡率,,脳血管疾患死亡率,,悪性新生物死亡率,,心疾患死亡率,,,
平成24年,,"1,535 ",,354 ,,,平成24年,,30.5 ,,28.8 ,,,平成24年,,7.1 ,,1.25 ,,10.6 ,,112.5 ,,326.9 ,,122.4 ,,
25,,"1,476 ",,471 ,,,25,,30.7 ,,28.8 ,,,25,,6.9 ,,1.25 ,,10.6 ,,119.6 ,,323.3 ,,116.8 ,,
26,,"1,467 ",,481 ,,,26,,31.0 ,,29.2 ,,,26,,7.2 ,,1.32 ,,11.2 ,,112.6 ,,337.0 ,,125.2 ,,
27,,"1,392 ",,545 ,,,27,,30.8 ,,29.3 ,,,27,,6.7 ,,1.32 ,,11.1 ,,105.1 ,,351.8 ,,133.6 ,,
28,,"1,310 ",,478 ,,,28,,30.8 ,,29.2 ,,,28,,6.6 ,,1.33 ,,11.5 ,,122.1 ,,337.0 ,,140.6 ,,
29,,"1,240 ",,520 ,,,29,,30.8 ,,29.2 ,,,29,,6.4 ,,1.30 ,,12.0 ,,114.1 ,,353.5 ,,151.0 ,,
30,,"1,194 ",,432 ,,,30,,31.1 ,,29.3 ,,,30,,6.2 ,,1.31 ,,11.6 ,,104.7 ,,339.1 ,,140.4 ,,
令和元年,,"1,272 ",,459 ,,,令和元年,,31.2 ,,29.7 ,,,令和元年,,5.9 ,,1.26 ,,12.1 ,,119.9 ,,345.2 ,,131.0 ,,
２,,"1,137 ",,435 ,,,２,,30.6 ,,29.0 ,,,２,,5.7 ,,1.23 ,,12.4 ,,115.4 ,,350.0 ,,148.9 ,,
３,,"1,086 ",,378 ,,,３,,30.9 ,,29.4 ,,,３,,5.7 ,,1.24 ,,13.0 ,,105.0 ,,379.9 ,,155.1 ,,
　資料　人口動態調査,,,,,,,　資料　人口動態調査,,,,,,,　資料　秋田市保健総務課,,,,,,,,,,,,,,
　　注）　夫の住民記録台帳が秋田市にある,,,,,,,,,,,,,,　　注）　単位：①は人口千人対、②は人口10万人対、③は１人の女性が一生の間に出産する子の数,,,,,,,,,,,,,,
　　　　　（あった）夫婦の取り扱い件数,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
