開設者名,施設名,市町村名,住所,電話番号,許可番号,許可区分,有効期間の開始日,有効期間の終了日
株式会社サノ・ファーマシー,佐野薬局　広面店,秋田市,広面字堤敷25番地１,018-831-8001,09-101-000003,薬局,6/1/19,5/31/25
株式会社サノ・ファーマシー,佐野薬局　将軍野店,秋田市,将軍野南五丁目12番31号　,018-847-1551,09-101-000004,薬局,6/13/19,6/12/25
株式会社サノ・ファーマシー,佐野薬局　マルナカ店,秋田市,中通二丁目１番36号 マグナスビル１階,018-835-3770,09-101-000005,薬局,8/1/19,7/31/25
有限会社西岡メディカル薬局,西岡メディカル薬局　秋田店,秋田市,将軍野青山町４番45号,018-880-5775,04-067200,薬局,9/1/19,8/31/25
株式会社サノ・ファーマシー,佐野薬局　大住店,秋田市,大住三丁目３番44号,018-838-1202,09-101-000062,薬局,9/5/19,9/4/25
株式会社いわま薬局,東通いわま薬局,秋田市,東通一丁目５番16号,018-827-3300,09-101-000006,薬局,9/9/19,9/8/25
株式会社至誠堂下山薬局本店,てらうち三千刈薬局,秋田市,寺内三千刈86番10号,018-853-8885,09-101-000007,薬局,9/9/19,9/8/25
紅屋商事株式会社,メガ調剤薬局　土崎店,秋田市,土崎港相染町字沼端77番地76,018-880-2115,09-101-000061,薬局,9/10/19,9/9/25
株式会社サノ・ファーマシー,佐野薬局　城東店,秋田市,広面字鍋沼93番地６,018-853-0038,09-101-000008,薬局,10/15/19,10/14/25
株式会社スマイルファーマシーＨＡＮＤＡ,半田薬局,秋田市,将軍野東一丁目５番18号,018-846-5778,04-076600,薬局,10/15/19,10/14/25
株式会社メディハーツ,すずらん薬局　泉店,秋田市,泉一ノ坪24番５号,018-869-7780,04-076700,薬局,10/25/19,10/24/25
株式会社サノ・ファーマシー,みんなの薬局　山王,秋田市,山王中園町３番３号,018-862-1711,09-101-000010,薬局,11/1/19,10/31/25
株式会社サノ・ファーマシー,佐野薬局　中通一丁目店,秋田市,中通一丁目２番16号,018-884-1133,09-101-000011,薬局,1/1/20,12/31/25
有限会社みどりケアサービス,アイ薬局,秋田市,泉字登木227番地２　 ソルナビル１階,018-853-9821,04-076800,薬局,1/1/20,12/31/25
株式会社サノ・ファーマシー,佐野薬局　桜三丁目店,秋田市,桜三丁目１番34号,018-874-8015,09-101-000063,薬局,3/6/20,3/5/26
株式会社ホーク,みその薬局,秋田市,八橋本町五丁目８番31号,018-896-4411,04-067600,薬局,4/1/20,3/31/26
那小屋　幸子,なごや調剤薬局,秋田市,泉南二丁目９番27号,018-863-9977,04-077100,薬局,4/1/20,3/31/26
有限会社コラボメイト,きさらぎ薬局,秋田市,土崎港中央一丁目21番30-02号,018-847-4563,09-101-000065,薬局,4/1/20,3/31/26
有限会社メディアス,しらゆき調剤薬局,秋田市,楢山川口境８番22号,018-853-4068,04-077000,薬局,4/1/20,3/31/26
有限会社至誠堂薬局,至誠堂薬局,秋田市,仁井田新田三丁目14番22号,018-889-6167,04-067700,薬局,4/1/20,3/31/26
株式会社ツルハ,調剤薬局ツルハドラッグ秋田御所野店,秋田市,御所野元町一丁目１番17号,018-892-6226,09-101-000013,薬局,4/9/20,4/8/26
有限会社中通薬局,中通よつば薬局,秋田市,中通六丁目７番17号,018-887-3737,04-068000,薬局,5/1/20,4/30/26
有限会社西岡メディカル薬局,西岡メディカル薬局秋田河辺店,秋田市,河辺北野田高屋字上前田表73番地４,018-827-6758,09-101-000064,薬局,6/8/20,6/7/26
有限会社とりうみファーマシー,みゆき調剤薬局,秋田市,仁井田本町三丁目26番35号,018-892-6789,04-068700,薬局,7/1/20,6/30/26
有限会社赤井,泉さくら薬局,秋田市,泉南二丁目１番29号,018-853-1450,09-101-000014,薬局,8/11/20,8/10/26
有限会社赤井,ニュータウンさくら薬局,秋田市,御所野地蔵田二丁目１番３－５号,018-853-0055,04-077500,薬局,9/1/20,8/31/26
株式会社エイチ＆エイチ,あかね調剤薬局　中通病院前店,秋田市,南通みその町１番４号,018-893-5110,09-101-000016,薬局,9/10/20,9/9/26
株式会社Ｎ＆Ｔ,つちざき南薬局,秋田市,土崎港南三丁目５番10号,018-845-7722,04-077600,薬局,10/1/20,9/30/26
有限会社赤井,さくら薬局　広面店,秋田市,広面字樋ノ沖28番地４,018-831-2501,09-101-000067,薬局,10/1/20,9/30/26
日本調剤株式会社,日本調剤　秋田薬局,秋田市,広面字蓮沼44番２,018-853-0386,09-101-000069,薬局,10/7/20,10/6/26
株式会社メディハーツ,すずらん薬局　クロッセ秋田店,秋田市,中通二丁目５番１号 クロッセ秋田,018-838-5788,09-101-000068,薬局,10/8/20,10/7/26
株式会社ファーマックス,ファーマックスあきた薬局,秋田市,飯島西袋一丁目１番５号,018-874-8765,09-101-000018,薬局,10/14/20,10/13/26
株式会社メディハーツ,すずらん薬局　厚生医療センター前店,秋田市,飯島西袋一丁目１番４号,018-857-5777,09-101-000019,薬局,10/14/20,10/13/26
有限会社京谷,中通きょうや薬局,秋田市,中通五丁目５番10号,018-887-4551,04-068900,薬局,10/21/20,10/20/26
株式会社Ｃ＆Ｃ,生々堂薬局,秋田市,中通四丁目１番51号,018-832-4290,09-101-000017,薬局,11/1/20,10/31/26
株式会社いわま薬局,サンパティオいわま薬局,秋田市,大町一丁目２番７号 サンパティオ大町Ａ棟２階,018-874-8878,09-101-000070,薬局,11/1/20,10/31/26
株式会社サノ・ファーマシー,佐野薬局　勝平店,秋田市,新屋豊町10番４号,018-883-5166,04-1000533,薬局,11/1/20,10/31/26
メデックス株式会社,しょうぐんの薬局,秋田市,将軍野南一丁目10番60号,018-846-7660,04-077700,薬局,11/2/20,11/1/26
合同会社ＹＹＹ,ヨルモカ薬局,秋田市,千秋久保田町５番52号,018-811-3708,09-101-000071,薬局,12/2/20,12/1/26
株式会社サノ・ファーマシー,佐野薬局　八橋大畑店,秋田市,八橋大畑二丁目３番２号,018-853-8603,09-101-000020,薬局,12/11/20,12/10/26
有限会社藤花会,藤井薬局　東通店,秋田市,東通一丁目22番１号,018-833-4193,04-069100,薬局,12/18/20,12/17/26
株式会社ピー・アンド・エス,たんぽぽ薬局,秋田市,新屋松美ガ丘東町２番９号,018-896-5025,09-101-000072,薬局,1/1/21,12/31/26
荒川　豊,中通薬局,秋田市,中通六丁目１番24号,018-835-8002,04-069000,薬局,1/1/21,12/31/26
株式会社池田薬局,池田薬局　広面店,秋田市,広面字谷地沖27番地３,018-825-5240,09-101-000073,薬局,2/1/21,1/31/27
株式会社ピー・アンド・エス,いずみメイプル薬局,秋田市,泉東町８番58号,018-874-8555,04-1000620,薬局,4/1/21,3/31/27
西口　一志,太海堂漢方,秋田市,広面字谷地田51番３号　１F,018-836-4970,04-069700,薬局,5/9/21,5/8/27
株式会社アミック,薬局エール　大学病院前店,秋田市,広面字蓮沼68番地２,018-884-7311,04-069800,薬局,6/1/21,5/31/27
株式会社ピー・アンド・エス,かりん薬局,秋田市,飯島新町一丁目１番１号,018-874-8678,04-1000635,薬局,6/1/21,5/31/27
株式会社奥羽エステート,山王たいよう薬局,秋田市,山王五丁目10番28号,018-863-3045,04-1000632,薬局,6/1/21,5/31/27
株式会社ツルハ,調剤薬局ツルハドラッグ秋田川尻店,秋田市,川尻御休町５番27号,018-896-4268,09-101-000075,薬局,6/7/21,6/6/27
株式会社サノ・ファーマシー,佐野薬局　広面樋ノ上店,秋田市,広面字樋ノ上11番,018-827-3851,09-101-000076,薬局,7/9/21,7/8/27
株式会社金星,金星堂薬局,秋田市,南ケ丘二丁目９番１号,018-892-7377,04-1000639,薬局,7/25/21,7/24/27
シップヘルスケアファーマシー東日本株式会社,すばる薬局,秋田市,土崎港中央六丁目２番１号,018-857-1422,09-101-000080,薬局,8/2/21,8/1/27
イオン東北株式会社,イオン薬局土崎港店,秋田市,土崎港南二丁目３番41号,018-846-9912,09-101-000079,薬局,9/1/21,8/31/27
イオン東北株式会社,イオン薬局御所野店,秋田市,御所野地蔵田一丁目１番１号,018-889-6602,09-101-000077,薬局,9/1/21,8/31/27
イオン東北株式会社,イオン薬局秋田中央店,秋田市,楢山川口境５番11号,018-884-1311,09-101-000078,薬局,9/1/21,8/31/27
有限会社市民薬局,おのば薬局,秋田市,御野場新町二丁目８番15号,018-892-7950,04-070300,薬局,9/1/21,8/31/27
有限会社赤井,さくら薬局　手形住吉店,秋田市,手形住吉町２番３号,018-874-7555,04-1000643,薬局,9/1/21,8/31/27
有限会社今薬局,有限会社今薬局,秋田市,千秋明徳町２番19号,018-833-2205,04-1000642,薬局,9/4/21,9/3/27
吉冨　典子,カウンセ薬局　さくら店,秋田市,桜一丁目１番６号,018-825-1310,09-101-000081,薬局,10/1/21,9/30/27
株式会社ツルハ,調剤薬局ツルハドラッグ秋田広面店,秋田市,広面字樋ノ沖93番地１,018-893-6932,09-101-000082,薬局,10/11/21,10/10/27
株式会社ファーマックス,ファーマックスくぼた薬局,秋田市,千秋久保田町６番12号,018-874-8881,09-101-000024,薬局,10/14/21,10/13/27
株式会社アインファーマシーズ,アイン薬局　中通店,秋田市,南通築地２番31号,018-884-7213,09-101-000025,薬局,11/1/21,10/31/27
株式会社新樹,大住調剤薬局,秋田市,大住四丁目12番51号,018-874-7611,04-1000649,薬局,11/1/21,10/31/27
株式会社メディワンプラス,なごみ調剤薬局,秋田市,広面字家ノ下35番地１,018-874-7016,09-101-000026,薬局,11/5/21,11/4/27
有限会社みどりケアサービス,みどりさわやか薬局,秋田市,川元松丘町４番57号,018-866-7571,04-052600,薬局,12/15/21,12/14/27
有限会社長尾薬局,有限会社長尾薬局,秋田市,将軍野南四丁目９番８号 ,018-847-1218,04-031800,薬局,12/27/21,12/26/27
株式会社サノ・ファーマシー,佐野薬局　原の町店,秋田市,保戸野鉄砲町10番６号,018-896-5568,09-101-000027,薬局,1/1/22,12/31/27
株式会社アミック,株式会社アミック　中通調剤薬局,秋田市,南通築地２番35号,018-831-0571,04-040100,薬局,1/10/22,1/9/28
株式会社メディハーツ,すずらん薬局　港北店,秋田市,土崎港北三丁目11番17号,018-816-0301,04-071000,薬局,1/16/22,1/15/28
有限会社緑ヶ丘薬局,有限会社緑ヶ丘薬局,秋田市,飯島緑丘町２番32号,018-845-3453,04-012000,薬局,1/17/22,1/16/28
有限会社那波薬局,有限会社那波薬局　八橋店,秋田市,八橋三和町18番12号,018-863-1521,04-001100,薬局,2/22/22,2/21/28
株式会社トップオブビュー,青山薬局　秋田駅トピコ店,秋田市,中通七丁目１番２号　 ステーションビルトピコ２Ｆ,018-832-6472,04-1000658,薬局,3/1/22,2/29/28
株式会社ツルハ,調剤薬局ツルハドラッグ東通店,秋田市,東通八丁目１番31号,018-884-3320,04-071100,薬局,3/4/22,3/3/28
有限会社プラムクリーク,日吉薬局,秋田市,新屋日吉町６番19号,018-828-4800,04-060700,薬局,3/13/22,3/12/28
有限会社加賀屋薬局,かがや薬局,秋田市,川元開和町１番５号,018-865-7231,04-053800,薬局,3/15/22,3/14/28
アポクリート株式会社,アイランド薬局　広面店,秋田市,広面字近藤堰越31番４,018-853-7350,09-101-000083,薬局,ggg2022年4月1日,ggg2028年3月31日
株式会社エムケイファーマシー,ヨコカナ薬局,秋田市,横森三丁目11番60号,018-827-4600,09-101-000084,薬局,ggg2022年4月1日,ggg2028年3月31日
株式会社グッドネイバー,小泉薬局　河辺店,秋田市,河辺北野田高屋字黒沼下堤下20番地15,018-882-4660,04-1000672,薬局,4/1/22,3/31/28
株式会社メディハーツ,すずらん薬局　新屋駅前店,秋田市,新屋扇町13番２号,018-874-9314,04-1000669,薬局,4/1/22,3/31/28
株式会社丸大サクラヰ薬局,ハッピー調剤薬局　秋田保戸野店,秋田市,保戸野原の町15番８号,018-827-6081,09-101-000085,薬局,5/6/22,5/5/28
株式会社サノ・ファーマシー,佐野薬局　保戸野千代田町店,秋田市,保戸野千代田町14番７号 エンプレス泉１階,018-874-8080,04-1000687,薬局,6/6/22,6/5/28
株式会社きららホールディングス,きらら調剤薬局　市立病院前店,秋田市,川元松丘町４番59号,018-853-8610,09-101-000087,薬局,6/10/22,6/9/28
熊澤　まゆこ,熊澤蕃山堂薬局,秋田市,東通七丁目１番22号,018-835-0110,09-101-000088,薬局,ggg2022年6月20日,ggg2028年6月19日
有限会社西岡メディカル薬局,西岡メディカル薬局　秋田・寺内店,秋田市,寺内堂ノ沢三丁目６番５号,018-880-6272,04-071500,薬局,6/22/22,6/21/28
株式会社青龍,ヒロコージ調剤薬局,秋田市,千秋久保田町３番15号,018-832-4591,09-101-000086,薬局,6/27/22,6/26/28
一般社団法人秋田県薬剤師会,秋田みなみ会営薬局,秋田市,上北手猿田字苗代沢207番地３,018-889-6220,04-061500,薬局,7/1/22,6/30/28
有限会社トゥー・ワン・コア,卸町薬局,秋田市,茨島四丁目４番28号,018-863-9500,04-046300,薬局,7/27/22,7/26/28
鎌田　隆治,鎌田グリーン薬局,秋田市,保戸野すわ町10番30号,018-862-5400,04-1000690,薬局,8/1/22,7/31/28
有限会社スライハンド,仁井田薬局,秋田市,仁井田新田二丁目15番24号,018-839-5491,04-071600,薬局,8/1/22,7/31/28
有限会社那波薬局,有限会社那波薬局,秋田市,大町四丁目４番19号,018-862-3219,04-046100,薬局,8/1/22,7/31/28
株式会社メディハーツ,すずらん薬局　壹騎町店,秋田市,土崎港中央六丁目14番15号,018-827-5527,09-101-000089,薬局,8/9/22,8/8/28
株式会社サノ・ファーマシー,佐野薬局　下新城店,秋田市,下新城長岡字毛無谷地264番地３,018-893-3267,04-1000692,薬局,8/16/22,8/15/28
有限会社かりゆし,スダ薬局,秋田市,外旭川字梶ノ目509番地３,018-868-4338,04-071800,薬局,9/1/22,8/31/28
有限会社加賀屋薬局,加賀千代薬局,秋田市,川尻上野町１番73号,018-862-1050,04-1000695,薬局,9/8/22,9/7/28
株式会社ワームス,きむら薬局,秋田市,茨島二丁目15番34号,018-853-6206,09-101-000030,薬局,9/14/22,9/13/28
株式会社ツルハ,調剤薬局ツルハドラッグ秋田広面北店,秋田市,広面字蓮沼94番地１,018-884-3255,04-1000696,薬局,9/23/22,9/22/28
株式会社池田薬局,池田薬局　通町店,秋田市,大町一丁目２番26号,018-853-4831,09-101-000031,薬局,10/1/22,9/30/28
株式会社池田薬局,池田薬局　ほのぼの店,秋田市,広面字蓮沼87番地１ ツインクリニックビル１階,018-884-0090,09-101-000033,薬局,10/1/22,9/30/28
株式会社池田薬局,池田薬局　山王中園店,秋田市,山王中園町10番28号,018-883-0780,09-101-000035,薬局,10/1/22,9/30/28
株式会社池田薬局,池田薬局　中通り店,秋田市,中通五丁目７番１号,018-835-3385,09-101-000036,薬局,10/1/22,9/30/28
株式会社サノ・ファーマシー,佐野薬局　東通店,秋田市,広面字野添54番地,018-853-1660,09-101-000037,薬局,10/13/22,10/12/28
株式会社ツルハ,調剤薬局ツルハドラッグ秋田仁井田店,秋田市,仁井田新田二丁目５番16号,018-827-7055,09-101-000090,薬局,10/14/22,10/13/28
株式会社ピー・アンド・エス,ラベンダー薬局,秋田市,泉南三丁目18番11号,018-867-8338,09-101-000038,薬局,11/1/22,10/31/28
有限会社ヘルスタウト,メディック薬局,秋田市,新屋勝平町４番19号,018-823-5570,04-056800,薬局,11/7/22,11/6/28
株式会社ホーク,かりほ橋薬局,秋田市,楢山登町５番24号,018-884-1515,04-072000,薬局,11/8/22,11/7/28
有限会社ファーマシステム,旭南ファミリー調剤薬局,秋田市,旭南三丁目２番70号,018-838-7015,09-101-000091,薬局,11/10/22,11/9/28
株式会社池田薬局,池田薬局　土崎店,秋田市,土崎港北二丁目17番16号,018-827-6275,09-101-000092,薬局,12/13/22,12/12/28
株式会社サノ・ファーマシー,佐野薬局　本店,秋田市,保戸野通町３番31号,018-823-9357,04-1000701,薬局,1/1/23,12/31/28
有限会社ネオユニバース,くるみ薬局,秋田市,仁井田新田二丁目14番34号,018-892-7373,04-072100,薬局,1/1/23,12/31/28
株式会社ツルハ,調剤薬局ツルハドラッグ秋田山王店,秋田市,山王五丁目７番16号,018-862-2682,09-101-000093,薬局,1/12/23,1/11/29
株式会社メディハーツ,すずらん薬局　土崎店,秋田市,土崎港中央六丁目８番７号,018-880-2101,04-072200,薬局,2/1/23,1/31/29
有限会社安保薬局,安保薬局,秋田市,中通六丁目13番22号,018-834-2572,04-047500,薬局,2/1/23,1/31/29
有限会社フレンズ,キャッスル調剤薬局,秋田市,中通一丁目３番５号　 キャッスルホテル２Ｆ,018-837-3366,04-1000707,薬局,3/20/23,3/19/29
有限会社吉村商事,スパーク薬局,秋田市,川元山下町７番32号 川元三幸ビル,018-864-0622,04-072600,薬局,3/21/23,3/20/29
株式会社ピー・アンド・エス,オレンジ薬局,秋田市,中通四丁目１番２号,018-884-1717,04-072700,薬局,3/22/23,3/21/29
株式会社ホーク,本山町薬局,秋田市,土崎港中央四丁目６番28号,018-880-2225,04-062200,薬局,3/23/23,3/22/29
株式会社サノ・ファーマシー,山王薬局,秋田市,山王二丁目１番49号,018-863-6132,09-101-000094,薬局,4/1/23,3/31/29
株式会社至誠堂下山薬局本店,旭川スダ薬局,秋田市,新藤田字大所38番地25,018-884-7666,09-101-000041,薬局,4/1/23,3/31/29
