都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
52124,3000300,秋田県,大仙市,大仙市立西仙北図書館,ニシセンボクトショカン,Nishisenboku Library,秋田県大仙市刈和野字愛宕下24-1,,39.54486,140.376225,大仙市,0187-75-0099,,FREESPOT,,https://www.city.daisen.lg.jp/docs/2013092300086/,
52124,3100100,秋田県,大仙市,西仙北ぬく森温泉　ユメリア,ニシセンボクヌクモリオンセン　ユメリア,Yumeria,秋田県大仙市刈和野字山北丿沢5-4,,39.564044,140.375556,大仙市,0187-87-3100,,Daisen08,"1階ロビー,客室一部,レストラン",http://www.yumeria.site/,
52124,4000100,秋田県,大仙市,大仙市役所中仙庁舎,ダイセンシヤクショナカセンシショ,Daisen city hall Nishisemboku branch,秋田県大仙市北長野字茶畑141,,39.54656,140.369507,大仙市,0187-56-2111,,FREESPOT,1階ホール,https://www.city.daisen.lg.jp/,
52124,4000200,秋田県,大仙市,大仙市立中仙市民会館ドンパル,ナカセンシミンカイカンドンパル,"Nakasen Civic Centre ""Donpal""",秋田県大仙市北長野字袴田95,,39.551162,140.548848,大仙市,0187-56-7200,,FREESPOT,エントランスホール,https://www.city.daisen.lg.jp/docs/2013111200106/,
52124,4100200,秋田県,大仙市,道の駅なかせん　ドンパン節の里,ミチノエキナカセン　ドンパンブシノサト,,秋田県大仙市長野字高畑95-1,,39.538696,140.532737,大仙市,0187-56-4515,,Daisen08,,http://nakasen.hana.jp/,
52124,5000100,秋田県,大仙市,大仙市役所協和庁舎,ダイセンシヤクショキョウワシショ,Daisen city hall Kyowa branch,秋田県大仙市協和境字野田4,,39.616441,140.320125,大仙市,018-892-2111,,FREESPOT,1階ホール,https://www.city.daisen.lg.jp/,
52124,5000200,秋田県,大仙市,大仙市協和市民センター和ピア,キョウワシミンセンターワピア,"Kyowa Civic Centre ""Wapia""",秋田県大仙市協和船岡字大袋1-7,,39.622451,140.315238,大仙市,018-892-3820,,FREESPOT,エントランスホール,https://www.city.daisen.lg.jp/docs/2013102600243/,
52124,5100100,秋田県,大仙市,協和温泉　四季の湯,キョウワオンセン　シキノユ,Shikinoyu,大仙市協和船岡字庄内214,,39.679414,140.386794,大仙市,018-893-2615,,Daisen08,全館,https://kyowasnow.net/shikinoyu/,
52124,5100200,秋田県,大仙市,道の駅協和　四季の森,ミチノエキキョウワ　シキノモリ,,秋田県大仙市協和荒川字新田表15-2,,39.618756,140.363161,大仙市,018-881-6646,,Daisen08,入口付近,,
52124,6000100,秋田県,大仙市,大仙市役所南外庁舎,ダイセンシヤクショナンガイシショ,Daisen city hall Nangai branch,秋田県大仙市南外字下袋218,,39.449806,140.364214,大仙市,0187-74-2111,,FREESPOT,1階ホール,https://www.city.daisen.lg.jp/,
52124,6000200,秋田県,大仙市,大仙市立南外公民館,ナンガイトショカン,Nangai public hall,秋田県大仙市南外字悪戸野127-6,,39.449093,140.363635,大仙市,0187-74-2130,,FREESPOT,,https://www.city.daisen.lg.jp/docs/2013122000122/,
52124,7000100,秋田県,大仙市,大仙市役所仙北庁舎,ダイセンシヤクショセンボクシショ,Daisen city hall Semboku branch,秋田県大仙市高梨字田茂木10,,39.462053,140.506458,大仙市,0187-63-3003,,FREESPOT,1階ホール,https://www.city.daisen.lg.jp/,
52124,7000200,秋田県,大仙市,大仙市立仙北図書館,センボクトショカン,Semboku Library,秋田県大仙市堀見内字下田茂木139,,39.466637,140.509284,大仙市,0187-69-3334,,FREESPOT,,https://www.city.daisen.lg.jp/docs/2013092300208/,
52124,7000300,秋田県,大仙市,大仙市仙北公民館仙北ふれあい文化センター,センボクコウミンカンフレアイブンカセンター,Semboku Fureai Bunka Centre,秋田県大仙市堀見内字元田茂木7-1,,39.466345,140.508921,大仙市,0187-69-3333,,FREESPOT,玄関ホール,https://www.city.daisen.lg.jp/docs/2013101600060/,
52124,7100100,秋田県,大仙市,史跡の里交流プラザ　柵の湯,シセキノサトコウリュウプラザ　サクノユ,Sakunoyu,秋田県大仙市板見内一ツ森149,,39.473107,140.536448,大仙市,0120-152-683,,Daisen08,全館,http://sakunoyu.com/,
52124,7100200,秋田県,大仙市,国指定名勝　旧池田氏庭園,クニシテイメイショウ　キュウイケダシテイエン,Former Ikeda Family Garden,秋田県大仙市高梨字大嶋1,,39.456893,140.509933,大仙市,0187-62-6257,,Daisen08,"受付棟,米蔵",https://www.city.daisen.lg.jp/docs/2020062400035/,
52124,8000100,秋田県,大仙市,大仙市役所太田庁舎,ダイセンシヤクショオオタシショ,Daisen city hall Oota branch,秋田県大仙市太田町太田字新田田尻3-4,,39.514374,140.597479,大仙市,0187-88-1111,,FREESPOT,玄関ホール,https://www.city.daisen.lg.jp/,
52124,8000200,秋田県,大仙市,大仙市太田図書館,オオタトショカン,Oota Library,秋田県大仙市太田町太田字新田下野50-3,,39.515733,140.597913,大仙市,0187-86-9460,,FREESPOT,,https://www.city.daisen.lg.jp/docs/2013092300154/,
52124,8100100,秋田県,大仙市,中里温泉,ナカサトオンセン,Nakasato-onsen,秋田県大仙市太田町中里字新屋敷114,,39.5006,140.585192,大仙市,0187-88-1471,,Daisen08,客室,,
52124,8000300,秋田県,大仙市,大仙市農業情報センター,ダイセンシノウギョウジョウホウセンター,Agriculture Public Relations Centre,秋田県大仙市太田町横沢字堀ノ内46,,39.500952,140.594091,大仙市,0187-86-9111,,FREESPOT,入口付近,https://www.city.daisen.lg.jp/docs/2013101400158/,
