都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考,
52124,11,秋田県,大仙市,はなだて保育園,ハナダテホイクエン,認可私立保育所,秋田県大仙市花館上町6-29,　,39.47276,140.46516,大曲駅から車で5分,駐車スペース20台,0187-62-1029,,0187-73-5338,,社会福祉法人大曲保育会,1976/4/1,120,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,12,秋田県,大仙市,大曲北保育園,オオマガリキタホイクエン,認可私立保育所,秋田県大仙市大花町12-1-23,　,39.46607,140.48119,大曲駅から徒歩11分,駐車スペース18台,0187-63-7870,,0187-73-5116,,社会福祉法人大曲保育会,1979/4/1,110,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,13,秋田県,大仙市,中仙東保育園,ナカセンヒガシホイクエン,認可私立保育所,秋田県大仙市豊川字野田野2-1,　,39.55197,140.6021,羽後長野駅から車で10分,駐車スペース20台,0187-57-2313,,0187-57-2831,,社会福祉法人大空大仙,2008/3/25,60,0歳から,月火水木金土,7:30,19:00,利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,,
52124,14,秋田県,大仙市,みつば保育園,ミツバホイクエン,認可私立保育所,秋田県大仙市大沢郷宿字山田178-1,　,39.52922,140.30459,刈和野駅から車で10分,駐車スペース40台,0187-87-7130,,0187-87-7131,,社会福祉法人大空大仙,2010/3/8,50,0歳から,月火水木金土,7:30,19:00,利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,,
52124,15,秋田県,大仙市,協和まほろばこども園,キョウワマホロバコドモエン,認定こども園（幼保連携型）,秋田県大仙市協和荒川字下谷地53,　,39.61095,140.34057,羽後境駅から車で5分,駐車スペース32台,018-892-3426,,018-892-3481,,社会福祉法人大空大仙,2018/4/1,110,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,,
52124,16,秋田県,大仙市,せんぼくちびっこらんどみどり園,センボクチビッコランドミドリエン,認定こども園（幼保連携型）,秋田県大仙市堀見内字藍野75-1,　,39.46384,140.51194,大曲駅から車で7分,駐車スペース50台,0187-69-2117,,0187-69-2117,,社会福祉法人大空大仙,2012/4/1,128,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,3歳以上児棟,
52124,17,秋田県,大仙市,せんぼくちびっこらんどわかば園,センボクチビッコランドワカバエン,認定こども園（幼保連携型）,秋田県大仙市高梨字大嶋367,　,39.45739,140.51102,大曲駅から車で8分,駐車スペース80台,0187-63-1143,,0187-63-1179,,社会福祉法人大空大仙,2012/4/1,77,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,3歳未満児棟,
52124,18,秋田県,大仙市,おおたわんぱくランドのびのび園　,オオタワンパクランドノビノビエン,認定こども園（幼保連携型）,秋田県大仙市太田町横沢字窪関南535-4,　,39.5101,140.59726,鑓見内駅から車で11分,駐車スペース17台,0187-88-2110,,0187-88-2116,,社会福祉法人大空大仙,2012/4/1,88,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,3歳以上児棟,
52124,19,秋田県,大仙市,おおたわんぱくランドすくすく園,オオタワンパクランドスクスクエン,認定こども園（幼保連携型）,秋田県大仙市太田町横沢字窪関南515-4,　,39.51041,140.59489,鑓見内駅から車で11分,駐車スペース8台,0187-88-1659,,0187-88-1659,,社会福祉法人大空大仙,2012/4/1,52,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,3歳未満児棟,
52124,20,秋田県,大仙市,すくすくだけっこ園,スクスクダケッコエン,認定こども園（幼保連携型）,秋田県大仙市神宮寺字中瀬古川敷31-4,　,39.49392,140.41697,神宮寺駅から車で4分,駐車スペース70台,0187-72-2244,,0187-72-2720,,社会福祉法人大空大仙,2011/4/1,150,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,,
52124,21,秋田県,大仙市,つきの木こども園,ツキノキコドモエン,認定こども園（幼保連携型）,秋田県大仙市南外字梨木田96-1,　,39.46081,140.37531,神宮寺駅から車で12分,駐車スペース50台,0187-73-1088,,0187-73-1081,,社会福祉法人大空大仙,2013/4/1,70,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,,
52124,22,秋田県,大仙市,なかせんワイワイらんど,ナカセンワイワイランド,認定こども園（幼保連携型）,秋田県大仙市長野字新山131,　,39.54149,140.54224,羽後長野駅から徒歩11分,駐車スペース60台,0187-56-4139,,0187-56-4307,,社会福祉法人大空大仙,2011/4/1,130,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,,
52124,23,秋田県,大仙市,西仙あおぞらこども園,ニシセンアオゾラコドモエン,認定こども園（幼保連携型）,秋田県大仙市刈和野字川原田27-1,　,39.54846,140.37026,刈和野駅から徒歩4分,駐車スペース12台,0187-75-1107,,0187-75-1107,,社会福祉法人大空大仙,2016/3/24,110,0歳から,月火水木金土,7:30,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oozoradaisen.jp/,,
52124,24,秋田県,大仙市,日の出ベビー保育園,ヒノデベビーホイクエン,認可私立保育所,秋田県大仙市大曲日の出町1丁目35-45,　,39.44553,140.47933,大曲駅から車で7分,駐車スペース20台,0187-62-3529,,0187-62-5021,,社会福祉法人大仙ファミリーサポート,2010/3/25,45,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,https://www.ans.co.jp/n/hinodebaby/top.html,,
52124,25,秋田県,大仙市,どれみ保育園,ドレミホイクエン,認可私立保育所,秋田県大仙市四ツ屋字下新谷地169-29,　,39.49046,140.49608,北大曲駅から徒歩5分,駐車スペース20台,0187-62-7530,,0187-62-7530,,個人,2006/4/1,50,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,http://www.doremihoikuen.akita.jp/,,
52124,26,秋田県,大仙市,かえで保育園大曲,カエデホイクエンオオマガリ,認可私立保育所,秋田県大仙市大花町3番46-9,　,39.4637,140.48507,大曲駅から徒歩10分,駐車スペース9台,0187-73-7151,,0187-73-7157,,株式会社かえで,2020/10/9,49,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,https://www.kaede-kp.com,,
52124,27,秋田県,大仙市,きらきら保育園大曲,キラキラホイクエンオオマガリ,認可私立保育所,秋田県大仙市大曲通町12-36,　,39.46608,140.47787,大曲駅から徒歩3分,駐車スペース10台,0187-73-5684,,0187-62-5056,,株式会社JAWA秋田,2015/4/1,12,0歳から,月火水木金土,7:00,20:00,利用区分により利用時間が異なる,有,https://jawa-akita.com/daycare/,小規模保育事業（0歳児～2歳児まで受入）,
52124,28,秋田県,大仙市,おばここども園,オバココドモエン,認可私立保育所,秋田県大仙市四ツ屋字上古道194-2,　,39.49493,140.50074,北大曲駅から徒歩10分,駐車スペース5台,0187-88-8366,,0187-88-8356,,秋田おばこ農業協同組合,2016/3/24,15,0歳から,月火水木金土,7:30,19:00,土曜日は16:30まで。利用区分により利用時間が異なる,有,,事業所内保育事業（0歳児～2歳児まで受入）,
52124,29,秋田県,大仙市,なごみ保育園,ナゴミホイクエン,認可外保育所,秋田県大仙市大曲船場町一丁目1番4号,　,39.45747,140.47172,大曲駅から車で5分,駐車スペース台,0187-78-7853,,0187-73-7854,,社会福祉法人あけぼの会,2018/6/1,12,0歳から,月火水木金土日,8:00,19:00,利用区分により利用時間が異なる,有,http://nagomi-a.jp/nagomi_hoiku_main/info.html,企業主導型（0歳児～3歳児まで受入）,
