都道府県又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_ｶﾅ,名称_英語,住所,説明
5212,11,秋田県,大仙市,唐松神社,カラマツジンジャ,Karamatsu Shrine,秋田県大仙市協和境下台84,樹齢300年を超える秋田県指定天然記念物の杉並木が並ぶ参道を通ると、秋田物部氏が天地の神々を祀ったものといわれる天日宮（あまつひのみや）へたどり着きます。境内を進むと下り階段があり、それを降りた先に本殿がある全国的にも珍しい造りです。
5212,12,秋田県,大仙市,協和スキー場,キョウワスキージョウ,,秋田県大仙市協和船岡字上庄内71-1,ペアリフト2基、全9コースをそろえ、初心者から上級者まで楽しめるコースレイアウトです。協和スノーフェスタ等様々なイベントを開催しています。スキー、スノーボードスクール等も充実しており、一般レッスンのほか、プライベートレッスン、ジュニアレッスン等、様々な年代の方が経験豊富なコーチによる充実したレッスンを受けることができます。
5212,13,秋田県,大仙市,道の駅協和「四季の森」,ミチノエキキョウワ「シキノモリ」,"Kyowa Roadside Rest Area ""Shiki no mori""",秋田県大仙市協和荒川字新田表15-2,道の駅協和は、情報発信及び地域連携機能を併せ持つ、にぎわいと快適空間を提供する施設です。旧石器時代の遺跡で知られる米ヶ森のすそ野にあり、隣接する米ヶ森公園は自然に触れ合える安らぎの空間となっています。
5212,14,秋田県,大仙市,出羽鶴酒造,デワヅルシュゾウ,,秋田県大仙市戸地谷天ケ沢83-1,慶応元年（1865年）に伊藤家当主・伊藤重四郎により、ヤマト酒造店として創業しました。当初の銘柄は「松乃友」でしたが、大正年間に「鶴のように気品が高く、芳醇である酒になるように」との願いをこめて「出羽鶴」という酒名となりました。　和醸良酒を合言葉に、蔵人・契約農家が栽培する米を使用し、純米酒を中心とした酒造りを行っております。
5212,15,秋田県,大仙市,国指定史跡　払田柵跡,クニシテイシセキ　ホッタノサクアト,National Historical Site Hotta no Saku,秋田県大仙市払田字仲谷地95,平安時代のはじめに、蝦夷（エミシ）支配のために建てられた城柵遺跡です。材木塀や高さ９．７mの外柵南門、延長約２００mの大路などが復元され、小さなお子様も安心の広々芝生で、秋田の平安時代を広大なスケールで体感できます。
5212,16,秋田県,大仙市,史跡の里交流プラザ　柵の湯,シセキノサトコウリュウプラザ　サクノユ,Siseki no sato Kouryu Plaza Saku no Yu,秋田県大仙市板見内字一ツ森149,豊かな田園地帯の中にたたずむ、国指定史跡「払田柵跡」からほど近い距離にある源泉100％の温泉です。払田柵をイメージして作られた館内は天井が高く客室も広々としており、ゆったり過ごしたい方におススメです。
5212,17,秋田県,大仙市,国指定名勝　旧池田氏庭園,クニシテイメイショウ　キュウイケダシテイエン,"Nationally Sited of Scenic Beauty
Ikeda Family Gardens Hotta Branch Gardens",秋田県大仙市高梨字大嶋１,本家庭園は、東北三大地主と称された池田氏の旧邸宅敷地で、国指定名勝の池泉回遊式の近代日本庭園です。一般公開は4月下旬から11月中旬までで、庭園内に配された高さ約4ｍの大型雪見灯籠や大正時代の趣ある旧池田家住宅洋館は、見る人すべてに驚きと感動を与えます。
5212,18,秋田県,大仙市,大台スキー場,オオダイスキージョウ,,秋田県大仙市太田町川口字大台地内1-2,仙北平野を一望できる、放感のあるゲレンデ。初心者から上級者まで楽しめる多彩なコースレイアウト。県内一の長さを誇るナイターは、全長1.4kmあります。スキー・スノーボード教室や各種大会など、様々なイベントを開催。
5212,19,秋田県,大仙市,川口温泉　奥羽山荘,カワグチオンセン　オウウサンソウ,Ousanso,秋田県大仙市太田町太田字惣行大谷地10-5,
5212,20,秋田県,大仙市,中里温泉,ナカサトオンセン,Nakazato Onsen,秋田県大仙市太田町中里字新屋敷114 ,仙北平野ののどかな田園風景の中で身体の芯から温まる温泉とおいしい食事がオススメです。
5212,21,秋田県,大仙市,薬師連山,ヤクシレンザン,,秋田県大仙市太田町,
5212,22,秋田県,大仙市,真木渓谷,マギケイコク,Magi Valley,秋田県大仙市太田町,
5212,23,秋田県,大仙市,川口渓谷,カワグチケイコク,Kawaguchi Valley,秋田県大仙市太田町,
,,,,,,,,
