市町村コード,都道府県名,市町村名,地域,施設名,年度,利用者数
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2020(令和2）,"14,683"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2021(令和3）,"13,972"
052124,秋田県,大仙市,大曲地域,女性センター,2005(平成17),"9,640"
052124,秋田県,大仙市,大曲地域,女性センター,2006(平成18）,"10,112"
052124,秋田県,大仙市,大曲地域,女性センター,2007(平成19）,"8,971"
052124,秋田県,大仙市,大曲地域,女性センター,2008(平成20）,"9,438"
052124,秋田県,大仙市,大曲地域,女性センター,2009(平成21）,"9,325"
052124,秋田県,大仙市,大曲地域,女性センター,2010(平成22）,"8,020"
052124,秋田県,大仙市,大曲地域,女性センター,2011(平成23）,"5,841"
052124,秋田県,大仙市,大曲地域,女性センター,2012(平成24）,"5,127"
052124,秋田県,大仙市,大曲地域,女性センター,2013(平成25）,"6,129"
052124,秋田県,大仙市,大曲地域,女性センター,2014(平成26）,"6,284"
052124,秋田県,大仙市,大曲地域,女性センター,2015(平成27）,"6,353"
052124,秋田県,大仙市,大曲地域,女性センター,2016(平成28）,-
052124,秋田県,大仙市,大曲地域,女性センター,2017(平成29）,-
052124,秋田県,大仙市,大曲地域,女性センター,2018(平成30）,-
052124,秋田県,大仙市,大曲地域,女性センター,2019(令和1）,-
052124,秋田県,大仙市,大曲地域,女性センター,2020(令和2）,-
052124,秋田県,大仙市,大曲地域,女性センター,2021(令和3）,-
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2005(平成17),"44,743"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2006(平成18）,"35,783"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2007(平成19）,"38,660"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2008(平成20）,"37,951"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2009(平成21）,"37,641"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2010(平成22）,"40,660"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2011(平成23）,"42,304"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2012(平成24）,"39,968"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2013(平成25）,"39,776"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2014(平成26）,"38,569"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2015(平成27）,"32,107"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2016(平成28）,"34,127"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2017(平成29）,"33,585"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2018(平成30）,"36,647"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2019(令和1）,"32,270"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2020(令和2）,"25,764"
052124,秋田県,大仙市,大曲地域,サンクエスト大曲,2021(令和3）,"17,961"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2005(平成17),"55,400"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2006(平成18）,"55,600"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2007(平成19）,"53,150"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2008(平成20）,"60,889"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2009(平成21）,"55,820"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2010(平成22）,"50,684"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2011(平成23）,"50,977"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2012(平成24）,"56,784"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2013(平成25）,"59,389"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2014(平成26）,"51,208"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2015(平成27）,"55,408"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2016(平成28）,"51,808"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2017(平成29）,"44,637"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2018(平成30）,"50,221"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2019(令和1）,"46,620"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2020(令和2）,"27,856"
052124,秋田県,大仙市,大曲地域,大曲交流センター,2021(令和3）,"27,351"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2005(平成17),-
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2006(平成18）,-
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2007(平成19）,-
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2008(平成20）,-
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2009(平成21）,-
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2010(平成22）,"7,826"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2011(平成23）,"41,200"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2012(平成24）,"43,384"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2013(平成25）,"41,297"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2014(平成26）,"40,483"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2015(平成27）,"45,247"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2016(平成28）,"40,306"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2017(平成29）,"42,064"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2018(平成30）,"41,805"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2019(令和1）,"35,231"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2020(令和2）,"23,790"
052124,秋田県,大仙市,大曲地域,はぴねす大仙,2021(令和3）,"27,140"
052124,秋田県,大仙市,大曲地域,はなび・アム,2005(平成17),-
052124,秋田県,大仙市,大曲地域,はなび・アム,2006(平成18）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2007(平成19）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2008(平成20）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2009(平成21）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2010(平成22）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2011(平成23）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2012(平成24）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2013(平成25）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2014(平成26）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2015(平成27）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2016(平成28）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2017(平成29）,-
052124,秋田県,大仙市,大曲地域,はなび・アム,2018(平成30）,"46,320"
052124,秋田県,大仙市,大曲地域,はなび・アム,2019(令和1）,"53,562"
052124,秋田県,大仙市,大曲地域,はなび・アム,2020(令和2）,"25,509"
052124,秋田県,大仙市,大曲地域,はなび・アム,2021(令和3）,"27,136"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2005(平成17),"16,294"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2006(平成18）,"14,323"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2007(平成19）,"13,267"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2008(平成20）,"13,345"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2009(平成21）,"15,414"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2010(平成22）,"12,141"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2011(平成23）,"14,969"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2012(平成24）,"15,139"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2013(平成25）,"15,818"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2014(平成26）,"15,358"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2015(平成27）,"13,922"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2016(平成28）,"14,713"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2017(平成29）,"15,999"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2018(平成30）,"14,173"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2019(令和1）,"13,000"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2020(令和2）,"9,493"
052124,秋田県,大仙市,神岡地域,神岡農村環境改善センター,2021(令和3）,"6,561"
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2005(平成17),189
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2006(平成18）,206
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2007(平成19）,406
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2008(平成20）,466
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2009(平成21）,619
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2010(平成22）,600
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2011(平成23）,747
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2012(平成24）,372
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2013(平成25）,334
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2014(平成26）,690
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2015(平成27）,408
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2016(平成28）,302
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2017(平成29）,660
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2018(平成30）,455
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2019(令和1）,0
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2020(令和2）,0
052124,秋田県,大仙市,西仙北地域,青少年自然の家,2021(令和3）,-
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2005(平成17),-
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2006(平成18）,"1,818"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2007(平成19）,"1,917"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2008(平成20）,"1,160"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2009(平成21）,"1,697"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2010(平成22）,"1,319"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2011(平成23）,"1,239"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2012(平成24）,"1,155"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2013(平成25）,"1,337"
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2014(平成26）,941
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2015(平成27）,894
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2016(平成28）,634
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2017(平成29）,944
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2018(平成30）,412
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2019(令和1）,132
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2020(令和2）,178
052124,秋田県,大仙市,西仙北地域,小杉山生涯学習センター,2021(令和3）,515
052124,秋田県,大仙市,中仙地域,ドンパル,2005(平成17),"68,445"
052124,秋田県,大仙市,中仙地域,ドンパル,2006(平成18）,"69,472"
052124,秋田県,大仙市,中仙地域,ドンパル,2007(平成19）,"63,239"
052124,秋田県,大仙市,中仙地域,ドンパル,2008(平成20）,"61,350"
052124,秋田県,大仙市,中仙地域,ドンパル,2009(平成21）,"55,713"
052124,秋田県,大仙市,中仙地域,ドンパル,2010(平成22）,"43,402"
052124,秋田県,大仙市,中仙地域,ドンパル,2011(平成23）,"51,113"
052124,秋田県,大仙市,中仙地域,ドンパル,2012(平成24）,"57,459"
052124,秋田県,大仙市,中仙地域,ドンパル,2013(平成25）,"54,729"
052124,秋田県,大仙市,中仙地域,ドンパル,2014(平成26）,"55,330"
052124,秋田県,大仙市,中仙地域,ドンパル,2015(平成27）,"58,964"
052124,秋田県,大仙市,中仙地域,ドンパル,2016(平成28）,"58,794"
052124,秋田県,大仙市,中仙地域,ドンパル,2017(平成29）,"51,838"
052124,秋田県,大仙市,中仙地域,ドンパル,2018(平成30）,"47,175"
052124,秋田県,大仙市,中仙地域,ドンパル,2019(令和1）,"36,120"
052124,秋田県,大仙市,中仙地域,ドンパル,2020(令和2）,"14,375"
052124,秋田県,大仙市,中仙地域,ドンパル,2021(令和3）,"21,693"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2005(平成17),"37,885"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2006(平成18）,"37,786"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2007(平成19）,"55,269"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2008(平成20）,"56,569"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2009(平成21）,"62,562"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2010(平成22）,"36,588"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2011(平成23）,"39,591"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2012(平成24）,"30,476"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2013(平成25）,"29,677"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2014(平成26）,"9,239"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2015(平成27）,"8,943"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2016(平成28）,"7,903"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2017(平成29）,"11,982"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2018(平成30）,"11,339"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2019(令和1）,"10,896"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2020(令和2）,"6,875"
052124,秋田県,大仙市,中仙地域,農村環境改善センター,2021(令和3）,"31,322"
052124,秋田県,大仙市,協和地域,和ピア,2005(平成17),"30,685"
052124,秋田県,大仙市,協和地域,和ピア,2006(平成18）,"22,963"
052124,秋田県,大仙市,協和地域,和ピア,2007(平成19）,"26,884"
052124,秋田県,大仙市,協和地域,和ピア,2008(平成20）,"26,984"
052124,秋田県,大仙市,協和地域,和ピア,2009(平成21）,"24,851"
052124,秋田県,大仙市,協和地域,和ピア,2010(平成22）,"25,699"
052124,秋田県,大仙市,協和地域,和ピア,2011(平成23）,"28,284"
052124,秋田県,大仙市,協和地域,和ピア,2012(平成24）,"25,649"
052124,秋田県,大仙市,協和地域,和ピア,2013(平成25）,"27,040"
052124,秋田県,大仙市,協和地域,和ピア,2014(平成26）,"32,717"
052124,秋田県,大仙市,協和地域,和ピア,2015(平成27）,"28,219"
052124,秋田県,大仙市,協和地域,和ピア,2016(平成28）,"30,219"
052124,秋田県,大仙市,協和地域,和ピア,2017(平成29）,"28,491"
052124,秋田県,大仙市,協和地域,和ピア,2018(平成30）,"21,507"
052124,秋田県,大仙市,協和地域,和ピア,2019(令和1）,"22,432"
052124,秋田県,大仙市,協和地域,和ピア,2020(令和2）,"8,513"
052124,秋田県,大仙市,協和地域,和ピア,2021(令和3）,"23,974"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2005(平成17),"13,680"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2006(平成18）,"11,635"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2007(平成19）,"10,827"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2008(平成20）,"9,971"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2009(平成21）,"9,788"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2010(平成22）,"10,208"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2011(平成23）,"6,570"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2012(平成24）,"6,555"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2013(平成25）,"6,519"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2014(平成26）,"6,847"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2015(平成27）,"6,781"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2016(平成28）,"5,960"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2017(平成29）,"8,435"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2018(平成30）,"7,879"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2019(令和1）,"8,717"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2020(令和2）,"2,353"
052124,秋田県,大仙市,南外地域,南外コミュニティセンター,2021(令和3）,"3,156"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2005(平成17),"45,103"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2006(平成18）,"33,920"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2007(平成19）,"48,640"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2008(平成20）,"46,568"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2009(平成21）,"33,895"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2010(平成22）,"44,020"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2011(平成23）,"58,348"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2012(平成24）,"58,533"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2013(平成25）,"54,674"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2014(平成26）,"56,413"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2015(平成27）,"52,613"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2016(平成28）,"50,070"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2017(平成29）,"46,390"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2018(平成30）,"46,089"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2019(令和1）,"43,177"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2020(令和2）,"28,078"
052124,秋田県,大仙市,仙北地域,ふれあい文化センター,2021(令和3）,"202,875"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2005(平成17),"19,235"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2006(平成18）,"16,077"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2007(平成19）,"17,709"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2008(平成20）,"13,097"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2009(平成21）,"18,765"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2010(平成22）,"20,865"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2011(平成23）,"16,061"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2012(平成24）,"14,708"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2013(平成25）,"18,110"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2014(平成26）,"18,558"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2015(平成27）,"19,002"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2016(平成28）,"19,346"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2017(平成29）,"20,787"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2018(平成30）,"16,928"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2019(令和1）,"14,615"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2020(令和2）,"6,922"
052124,秋田県,大仙市,太田地域,太田文化プラザ,2021(令和3）,"8,170"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2005(平成17),"1,981"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2006(平成18）,"1,962"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2007(平成19）,"2,181"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2008(平成20）,"2,283"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2009(平成21）,"2,157"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2010(平成22）,"1,554"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2011(平成23）,"1,377"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2012(平成24）,967
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2013(平成25）,759
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2014(平成26）,950
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2015(平成27）,962
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2016(平成28）,"1,137"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2017(平成29）,"1,664"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2018(平成30）,"2,167"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2019(令和1）,"1,334"
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2020(令和2）,318
052124,秋田県,大仙市,太田地域,東部地区生活改善センター,2021(令和3）,189
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2005(平成17),"8,407"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2006(平成18）,"7,267"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2007(平成19）,"8,183"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2008(平成20）,"6,860"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2009(平成21）,"10,402"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2010(平成22）,"8,710"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2011(平成23）,"6,426"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2012(平成24）,"7,538"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2013(平成25）,"8,311"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2014(平成26）,"7,597"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2015(平成27）,"7,778"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2016(平成28）,"6,178"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2017(平成29）,"5,593"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2018(平成30）,"6,692"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2019(令和1）,"6,130"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2020(令和2）,"3,221"
052124,秋田県,大仙市,太田地域,北部地区多目的研修センター,2021(令和3）,"2,924"
052124,秋田県,大仙市,太田地域,太田生活改善センター,2005(平成17),-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2006(平成18）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2007(平成19）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2008(平成20）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2009(平成21）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2010(平成22）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2011(平成23）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2012(平成24）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2013(平成25）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2014(平成26）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2015(平成27）,-
052124,秋田県,大仙市,太田地域,太田生活改善センター,2016(平成28）,"4,909"
052124,秋田県,大仙市,太田地域,太田生活改善センター,2017(平成29）,"5,151"
052124,秋田県,大仙市,太田地域,太田生活改善センター,2018(平成30）,"4,814"
052124,秋田県,大仙市,太田地域,太田生活改善センター,2019(令和1）,"5,510"
052124,秋田県,大仙市,太田地域,太田生活改善センター,2020(令和2）,"2,793"
052124,秋田県,大仙市,太田地域,太田生活改善センター,2021(令和3）,"3,670"
052124,秋田県,大仙市,太田地域,敬愛館,2005(平成17),"8,207"
052124,秋田県,大仙市,太田地域,敬愛館,2006(平成18）,"8,300"
052124,秋田県,大仙市,太田地域,敬愛館,2007(平成19）,"7,381"
052124,秋田県,大仙市,太田地域,敬愛館,2008(平成20）,"7,572"
052124,秋田県,大仙市,太田地域,敬愛館,2009(平成21）,"7,258"
052124,秋田県,大仙市,太田地域,敬愛館,2010(平成22）,"6,421"
052124,秋田県,大仙市,太田地域,敬愛館,2011(平成23）,"5,575"
052124,秋田県,大仙市,太田地域,敬愛館,2012(平成24）,"6,276"
052124,秋田県,大仙市,太田地域,敬愛館,2013(平成25）,"6,356"
052124,秋田県,大仙市,太田地域,敬愛館,2014(平成26）,"5,115"
052124,秋田県,大仙市,太田地域,敬愛館,2015(平成27）,"4,823"
052124,秋田県,大仙市,太田地域,敬愛館,2016(平成28）,"4,656"
052124,秋田県,大仙市,太田地域,敬愛館,2017(平成29）,"6,376"
052124,秋田県,大仙市,太田地域,敬愛館,2018(平成30）,"4,190"
052124,秋田県,大仙市,太田地域,敬愛館,2019(令和1）,"3,664"
052124,秋田県,大仙市,太田地域,敬愛館,2020(令和2）,"1,891"
052124,秋田県,大仙市,太田地域,敬愛館,2021(令和3）,"2,743"
