年度,産業大分類,事業所数(所),従業者総数（人）,男性従業者総数（人）,女性従業者総数（人）,うち個人業主(人),男性個人業主(人),女性個人業主(人),うち無給の家族従業者(人),無給の男性家族従業者(人),無給の女性家族従業者(人),うち雇用者(人),男性雇用者(人),女性雇用者(人),うち常用雇用者(人),男性常用雇用者(人),女性常用雇用者(人),うち正社員・正職員(人),男性正社員・男性正職員(人),女性正社員・女性正職員(人)
2016,製造業,341,"5,332","2,902","2,420",124,109,15,57,21,36,"4,841","2,548","2,283","4,775","2,517","2,248","4,107","2,357","1,743"
2016,電気・ガス・熱供給・水道業,4,180,159,21,-,-,-,-,-,-,180,159,21,180,159,21,166,155,11
2016,情報通信業,14,51,34,17,2,2,-,1,-,1,41,27,14,41,27,14,34,27,7
2016,運輸業・郵便業,78,"1,113",974,139,9,8,1,3,1,2,"1,047",928,119,"1,042",924,118,884,818,66
2016,卸売業・小売業,"1,161","7,249","3,530","3,703",526,364,162,246,56,190,"5,954","2,766","3,172","5,733","2,620","3,097","2,744","1,793",935
2016,金融業・保険業,74,604,217,387,11,11,-,5,-,5,562,186,376,561,185,376,416,172,244
2016,不動産業・物品賃貸業,97,630,319,309,25,15,10,5,1,4,514,249,263,514,249,263,285,201,82
2016,"宿泊業,飲食サービス業",445,"2,310",778,"1,517",304,142,162,91,21,70,"1,853",574,"1,264","1,744",555,"1,174",492,251,237
2016,医療，福祉,290,"5,636","1,436","4,200",105,87,18,10,-,10,"5,367","1,255","4,112","5,266","1,246","4,020","3,923","1,019","2,904"
2016,教育，学習支援業,73,515,156,359,40,15,25,6,3,3,457,128,329,438,122,316,214,74,140
2016,複合サービス事業,54,668,406,262,14,1,13,2,-,2,651,405,246,643,404,239,404,298,106
2016,サービス業（他に分類されないもの）,281,"1,885","1,313",562,83,79,4,30,6,24,"1,573","1,067",496,"1,526","1,053",463,965,741,214
2016,学術研究、専門・技術ｻｰﾋﾞｽ業,129,804,534,270,67,62,5,14,2,12,639,409,230,597,367,230,483,330,153
2016,生活関連ｻｰﾋﾞｽ業、娯楽業,573,"1,667",608,"1,059",461,86,375,67,15,52,"1,083",466,617,"1,057",454,603,608,323,285
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
