７　人　口　・　世　帯　の　推　移,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
50,"262,623 ","126,258 ","136,365 ","7,922",3.1,"79,558 ",3.30 ,28,"313,144 ","147,656 ","165,488 ","△ 2,239",△ 0.7,"135,591 ",2.31 
51,"267,919 ","129,099 ","138,820 ","5,296",2.0,"81,880 ",3.27 ,29,"310,634 ","146,414 ","164,220 ","△ 2,510",△ 0.8,"135,976 ",2.28 
52,"272,682 ","131,624 ","141,058 ","4,763",1.8,"84,065 ",3.24 ,30,"307,940 ","145,220 ","162,720 ","△ 2,694",△ 0.9,"136,261 ",2.26 
53,"276,964 ","133,782 ","143,182 ","4,282",1.6,"85,949 ",3.22 ,令和元年,"305,625 ","144,125 ","161,500 ","△ 2,315",△ 0.8,"136,628 ",2.24 
54,"281,267 ","135,914 ","145,353 ","4,303",1.6,"87,754 ",3.21 ,２,"307,278 ","145,235 ","162,043 ","1,653",0.5,"137,022 ",2.24 
55,"285,866 ","138,350 ","147,516 ","4,599",1.6,"92,879 ",3.08 ,３,"305,062 ","144,185 ","160,877 ","△ 2,216",△ 0.7,"137,904 ",2.21 
56,"288,506 ","139,451 ","149,055 ","2,640",0.9,"93,543 ",3.08 ,４,"302,394 ","142,911 ","159,483 ","△ 2,668",△ 0.9,"138,579 ",2.18 
57,"291,218 ","140,453 ","150,765 ","2,712",0.9,"94,629 ",3.08 ,,,,,,,,
　資料　秋田市情報統計課,,,,,,,,,,,,,,,
　　注）１  明治34年～昭和20年は秋田市の事務報告書、昭和27年～35年は配給台帳人口、36年以降は国勢調査後の推計人口である。,,,,,,,,,,,,,,,
　　　　２　平成17年は、旧河辺町・雄和町との合併(１月11日施行)により対前年人口増減率は4.7％の増となっているが、これを旧秋田市人口で比較すると0.1％の減である。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
