,,,,人　口　世　帯　表,,,,,,,,,,,,
,八      橋,"4,493 ","9,359 ","4,455 ","4,904 ",河　　　辺,,"2,943 ","8,479 ","4,002 ","4,477 ",,,,,
東部地域,東部地域計,"29,604 ","64,210 ","30,505 ","33,705 ",雄　　　和,,"1,859 ","6,858 ","3,217 ","3,641 ",,,,,
,東      通,"3,276 ","6,176 ","2,951 ","3,225 ",,,,,,,,,,,
,手      形,"2,564 ","4,213 ","2,275 ","1,938 ",,,,,,,,,,,
,手 形（字）,"3,198 ","5,889 ","2,916 ","2,973 ",,○　前月人口増減の内訳,,,,,,,,,
,手  形  山,928 ,"1,964 ",865 ,"1,099 ",,,計,男,女,,,,,,
,泉（旭 川）,"1,238 ","2,872 ","1,325 ","1,547 ",,転    入,454 ,240 ,214 ,,,,,,
,旭      川,978 ,"2,374 ","1,120 ","1,254 ",,転    出,586 ,288 ,298 ,,,,,,
,新  藤  田,455 ,"1,096 ",491 ,605 ,,出    生,158 ,89 ,69 ,,,,,,
,濁      川,770 ,"1,889 ",887 ,"1,002 ",,死    亡,325 ,168 ,157 ,,,,,,
,添      川,761 ,"2,253 ",994 ,"1,259 ",,社会動態,-132 ,-48 ,-84 ,,,,,,
,山      内,95 ,369 ,152 ,217 ,,自然動態,-167 ,-79 ,-88 ,,,,,,
,仁      別,52 ,134 ,55 ,79 ,,増 減 計,-299 ,-127 ,-172 ,,,,,,
,広      面,"7,205 ","14,268 ","6,717 ","7,551 ",,,,,,,,,,,
,柳      田,743 ,"2,027 ",920 ,"1,107 ",,○　平成２７年１月１日からの累計,,,,,,,,,
,横      森,"1,771 ","3,849 ","1,827 ","2,022 ",,,計,男,女,,,,,,
,桜,"1,531 ","3,331 ","1,560 ","1,771 ",,転    入,"9,666 ","5,349 ","4,317 ",,,,,,
,桜  ガ  丘,909 ,"2,502 ","1,167 ","1,335 ",,転    出,"10,276 ","5,554 ","4,722 ",,,,,,
,桜　　　台,567 ,"1,808 ",873 ,935 ,,出    生,"2,142 ","1,122 ","1,020 ",,,,,,
,大  平  台,557 ,"1,716 ",805 ,911 ,,死    亡,"3,522 ","1,826 ","1,696 ",,,,,,
,下  北  手,"1,215 ","3,193 ","1,574 ","1,619 ",,社会動態,-610 ,-205 ,-405 ,,,,,,
,太      平,791 ,"2,287 ","1,031 ","1,256 ",,自然動態,"-1,380 ",-704 ,-676 ,,,,,,
西部地域,西部地域計,"13,909 ","35,144 ","16,480 ","18,664 ",,増 減 計,"-1,990 ",-909 ,"-1,081 ",,,,,,
,新      屋,"6,259 ","15,262 ","7,071 ","8,191 ",,,,,,,,,,,
,勝      平,"5,367 ","13,117 ","6,341 ","6,776 ",,○　平成２７年１０月１日からの累計,,,,,,,,,
,浜      田,897 ,"2,834 ","1,237 ","1,597 ",,,計,男,女,,,,,,
,豊      岩,621 ,"1,902 ",887 ,"1,015 ",,転    入,"1,594 ",846 ,748 ,,,,,,
,下      浜,765 ,"2,029 ",944 ,"1,085 ",,転    出,"1,550 ",794 ,756 ,,,,,,
南部地域,南部地域計,"19,578 ","49,796 ","23,282 ","26,514 ",,出    生,473 ,252 ,221 ,,,,,,
,牛  島  東,"2,346 ","5,514 ","2,603 ","2,911 ",,死    亡,948 ,466 ,482 ,,,,,,
,牛  島  西,"2,255 ","5,600 ","2,603 ","2,997 ",,社会動態,44 ,52 ,-8 ,,,,,,
,牛  島  南,500 ,"1,285 ",627 ,658 ,,自然動態,-475 ,-214 ,-261 ,,,,,,
,卸      町,380 ,843 ,396 ,447 ,,増 減 計,-431 ,-162 ,-269 ,,,,,,
,大      住,"1,119 ","2,573 ","1,173 ","1,400 ",,,,,,,,,,,
,仁  井  田,"5,616 ","13,754 ","6,488 ","7,266 ",,※この表は、平成２７年１０月１日現在で,,,,,,,,,
,御  野  場,"2,682 ","7,154 ","3,321 ","3,833 ",,実施された国勢調査（確定値）結果を基礎に,,,,,,,,,
,御  所  野,"2,848 ","7,629 ","3,581 ","4,048 ",,毎月の住民基本台帳の異動状況等を基に推計,,,,,,,,,
,四 ツ 小 屋,678 ,"1,768 ",824 ,944 ,,したものです。,,,,,,,,,
,上  北  手,624 ,"2,142 ",934 ,"1,208 ",,,,,,,,,,,
,山　手　台,530 ,"1,534 ",732 ,802 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
